a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
2.418867750285934890e-04,-1.000421885164364921e+00,1.349141063489672097e-11,4.862657870937311496e-12,-2.431328935468655748e-12
2.618799799792690297e-04,-1.000451072877615255e+00,1.781440022976882289e-11,6.444056756867957085e-12,-3.222028378433978542e-12
2.829455973717219085e-04,-1.000481412901766287e+00,2.331868349023963970e-11,8.465233394959187815e-12,-4.232616697479593907e-12
3.051116438421730436e-04,-1.000512915662449931e+00,3.027362557261386746e-11,1.102853495358949583e-11,-5.514267476794747917e-12
3.284061360268436514e-04,-1.000545590959221576e+00,3.899837836201918344e-11,1.425566138288677279e-11,-7.127830691443386393e-12
3.528570905619542435e-04,-1.000579447974570435e+00,4.986905850220055317e-11,1.829052028603069223e-11,-9.145260143015346114e-12
3.784925240837259280e-04,-1.000614495284994243e+00,6.332669594087307334e-11,2.330239330082446473e-11,-1.165119665041223236e-11
4.053404532283795959e-04,-1.000650740873701539e+00,7.988601211772769868e-11,2.948943786768206801e-11,-1.474471893384103401e-11
4.334288946321365179e-04,-1.000688192144535860e+00,1.001450900678812269e-10,3.708254955492793122e-11,-1.854127477746396561e-11
4.627858649312170973e-04,-1.000726855936748150e+00,1.247960019196118259e-10,4.634961144437780249e-11,-2.317480572218890124e-11
4.934393807618425503e-04,-1.000766738540288747e+00,1.546364625294807997e-10,5.760015844687230037e-11,-2.880007922343615019e-11
5.254174587602337141e-04,-1.000807845711336741e+00,1.905825813201229164e-10,7.119048581684268117e-11,-3.559524290842134059e-11
5.587481155626115338e-04,-1.000850182687830880e+00,2.336827877672602702e-10,8.752923256590836832e-11,-4.376461628295418416e-11
5.934593678051972802e-04,-1.000893754204807529e+00,2.851330094249215437e-10,1.070834719373423557e-10,-5.354173596867117784e-11
6.295792321242113564e-04,-1.000938564509397555e+00,3.462931848840580975e-10,1.303853425959158165e-10,-6.519267129795790824e-11
6.671357251558749247e-04,-1.000984617375364927e+00,4.187051976326507714e-10,1.580392557114624077e-10,-7.901962785573120386e-11
7.061568635364088220e-04,-1.001031916117103737e+00,5.041123204278220776e-10,1.907297146700615583e-10,-9.536485733503077914e-11
7.466706639020344273e-04,-1.001080463603039261e+00,6.044802635052591010e-10,2.292297857348463876e-10,-1.146148928674231938e-10
7.887051428889720354e-04,-1.001130262268399296e+00,7.220199237408770779e-10,2.744102595999727227e-10,-1.372051297999863613e-10
8.322883171334428086e-04,-1.001181314127338240e+00,8.592119357464299073e-10,3.272495454372343043e-10,-1.636247727186171522e-10
8.774482032716678006e-04,-1.001233620784417910e+00,1.018833129826652072e-09,3.888443407261253751e-10,-1.944221703630626875e-10
9.242128179398681736e-04,-1.001287183445451312e+00,1.203985005752288586e-09,4.604211218858385932e-10,-2.302105609429192966e-10
9.726101777742642224e-04,-1.001342002927731567e+00,1.418124335412389691e-09,5.433485024926198829e-10,-2.716742512463099414e-10
1.022668299411077326e-03,-1.001398079669671093e+00,1.665096011602003979e-09,6.391505076690279960e-10,-3.195752538345139980e-10
1.074415199486527996e-03,-1.001455413739878342e+00,1.949168264478615886e-09,7.495208150736795870e-10,-3.747604075368397935e-10
1.127878894636838263e-03,-1.001514004845706074e+00,2.275070371583905162e-09,8.763380148019350592e-10,-4.381690074009675296e-10
1.183087401498227661e-03,-1.001573852341303583e+00,2.648032991776646113e-09,1.021681942430186629e-09,-5.108409712150933146e-10
1.240068736706917678e-03,-1.001634955235205293e+00,3.073831257959699205e-09,1.187851141399901960e-09,-5.939255706999509799e-10
1.298850916899129369e-03,-1.001697312197490364e+00,3.558830768108473397e-09,1.377381512942629847e-09,-6.886907564713149234e-10
1.359461958711083570e-03,-1.001760921566542395e+00,4.110036618822015236e-09,1.593066213794758095e-09,-7.965331068973790474e-10
1.421929878779001769e-03,-1.001825781355442313e+00,4.735145630420490134e-09,1.837976864041148249e-09,-9.189884320205741246e-10
1.486282693739103935e-03,-1.001891889258022417e+00,5.442601917505675404e-09,2.115486129560612442e-09,-1.057743064780306221e-09
1.552548420227611121e-03,-1.001959242654605120e+00,6.241655963884629505e-09,2.429291745723977229e-09,-1.214645872861988614e-09
1.620755074880744816e-03,-1.002027838617458366e+00,7.142427365831328781e-09,2.783442051217637043e-09,-1.391721025608818521e-09
1.690930674334726290e-03,-1.002097673915983256e+00,8.155971412827899924e-09,3.182363103132622641e-09,-1.591181551566311321e-09
1.763103235225775296e-03,-1.002168745021660090e+00,9.294349680186793601e-09,3.630887446771746998e-09,-1.815443723385873499e-09
1.837300774190113320e-03,-1.002241048112771482e+00,1.057070481330779025e-08,4.134284615985691888e-09,-2.067142307992845944e-09
1.913551307863961418e-03,-1.002314579078917189e+00,1.199933968877130066e-08,4.698293442253568727e-09,-2.349146721126784364e-09
1.991882852883539775e-03,-1.002389333525343096e+00,1.359580114301109485e-08,5.329156253174907244e-09,-2.664578126587453622e-09
2.072323425885071180e-03,-1.002465306777091891e+00,1.537696846494806028e-08,6.033655043538728972e-09,-3.016827521769364486e-09
2.154901043504775168e-03,-1.002542493882993879e+00,1.736114685469993477e-08,6.819149704681404149e-09,-3.409574852340702074e-09
2.239643722378871927e-03,-1.002620889619509681e+00,1.956816605631541256e-08,7.693618400439811992e-09,-3.846809200219905996e-09
2.326579479143584678e-03,-1.002700488494430830e+00,2.201948437840960901e-08,8.665700180648840828e-09,-4.332850090324420414e-09
2.415736330435131439e-03,-1.002781284750456470e+00,2.473829832260787220e-08,9.744739925824279663e-09,-4.872369962912139831e-09
2.507142292889735866e-03,-1.002863272368646808e+00,2.774965804583522968e-08,1.094083571941395618e-08,-5.470417859706978088e-09
2.600825383143618146e-03,-1.002946445071768000e+00,3.108058888871687445e-08,1.226488874679024748e-08,-6.132444373395123738e-09
2.696813617832997164e-03,-1.003030796327530227e+00,3.476021920869064271e-08,1.372865582299970185e-08,-6.864327911499850927e-09
2.795135013594097009e-03,-1.003116319351731178e+00,3.881991476286523402e-08,1.534480465417685597e-08,-7.672402327088427987e-09
2.895817587063135700e-03,-1.003203007111306055e+00,4.329341989219892826e-08,1.712697194047307163e-08,-8.563485970236535816e-09
2.998889354876336892e-03,-1.003290852327292759e+00,4.821700576521766348e-08,1.908982443134638765e-08,-9.544912215673193826e-09
3.104378333669920772e-03,-1.003379847477715581e+00,5.362962594624104001e-08,2.124912304710452796e-08,-1.062456152355226398e-08
3.212312540080105357e-03,-1.003469984800392956e+00,5.957307955994432052e-08,2.362179018369364696e-08,-1.181089509184682348e-08
3.322719990743116039e-03,-1.003561256295672832e+00,6.609218233104860549e-08,2.622598032087669339e-08,-1.311299016043834670e-08
3.435628702295171269e-03,-1.003653653729098538e+00,7.323494578500625249e-08,2.908115405715035877e-08,-1.454057702857517939e-08
3.551066691372490799e-03,-1.003747168634010922e+00,8.105276490273756160e-08,3.220815569800999994e-08,-1.610407784900499997e-08
3.669061974611298720e-03,-1.003841792314087877e+00,8.960061452976749125e-08,3.562929452748273557e-08,-1.781464726374136779e-08
3.789642568647812616e-03,-1.003937515845824358e+00,9.893725484752379228e-08,3.936842989621762923e-08,-1.968421494810881462e-08
3.912836490118257009e-03,-1.004034330080956883e+00,1.091254462220833659e-07,4.345106026284372928e-08,-2.172553013142186464e-08
4.038671755658851219e-03,-1.004132225648833199e+00,1.202321737532870264e-07,4.790441632878210878e-08,-2.395220816439105439e-08
4.167176381905813264e-03,-1.004231192958730423e+00,1.323288818549079566e-07,5.275755841023334238e-08,-2.637877920511667119e-08
4.298378385495369401e-03,-1.004331222202123897e+00,1.454917192044222200e-07,5.804147819464710941e-08,-2.902073909732355470e-08
4.432305783063735481e-03,-1.004432303354908962e+00,1.598017944089272156e-07,6.378920503262558375e-08,-3.189460251631279188e-08
