z,k_h_per_Mpc,P_k_Mpc_over_h_cubed
0.000000000000000000e+00,1.029657504783845212e+00,6.402793293620783288e+01
0.000000000000000000e+00,1.088230489996875328e+00,5.633514516520692439e+01
0.000000000000000000e+00,1.150135451698037103e+00,4.953496482621005725e+01
0.000000000000000000e+00,1.215561932340679219e+00,4.352954531760917689e+01
0.000000000000000000e+00,1.284710256669612027e+00,3.822902017229397131e+01
0.000000000000000000e+00,1.357792145081367918e+00,3.355361974668464597e+01
0.000000000000000000e+00,1.435031361876000444e+00,2.943338253222778889e+01
0.000000000000000000e+00,1.516664400385291822e+00,2.580458893890665806e+01
0.000000000000000000e+00,1.602941207075052610e+00,2.261080239481371024e+01
0.000000000000000000e+00,1.694125946838663799e+00,1.980196114303048915e+01
0.000000000000000000e+00,1.790497811824998786e+00,1.733286082357298952e+01
0.000000000000000000e+00,1.892351876277240885e+00,1.516390415490474908e+01
0.000000000000000000e+00,1.999999999999998224e+00,1.325994136910810006e+01
5.000000000000000000e-01,1.000000000000000048e-04,2.624186135852098687e+02
5.000000000000000000e-01,1.056885891610460487e-04,2.768011187570844527e+02
5.000000000000000000e-01,1.117007787885238138e-04,2.919709464905866412e+02
5.000000000000000000e-01,1.180549771834918165e-04,3.079711270121221673e+02
5.000000000000000000e-01,1.247706398196273057e-04,3.248468611092031892e+02
5.000000000000000000e-01,1.318683289125744415e-04,3.426458240172451610e+02
5.000000000000000000e-01,1.393697763779476895e-04,3.614183220829767151e+02
5.000000000000000000e-01,1.472979503707577405e-04,3.812172352184983879e+02
5.000000000000000000e-01,1.556771256099916535e-04,4.020983836562153897e+02
5.000000000000000000e-01,1.645329577036697079e-04,4.241205071561056457e+02
5.000000000000000000e-01,1.738925617019491487e-04,4.473454095079068793e+02
5.000000000000000000e-01,1.837845951187915005e-04,4.718382500703348796e+02
5.000000000000000000e-01,1.942393456763914501e-04,4.976674793904880971e+02
5.000000000000000000e-01,2.052888240410254421e-04,5.249052800122267399e+02
5.000000000000000000e-01,2.169668618342621006e-04,5.536275655072874997e+02
5.000000000000000000e-01,2.293092152196276787e-04,5.839141644825228923e+02
5.000000000000000000e-01,2.423536743818911798e-04,6.158488977597585290e+02
5.000000000000000000e-01,2.561401792341762990e-04,6.495200773135429699e+02
5.000000000000000000e-01,2.707109417071755790e-04,6.850202475220004317e+02
5.000000000000000000e-01,2.861105749948956740e-04,7.224468299286201045e+02
5.000000000000000000e-01,3.023862301526618226e-04,7.619020668395639859e+02
5.000000000000000000e-01,3.195877404656218977e-04,8.034929362029643016e+02
5.000000000000000000e-01,3.377677740297812354e-04,8.473319505244071479e+02
5.000000000000000000e-01,3.569819950127458923e-04,8.935371357734360345e+02
5.000000000000000000e-01,3.772892340879269385e-04,9.422314680826352742e+02
5.000000000000000000e-01,3.987516685640463869e-04,9.935442511801385308e+02
5.000000000000000000e-01,4.214350127614710853e-04,1.047610828640001273e+03
5.000000000000000000e-01,4.454087192182730470e-04,1.104571923942224430e+03
5.000000000000000000e-01,4.707461913420776757e-04,1.164575029365176533e+03
5.000000000000000000e-01,4.975250081588003135e-04,1.227774206213563502e+03
5.000000000000000000e-01,5.258271618464152629e-04,1.294329147750006541e+03
5.000000000000000000e-01,5.557393087810464944e-04,1.364406849305015612e+03
5.000000000000000000e-01,5.873530348640374236e-04,1.438180552084395003e+03
5.000000000000000000e-01,6.207651359423881077e-04,1.515830816190287123e+03
5.000000000000000000e-01,6.560779141811596193e-04,1.597543999815119605e+03
5.000000000000000000e-01,6.933994912952860627e-04,1.683513932481663005e+03
5.000000000000000000e-01,7.328441395998581140e-04,1.773940567332176897e+03
5.000000000000000000e-01,7.745326318924967458e-04,1.869030951613565776e+03
5.000000000000000000e-01,8.185926112390982208e-04,1.968998366290587683e+03
5.000000000000000000e-01,8.651589817951692383e-04,2.074061423251817359e+03
5.000000000000000000e-01,9.143743218593858475e-04,2.184445664401001522e+03
5.000000000000000000e-01,9.663893204240669521e-04,2.300380925769000896e+03
5.000000000000000000e-01,1.021363238559216610e-03,2.422102278022088740e+03
