ell,TT,EE,BB,TE
1.218000000000000000e+03,9.413038739444116345e+02,2.174875565909525221e+01,9.636064158500250165e-02,6.468935606444359721e+00
1.219000000000000000e+03,9.368782633926309700e+02,2.193598547344927496e+01,9.628361073598283582e-02,6.388162368441503425e+00
1.220000000000000000e+03,9.324609268784839742e+02,2.212307261870522623e+01,9.620612682796512993e-02,6.291099911156091906e+00
1.221000000000000000e+03,9.280738145126305199e+02,2.230988523000287671e+01,9.612820897647940399e-02,6.177572120372014197e+00
1.222000000000000000e+03,9.236943074466364578e+02,2.249644004331149105e+01,9.604987634866270219e-02,6.047847280017357718e+00
1.223000000000000000e+03,9.193443581824660669e+02,2.268253097127454865e+01,9.597114815513191344e-02,5.902043807467427960e+00
1.224000000000000000e+03,9.150087788238976145e+02,2.286817479756846083e+01,9.589204364197717601e-02,5.740204540961200586e+00
1.225000000000000000e+03,9.107020963306342765e+02,2.305323975272348491e+01,9.581258208304745116e-02,5.562668161611682649e+00
1.226000000000000000e+03,9.064165541661510588e+02,2.323766835795809271e+01,9.573278277236964284e-02,5.369474930460309103e+00
1.227000000000000000e+03,9.021592541463265889e+02,2.342132885149752042e+01,9.565266501680752542e-02,5.160738111632746872e+00
1.228000000000000000e+03,8.979298714839247850e+02,2.360423803240497165e+01,9.557224812892307908e-02,4.936792545548165378e+00
1.229000000000000000e+03,8.937355115822523430e+02,2.378626411989895217e+01,9.549155142003318275e-02,4.697674671158792670e+00
1.230000000000000000e+03,8.895684250755790572e+02,2.396734959719505653e+01,9.541059419339845138e-02,4.443568234266495942e+00
1.231000000000000000e+03,8.854282929691603385e+02,2.414736263784559256e+01,9.532939573763686558e-02,4.174581444852879741e+00
1.232000000000000000e+03,8.813222267267251482e+02,2.432631994960532751e+01,9.524797532024005531e-02,3.891044119454482253e+00
1.233000000000000000e+03,8.772573400060275617e+02,2.450394106679155115e+01,9.516635218131770657e-02,3.592913422026799530e+00
1.234000000000000000e+03,8.732184636923350354e+02,2.468031689520186589e+01,9.508454552737496956e-02,3.280516708363715672e+00
1.235000000000000000e+03,8.692201444329684819e+02,2.485531543751262262e+01,9.500257452526734980e-02,2.953882984471226880e+00
1.236000000000000000e+03,8.652546462670160281e+02,2.502887892073380982e+01,9.492045829625865572e-02,2.613262901474436184e+00
1.237000000000000000e+03,8.613290924568423179e+02,2.520080093917578523e+01,9.483821591014263142e-02,2.258831632481969720e+00
1.238000000000000000e+03,8.574431805165133937e+02,2.537117214897098805e+01,9.475586637942121082e-02,1.890837450941947218e+00
1.239000000000000000e+03,8.535966106402607920e+02,2.553978599359585999e+01,9.467342865358484294e-02,1.509453175456568763e+00
1.240000000000000000e+03,8.497890857798461184e+02,2.570658439846598853e+01,9.459092161341174643e-02,1.114924749067145004e+00
1.241000000000000000e+03,8.460277400714419400e+02,2.587158348105474204e+01,9.450836406523512034e-02,7.074969684844653051e-01
1.242000000000000000e+03,8.423122822111319010e+02,2.603465069405042343e+01,9.442577473531364729e-02,2.874134972670039367e-01
1.243000000000000000e+03,8.386349955303807064e+02,2.619565338607236882e+01,9.434317226410908475e-02,-1.451574040655457254e-01
1.244000000000000000e+03,8.350030231218136123e+02,2.635460736243581792e+01,9.426057520061262296e-02,-5.900485804828000669e-01
1.245000000000000000e+03,8.314160828631358982e+02,2.651130546145073552e+01,9.417800199655414206e-02,-1.046885974165673305e+00
1.246000000000000000e+03,8.278813241920132668e+02,2.666583753280443858e+01,9.409547100062233549e-02,-1.515482312181227753e+00
1.247000000000000000e+03,8.243910431294747241e+02,2.681799616346288317e+01,9.401300045265630068e-02,-1.995591955624977265e+00
1.248000000000000000e+03,8.209523957548796034e+02,2.696779665616807264e+01,9.393060847761962318e-02,-2.486977739068686688e+00
1.249000000000000000e+03,8.175576848787429753e+02,2.711503132246360792e+01,9.384831307967433922e-02,-2.989403526106725106e+00
1.250000000000000000e+03,8.142215018676810132e+02,2.725971517781330888e+01,9.376613213606542485e-02,-3.502604479458268028e+00
1.251000000000000000e+03,8.109287073082630286e+02,2.740186474082687695e+01,9.368408339089030756e-02,-4.026293430042279020e+00
1.252000000000000000e+03,8.076863666582795531e+02,2.754128014368166077e+01,9.360218444888841749e-02,-4.560180017589269497e+00
1.253000000000000000e+03,8.045015281432484926e+02,2.767798586074943756e+01,9.352045276896915615e-02,-5.103981228518745361e+00
1.254000000000000000e+03,8.013663870870370829e+02,2.781200619690083897e+01,9.343890565777993040e-02,-5.657429848663104721e+00
1.255000000000000000e+03,7.982879993857804948e+02,2.794321671494990511e+01,9.335756026305290500e-02,-6.220229874781585622e+00
1.256000000000000000e+03,7.952659965297689268e+02,2.807156708068641393e+01,9.327643356696155297e-02,-6.792115922615090007e+00
1.257000000000000000e+03,7.923000140259769069e+02,2.819700677397510091e+01,9.319554237930034735e-02,-7.372813837524739178e+00
1.258000000000000000e+03,7.893896914699016634e+02,2.831963365044144609e+01,9.311490333057054203e-02,-7.962044983476652682e+00
1.259000000000000000e+03,7.865272442666076813e+02,2.843917395171559903e+01,9.303453286503982067e-02,-8.559536622925520533e+00
1.260000000000000000e+03,7.837346054526216221e+02,2.855579941880400341e+01,9.295444723368634365e-02,-9.165012982643816031e+00
1.261000000000000000e+03,7.809891422633056663e+02,2.866931016849034464e+01,9.287466248707729188e-02,-9.778207861427929970e+00
1.262000000000000000e+03,7.783053680545790485e+02,2.877965467286781021e+01,9.279519446816386630e-02,-1.039884752406938873e+01
1.263000000000000000e+03,7.756829439191010351e+02,2.888685547093929529e+01,9.271605880513487941e-02,-1.102666494263549701e+01
1.264000000000000000e+03,7.731141071032686796e+02,2.899093488030751331e+01,9.263727090408560572e-02,-1.166137154726294334e+01
1.265000000000000000e+03,7.706059561233774957e+02,2.909169214195165054e+01,9.255884594181769398e-02,-1.230267948941527401e+01
1.266000000000000000e+03,7.681507374285388323e+02,2.918914911662001899e+01,9.248079885853757731e-02,-1.295026447802602654e+01
1.267000000000000000e+03,7.657629872141915257e+02,2.928332742979529968e+01,9.240314435067206733e-02,-1.360383261223922702e+01
1.268000000000000000e+03,7.634349613810488790e+02,2.937417418376198341e+01,9.232589686362599468e-02,-1.426306836024590474e+01
1.269000000000000000e+03,7.611663489945602805e+02,2.946163623677754728e+01,9.224907058463920062e-02,-1.492765682132989014e+01
1.270000000000000000e+03,7.589568439909797917e+02,2.954573448234435062e+01,9.217267943573669020e-02,-1.559732827267810684e+01
1.271000000000000000e+03,7.568061452313755808e+02,2.962634099457396886e+01,9.209673706674861848e-02,-1.627169472210487911e+01
1.272000000000000000e+03,7.547213849034211535e+02,2.970347615817350118e+01,9.202125684843194542e-02,-1.695057673162166267e+01
1.273000000000000000e+03,7.526948435195643015e+02,2.977708581402043819e+01,9.194625186578282705e-02,-1.763349826551581501e+01
1.274000000000000000e+03,7.507254921788971842e+02,2.984718982235821017e+01,9.187173491142172632e-02,-1.832028093401204671e+01
1.275000000000000000e+03,7.488204782804350543e+02,2.991380777559407989e+01,9.179771847921437689e-02,-1.901052398415106381e+01
1.276000000000000000e+03,7.469772975226932203e+02,2.997681042770632587e+01,9.172421475805590807e-02,-1.970397569246248892e+01
1.277000000000000000e+03,7.451956793010847377e+02,3.003629110828268978e+01,9.165123562587716710e-02,-2.040031048939194491e+01
1.278000000000000000e+03,7.434753582365484590e+02,3.009212001814664461e+01,9.157879264389111318e-02,-2.109912893402031386e+01
1.279000000000000000e+03,7.418160742058499864e+02,3.014424136012635458e+01,9.150689705101947014e-02,-2.180025482258844605e+01
1.280000000000000000e+03,7.402183152034129989e+02,3.019282190293762369e+01,9.143555975864327279e-02,-2.250328946180385259e+01
1.281000000000000000e+03,7.386818316944973049e+02,3.023758242666055196e+01,9.136479134563885163e-02,-2.320798306049340454e+01
1.282000000000000000e+03,7.372063794698075299e+02,3.027868912189161676e+01,9.129460205361128455e-02,-2.391393756956445316e+01
1.283000000000000000e+03,7.357917196613719852e+02,3.031608503546795319e+01,9.122500178253108161e-02,-2.462090378982950511e+01
1.284000000000000000e+03,7.344376187546837400e+02,3.034963863484566815e+01,9.115600008662605447e-02,-2.532848421166741915e+01
1.285000000000000000e+03,7.331445914320925112e+02,3.037944093961132808e+01,9.108760617058520026e-02,-2.603643012257457556e+01
1.286000000000000000e+03,7.319116720723177423e+02,3.040543410160101345e+01,9.101982888611157008e-02,-2.674441873008238701e+01
1.287000000000000000e+03,7.307393860913537083e+02,3.042770853667338571e+01,9.095267672880678889e-02,-2.745212741858266980e+01
1.288000000000000000e+03,7.296267785994116366e+02,3.044613150509351840e+01,9.088615783540229809e-02,-2.815915943906040297e+01
1.289000000000000000e+03,7.285736428993026266e+02,3.046079281057901511e+01,9.082027998127793766e-02,-2.886519244926103767e+01
1.290000000000000000e+03,7.275812633110800789e+02,3.047170766445735524e+01,9.075505057840273226e-02,-2.956997848679481322e+01
1.291000000000000000e+03,7.266479581478757837e+02,3.047881668397107546e+01,9.069047667353939690e-02,-3.027312109169077559e+01
1.292000000000000000e+03,7.257735367084734435e+02,3.048220874122927171e+01,9.062656494683127284e-02,-3.097437241344074010e+01
1.293000000000000000e+03,7.249578135862044519e+02,3.048189811128462878e+01,9.056332171073558368e-02,-3.167326176650884406e+01
1.294000000000000000e+03,7.242013514795313540e+02,3.047775018735683972e+01,9.050075290923068061e-02,-3.236968987137707643e+01
1.295000000000000000e+03,7.235017469892057989e+02,3.046985289721362022e+01,9.043886411740834075e-02,-3.306318599256498914e+01
1.296000000000000000e+03,7.228603161026063617e+02,3.045821956817286136e+01,9.037766054133491989e-02,-3.375350217972928135e+01
1.297000000000000000e+03,7.222754086445893336e+02,3.044278892625919397e+01,9.031714701824289371e-02,-3.444031610678373312e+01
1.298000000000000000e+03,7.217476080858270961e+02,3.042364794601337508e+01,9.025732801699315466e-02,-3.512330532859780874e+01
1.299000000000000000e+03,7.212752744930492099e+02,3.040066043242752869e+01,9.019820763888075632e-02,-3.580222153777649652e+01
1.300000000000000000e+03,7.208582586619306767e+02,3.037398700505694649e+01,9.013978961861676686e-02,-3.647666768752714006e+01
1.301000000000000000e+03,7.204964298073401778e+02,3.034349060965591249e+01,9.008207732560707948e-02,-3.714647708808264071e+01
1.302000000000000000e+03,7.201889728963157040e+02,3.030940440933221325e+01,9.002507376552693064e-02,-3.781121651207075018e+01
1.303000000000000000e+03,7.199350912188153870e+02,3.027158960981450520e+01,8.996878158201704334e-02,-3.847083160351743203e+01
1.304000000000000000e+03,7.197339929314525762e+02,3.023005566423851320e+01,8.991320305866536133e-02,-3.912489631130782897e+01
1.305000000000000000e+03,7.195871195094514405e+02,3.018496027347793742e+01,8.985834012115585800e-02,-3.977328141478947288e+01
1.306000000000000000e+03,7.194914601765837006e+02,3.013623796911007346e+01,8.980419433959065112e-02,-4.041563451351907332e+01
1.307000000000000000e+03,7.194477230340330607e+02,3.008389724805074650e+01,8.975076693097465419e-02,-4.105175141923672300e+01
1.308000000000000000e+03,7.194551351573861666e+02,3.002802057332594998e+01,8.969805876181388693e-02,-4.168142756353255862e+01
1.309000000000000000e+03,7.195129282075579340e+02,2.996854152448166531e+01,8.964607035091755327e-02,-4.230438368923888959e+01
1.310000000000000000e+03,7.196195955354922944e+02,2.990554193265653993e+01,8.959480187219873160e-02,-4.292026582555962477e+01
1.311000000000000000e+03,7.197758634609582487e+02,2.983902903128137396e+01,8.954425315765741911e-02,-4.352901668095893939e+01
1.312000000000000000e+03,7.199802342001871693e+02,2.976900974093203445e+01,8.949442370039796535e-02,-4.413028135077510683e+01
1.313000000000000000e+03,7.202319571429646885e+02,2.969549067082228078e+01,8.944531265770219730e-02,-4.472377871063581978e+01
1.314000000000000000e+03,7.205302859538949178e+02,2.961855240394016420e+01,8.939691885416679862e-02,-4.530944995964467381e+01
1.315000000000000000e+03,7.208744785080848487e+02,2.953827521531937350e+01,8.934924078488100385e-02,-4.588686432883162780e+01
1.316000000000000000e+03,7.212637968263015864e+02,2.945459050694643111e+01,8.930227661863576749e-02,-4.645596189294663958e+01
1.317000000000000000e+03,7.216975070096693798e+02,2.936772651082508645e+01,8.925602420105306634e-02,-4.701653356301770970e+01
1.318000000000000000e+03,7.221748791739687476e+02,2.927753973963819689e+01,8.921048105785536753e-02,-4.756829534724453623e+01
1.319000000000000000e+03,7.226951873835809010e+02,2.918425782409106972e+01,8.916564439802382447e-02,-4.811103689571804409e+01
1.320000000000000000e+03,7.232569667500901005e+02,2.908781096383900433e+01,8.912151111695788830e-02,-4.864462147846574425e+01
1.321000000000000000e+03,7.238602418706931303e+02,2.898827763108235089e+01,8.907807779965765116e-02,-4.916876311332774918e+01
1.322000000000000000e+03,7.245042982561751614e+02,2.888573600626963156e+01,8.903534072383079145e-02,-4.968332367869486887e+01
1.323000000000000000e+03,7.251869394286613897e+02,2.878018969742928945e+01,8.899329586296347849e-02,-5.018809004208008417e+01
1.324000000000000000e+03,7.259082010292252107e+02,2.867171631013274080e+01,8.895193888938156268e-02,-5.068284832305695176e+01
1.325000000000000000e+03,7.266666365749445049e+02,2.856024460006701560e+01,8.891126517729204537e-02,-5.116738387305772306e+01
1.326000000000000000e+03,7.274615458958188583e+02,2.844592589374689595e+01,8.887126980573831214e-02,-5.164155553904160456e+01
1.327000000000000000e+03,7.282922322312163033e+02,2.832876267431968742e+01,8.883194756155705918e-02,-5.210522136053040754e+01
1.328000000000000000e+03,7.291572593258985080e+02,2.820875715200270051e+01,8.879329294228212321e-02,-5.255808998351880490e+01
1.329000000000000000e+03,7.300551941956254041e+02,2.808605983463365519e+01,8.875530015905143399e-02,-5.300001777578088991e+01
1.330000000000000000e+03,7.309860927272491153e+02,2.796067239731692311e+01,8.871796313946490875e-02,-5.343093452505010532e+01
1.331000000000000000e+03,7.319485282680607270e+02,2.783267053669547408e+01,8.868127553043285427e-02,-5.385062057058338070e+01
1.332000000000000000e+03,7.329403343895912712e+02,2.770205540781662990e+01,8.864523070103112745e-02,-5.425892963613387110e+01
1.333000000000000000e+03,7.339623189907658798e+02,2.756890219511143414e+01,8.860982174533751921e-02,-5.465571452931067853e+01
1.334000000000000000e+03,7.350123215449120835e+02,2.743336011647060246e+01,8.857504148523490106e-02,-5.504075284133905654e+01
1.335000000000000000e+03,7.360889272011899038e+02,2.729535529340955335e+01,8.854088247334453154e-02,-5.541389549773222711e+01
1.336000000000000000e+03,7.371922095449386916e+02,2.715503645635534014e+01,8.850733699590752901e-02,-5.577514102586829381e+01
1.337000000000000000e+03,7.383200163468126220e+02,2.701240353150079798e+01,8.847439707569519640e-02,-5.612426412196290215e+01
1.338000000000000000e+03,7.394724264960490245e+02,2.686760477927338542e+01,8.844205447500694262e-02,-5.646118705348133915e+01
1.339000000000000000e+03,7.406472929122191999e+02,2.672056538137181647e+01,8.841030069871695651e-02,-5.678568251044578830e+01
1.340000000000000000e+03,7.418432138059406498e+02,2.657150742992050141e+01,8.837912699741549971e-02,-5.709774500868640956e+01
1.341000000000000000e+03,7.430602754331547430e+02,2.642028138066981313e+01,8.834852437057320873e-02,-5.739721945849199614e+01
1.342000000000000000e+03,7.442963378378329935e+02,2.626718317632999344e+01,8.831848356988429571e-02,-5.768387543470412027e+01
1.343000000000000000e+03,7.455507489434560284e+02,2.611206284942892708e+01,8.828899510267107509e-02,-5.795777858125328663e+01
1.344000000000000000e+03,7.468213731277387524e+02,2.595514164580704275e+01,8.826004923538936786e-02,-5.821869633059836957e+01
1.345000000000000000e+03,7.481083053110111223e+02,2.579634347813941275e+01,8.823163599731577433e-02,-5.846654359264088185e+01
1.346000000000000000e+03,7.494094138577196418e+02,2.563581491557329173e+01,8.820374518433753142e-02,-5.870123417606297522e+01
1.347000000000000000e+03,7.507240546615769290e+02,2.547355377140895527e+01,8.817636636292509877e-02,-5.892268077711833740e+01
1.348000000000000000e+03,7.520500997138414050e+02,2.530963195887211015e+01,8.814948887420266666e-02,-5.913072068537289283e+01
1.349000000000000000e+03,7.533876511851754003e+02,2.514419549644805940e+01,8.812310183825521059e-02,-5.932526434040946128e+01
1.350000000000000000e+03,7.547345843205846450e+02,2.497731594627858343e+01,8.809719415858208169e-02,-5.950644388899358717e+01
1.351000000000000000e+03,7.560902919364489208e+02,2.480898863707952628e+01,8.807175452667004301e-02,-5.967416926857275428e+01
1.352000000000000000e+03,7.574535470726400490e+02,2.463935017252943283e+01,8.804677142687977742e-02,-5.982835643054421126e+01
1.353000000000000000e+03,7.588253829775893564e+02,2.446838665050305650e+01,8.802223314141552346e-02,-5.996907051716866022e+01
1.354000000000000000e+03,7.601971772282287247e+02,2.429638115228980411e+01,8.799812775550067134e-02,-6.009630120922707874e+01
1.355000000000000000e+03,7.615796221932914705e+02,2.412317091328049656e+01,8.797444316277834575e-02,-6.020996271855786830e+01
1.356000000000000000e+03,7.629655831780014523e+02,2.394896444726309781e+01,8.795116707088405927e-02,-6.031011663159133462e+01
1.357000000000000000e+03,7.643553547095521026e+02,2.377382156772804223e+01,8.792828700721254387e-02,-6.039674905236405777e+01
1.358000000000000000e+03,7.657492320802654149e+02,2.359765339374389370e+01,8.790579032488630984e-02,-6.046977059654057030e+01
1.359000000000000000e+03,7.671400828896263420e+02,2.342066805689896114e+01,8.788366420889459629e-02,-6.052931351994969589e+01
1.360000000000000000e+03,7.685282036360521261e+02,2.324292500626196656e+01,8.786189568241643821e-02,-6.057521172910304585e+01
1.361000000000000000e+03,7.699138912570048205e+02,2.306440929790738892e+01,8.784047161334002096e-02,-6.060752076126259169e+01
1.362000000000000000e+03,7.713048713688230009e+02,2.288518016798869326e+01,8.781937872090531116e-02,-6.062629493000226688e+01
1.363000000000000000e+03,7.726865847546475834e+02,2.270537103884976560e+01,8.779860358258080588e-02,-6.063143875479552491e+01
1.364000000000000000e+03,7.740667573543246363e+02,2.252496667467027791e+01,8.777813264104335211e-02,-6.062307837564775781e+01
1.365000000000000000e+03,7.754456867514234091e+02,2.234410032166793414e+01,8.775795221128375456e-02,-6.060126441673818931e+01
1.366000000000000000e+03,7.768088137107594093e+02,2.216283086382043166e+01,8.773804848788852029e-02,-6.056597198460712406e+01
1.367000000000000000e+03,7.781712921675691632e+02,2.198121711263263123e+01,8.771840755242869825e-02,-6.051724923388739796e+01
1.368000000000000000e+03,7.795259906634796607e+02,2.179924352993167957e+01,8.769901538097542304e-02,-6.045514308307063800e+01
1.369000000000000000e+03,7.808657772851720438e+02,2.161711736820555529e+01,8.767985785164293666e-02,-6.037969921432116394e+01
1.370000000000000000e+03,7.822058046033833989e+02,2.143489725944748514e+01,8.766092075230391689e-02,-6.029103635734023925e+01
1.371000000000000000e+03,7.835240827596467170e+02,2.125249322153912956e+01,8.764218978832478968e-02,-6.018919772327287632e+01
1.372000000000000000e+03,7.848357628581588870e+02,2.107018664917507067e+01,8.762365059035316650e-02,-6.007422528967360620e+01
1.373000000000000000e+03,7.861337100539203675e+02,2.088788748526608785e+01,8.760528872212985929e-02,-5.994623408602550541e+01
1.374000000000000000e+03,7.874182168447829326e+02,2.070572849540619842e+01,8.758708968841323605e-02,-5.980533791280791434e+01
