theta,chi2_profile,H0_profile,Omega_m0_profile,delta_chi2
1.7200000000000002,1410.7205266296185,68.1648437500001,0.296874999999998,0.3455147652296091
1.74,1410.8466973907828,68.20000000000012,0.2976249999999979,0.47168552639391237
1.76,1410.9932835685943,68.24921875000013,0.29812499999999786,0.6182717042054264
1.78,1411.1554436730921,68.27031250000013,0.2989999999999978,0.7804318087032698
1.8,1411.3368588833234,68.30546875000014,0.29974999999999774,0.9618470189345771
1.82,1411.5368903740982,68.31953125000014,0.30074999999999774,1.1618785097093678
1.84,1411.7532844994616,68.36171875000014,0.30124999999999774,1.3782726350727899
1.8599999999999999,1411.9878359287488,68.40390625000013,0.30174999999999774,1.6128240643599838
1.88,1412.2401780843568,68.44609375000012,0.30224999999999774,1.8651662199679322
1.9,1412.5078090314753,68.4742187500001,0.3029999999999977,2.132797167086437
1.92,1412.792878496318,68.5093750000001,0.30349999999999766,2.4178666319292006
1.94,1413.0932425978558,68.5375000000001,0.30424999999999763,2.718230733466953
1.96,1413.4101437689358,68.5726562500001,0.3047499999999976,3.0351319045469154
1.98,1413.742029252442,68.5937500000001,0.3054999999999975,3.3670173880532275
2.0,1414.0898506508902,68.6289062500001,0.30599999999999744,3.714838786501332
2.02,1414.4528819170307,68.6640625000001,0.3064999999999974,4.077870052641856
2.04,1414.8309479746558,68.6992187500001,0.30699999999999733,4.4559361102669754
2.06,1415.2238006884895,68.73437500000011,0.3073749999999973,4.848788824100666
2.08,1415.6306744454025,68.76953125000011,0.30787499999999723,5.255662581013667
2.1,1416.052331613557,68.80468750000013,0.3082499999999972,5.677319749168191
2.12,1416.4848325076332,68.8117187500001,0.3091249999999973,6.109820643244348
2.14,1416.9328832333551,68.8539062500001,0.3094999999999973,6.557871368966289
2.16,1417.3954854371168,68.8960937500001,0.30974999999999725,7.020473572727951
2.18,1417.8694053739914,68.92421875000012,0.3102499999999972,7.49439350960256
2.2,1418.3556690009282,68.93828125000014,0.3108749999999971,7.980657136539321
2.22,1418.8558605469927,68.98046875000016,0.3111249999999971,8.480848682603892
2.24,1419.371613298269,69.02968750000016,0.3112499999999971,8.996601433880187
2.2600000000000002,1419.8913776559507,69.0296875000002,0.312124999999997,9.516365791561839
2.2800000000000002,1420.4304927165483,69.0859375000002,0.312124999999997,10.055480852159462
2.3000000000000003,1420.9753124990048,69.10000000000022,0.3127499999999969,10.600300634615905
2.32,1421.533819469762,69.12812500000024,0.31324999999999686,11.158807605373113
2.34,1422.1043877142135,69.16328125000025,0.31349999999999684,11.729375849824692
2.36,1422.6844687734113,69.18437500000027,0.3139999999999968,12.309456909022401
2.38,1423.2766578003757,69.21953125000029,0.31424999999999675,12.901645935986835
2.4,1423.8796957470693,69.2546875000003,0.3144999999999967,13.50468388268041
2.42,1424.4909681344593,69.27578125000032,0.31499999999999667,14.115956270070456
2.44,1425.1130966061728,69.29687500000034,0.31537499999999663,14.73808474178395
2.46,1425.7450520936864,69.31796875000036,0.3158749999999966,15.370040229297501
2.48,1426.3881771846382,69.36718750000037,0.3158749999999966,16.0131653202493
2.5,1427.0382057263087,69.38125000000038,0.3163749999999966,16.663193861919808
2.52,1427.699908470025,69.42343750000039,0.31649999999999656,17.32489660563624
2.54,1428.368089627269,69.43750000000038,0.31699999999999656,17.993077762880148
