t,a,R_cal,Rdot,H,W,F,Z,U,Omega_m_R,Omega_r_R,Omega_cal,closure_sum,q,G_unscreened_over_G
0.6407483888213508,0.24965353753515213,43058.74027907791,-20131.43724176914,1.039101059516342,4.644796149272138e-06,1.0000232238728757,1.078706563414664e-12,3.2360896280812566e-11,0.9919959876616149,0.007946981224104933,5.703111427993883e-05,0.9999999999999998,0.5037891102606671,0.9999767766664601
0.6542788913018529,0.2535266108024307,42805.781676083396,-20497.578077359034,1.0153224182433769,4.6722442090784764e-06,1.000023361111896,1.091493297463368e-12,3.274449294122155e-11,0.9921103971815135,0.007826479390399372,6.31234280874242e-05,1.0000000000000002,0.5037107709014732,0.9999766394338327
0.6678093937823556,0.25745977012609705,42552.823073088875,-20863.718912948945,0.9920891253809704,4.700018601650956e-06,1.0000234999825575,1.1045087427932503e-12,3.313495081183126e-11,0.9922224152382269,0.007707786072769833,6.979868900315108e-05,0.9999999999999998,0.5036317182146379,0.9999765005696788
0.681339896262858,0.2614539476687833,42299.86447009436,-21229.85974853884,0.969388658013152,4.728125181497008e-06,1.0000236405141316,1.1177583865953057e-12,3.353243450451433e-11,0.9923320169565011,0.007590874230850117,7.710881264904014e-05,1.0000000000000002,0.5035505510270251,0.9999763600447291
0.6953191136754637,0.26551009005450005,42029.49850908375,-21597.916162490008,0.9472088196089299,4.7585399632779815e-06,1.0000237925865978,1.1321851291056807e-12,3.396523062104856e-11,0.992439086539797,0.007475716544980144,8.519691522276768e-05,0.9999999999999999,0.5034503704408615,0.999976207979476
0.7149314492669316,0.26962915859298625,41540.602479490895,-21990.02053766965,0.9255381348701129,4.814543486461101e-06,1.0000240726015333,1.1589914491512506e-12,3.476940867445953e-11,0.9925424507438185,0.007362278293069131,9.527096311275388e-05,1.0000000000000004,0.5033454510030779,0.999975927977943
0.7345437848583997,0.2738121295075413,41051.70644989804,-22382.12491284929,0.9043645281118265,4.8718809257760245e-06,1.0000243592859528,1.1867611877470127e-12,3.5602488727703775e-11,0.992642996118086,0.007250540711278072,0.00010646317063608468,1.0000000000000002,0.5032515447392396,0.9999756413074076
0.7541561204498681,0.27805999416639077,40562.81042030517,-22774.229288028942,0.8836766100210748,4.9306005133160275e-06,1.0000246528810124,1.2155410710956137e-12,3.646587253290919e-11,0.9927406274110329,0.00714047794172777,0.00011889464723926106,0.9999999999999999,0.5031543372670453,0.9999753477267371
0.7737684560413358,0.282373759317641,40073.914390712314,-23166.333663208577,0.8634632568753823,4.9907528348612135e-06,1.0000249536396362,1.245380692933762e-12,3.736104786571001e-11,0.99283523584432,0.007032064440006864,0.00013269971567267955,0.9999999999999994,0.5030533627711105,0.9999750469830324
0.7933807916328037,0.2867544473278805,39585.01836111946,-23558.438038388216,0.8437136046251158,5.05239097522422e-06,1.000025261827243,1.2763327283263572e-12,3.828959493885065e-11,0.9929266976359286,0.006925274965312723,0.00014802739875863382,0.9999999999999999,0.5029481043989659,0.9999747388109008
