xi_completion,k_over_H0,a,z,zeta,constraint_relative_residual,Delta_0,dDelta_dln_a_0,Delta_1,dDelta_dln_a_1,Delta_2,dDelta_dln_a_2,Delta_3,dDelta_dln_a_3
1.0,1.0,0.0999999999999999,9.00000000000001,1.5374557700697098e-07,0.0,5.048037854084419e-07,7.441528380208651e-07,5.048037854575151e-07,7.441528381434607e-07,7.94434277216737e-06,2.6261418346439293e-05,7.94438114343314e-06,2.626155163491171e-05
1.0,1.0,0.12589254117941645,6.943282347242832,2.1237423688577256e-07,0.0,7.12074837416571e-07,1.0773592815022302e-06,7.120748375037678e-07,1.0773592817197544e-06,1.7116885074439703e-05,5.745487975123384e-05,1.711697036383281e-05,5.745517515879653e-05
1.0,1.0,0.15848931924611143,5.30957344480193,2.9448502662301025e-07,0.0,1.0129075830520198e-06,1.567273371676539e-06,1.012907583206795e-06,1.5672733720617597e-06,3.7197885045300634e-05,0.0001257849524283797,3.7198074101874104e-05,0.00012578560458440798
1.0,1.0,0.1995262314968879,4.011872336272725,4.0934682264131904e-07,0.0,1.4517337913013674e-06,2.291715040106439e-06,1.4517337915756246e-06,2.2917150407864404e-06,8.110593935073015e-05,0.0002746294409353837,8.11063567942624e-05,0.00027463087249087137
1.0,1.0,0.2511886431509577,2.9810717055349776,5.699310588965349e-07,0.0,2.095073079602008e-06,3.366969434737868e-06,2.095073080086599e-06,3.3669694359316963e-06,0.00017665225221550053,0.0005957019551700299,0.00017665316874944758,0.0005957050711700395
1.0,1.0,0.31622776601683833,2.1622776601683755,7.945264929199015e-07,0.0,3.041946009511545e-06,4.961013622515546e-06,3.041946010363709e-06,4.961013624592422e-06,0.0003826711189835598,0.0012774852826828089,0.00038267311460915055,0.0012774919799565525
1.0,1.0,0.39810717055349737,1.5118864315095792,1.1090476786647917e-06,0.0,4.43663184321832e-06,7.297920049483371e-06,4.436631844705133e-06,7.297920053042914e-06,0.0008202997704100945,0.0026905886286390742,0.0008203040623162476,0.0026906027547115604
1.0,1.0,0.5011872336272719,0.9952623149688811,1.5495681277751822e-06,0.0,6.4791048486146945e-06,1.0627173399019356e-05,6.479104851176327e-06,1.06271734049785e-05,0.001728990444459086,0.0055166287369699555,0.0017289995098535903,0.005516657727881431
1.0,1.0,0.6309573444801923,0.584893192461116,2.161793353962639e-06,0.0,9.420381803403344e-06,1.5116871142153933e-05,9.420381807732782e-06,1.5116871151791721e-05,0.003555340165365719,0.010896445260649161,0.003555358832155593,0.010896502559861129
1.0,1.0,0.7943282347242823,0.25892541179416595,2.987778754747561e-06,0.0,1.3523607504488246e-05,2.067389300723447e-05,1.3523607511609475e-05,2.0673893022123545e-05,0.007072326651031907,0.020535351022683095,0.007072363816645381,0.020535459055082535
1.0,1.0,1.0,0.0,4.0293795464098335e-06,0.0,1.8989833898684728e-05,2.6862693561854606e-05,1.8989833910000397e-05,2.68626935836774e-05,0.013516305917460973,0.036769749688843716,0.013516376989484982,0.036769943185678874
2.0,1.0,9.999999999999982e-09,99999999.00000018,9.999999999994576e-09,0.0,3.0000000000000004e-08,0.0,3.0000000000000004e-08,0.0,4e-08,0.0,4e-08,0.0
