a,z,k_over_H0,kinetic_L_zeta_dot_zeta,gradient_G,sound_speed_sq,constraint_discriminant,kinetic_numerator,kinetic_cancellation_scale,scalar_kinetic_degenerate,Q,m5_bar_hat
1.9573417814876615e-07,5108968.774506925,0.001333521432163324,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.002053525026457146,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.0031622776601683794,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.004869675251658631,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.007498942093324558,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.011547819846894581,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.01778279410038923,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.027384196342643614,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.042169650342858224,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.06493816315762113,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.1,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.1539926526059492,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.23713737056616552,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.3651741272548377,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.5623413251903491,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,0.8659643233600653,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,1.333521432163324,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,2.053525026457146,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,3.1622776601683795,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,4.869675251658631,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,7.498942093324558,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,11.547819846894582,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,17.78279410038923,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,27.384196342643612,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,42.169650342858226,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,64.93816315762113,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
1.9573417814876615e-07,5108968.774506925,100.0,1.0937568416799894e-15,nan,nan,1.6720622011913746e+50,1.4013174848468625e+22,7.687179260215456e+37,1,1.0,-3.410756712560139e-31
