xi_completion,a,z,E,H_km_s_Mpc,Omega_m,Omega_r,Omega_R,Q_tensor,c_T,dL_GW_over_dL_EM,gamma_PPN,beta_PPN,alpha1_PPN,alpha2_PPN,Cassini_minus_2loglike
1.0,2.2908676527677748e-07,4365157.322401657,183034165372.28943,12329181379477.416,0.0007790225005831278,0.999220977499417,6.551768660678773e-19,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.435940447292027e-07,4105189.671273079,161886093106.65283,10904647231664.135,0.0008283144616815526,0.9991716855383181,7.973972766858752e-19,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.5902002045313226e-07,3860704.432153815,143181727786.20026,9644721183678.45,0.0008807225790776506,0.999119277420922,9.704873020683051e-19,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.754228703338169e-07,3630779.54770101,126638680298.27866,8530381504892.05,0.0009364434921786857,0.9990635565078212,1.1811466260222002e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,2.928644564625237e-07,3414547.873833601,112007194555.26697,7544804625242.783,0.0009956862021301889,0.9990043137978698,1.437528766410238e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.1141055844467585e-07,3211193.9093648237,99066376358.86105,6673111111532.881,0.0010586728428220585,0.9989413271571778,1.7495564961572324e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.311311214825908e-07,3019950.720402019,87620858066.94116,5902140999389.156,0.0011256394991831402,0.9988743605008168,2.129305679294019e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.521005201684521e-07,2840097.0479142135,77497848700.32843,5220255088454.123,0.0011968370755597187,0.9988031629244404,2.5914723559942853e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.743978389823811e-07,2670954.587558985,68544524946.8282,4617159200418.348,0.0012725322171246213,0.9987274677828755,3.153941125342195e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.981071705534969e-07,2511885.4315095823,60625723667.43501,4083748746238.4224,0.0013530082874212864,0.9986469917125785,3.838476785594233e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.233179328088211e-07,2362289.6626344607,53621901062.21463,3611971255550.7773,0.0014385664053109268,0.9985614335946889,4.6715659496205495e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.501252062061336e-07,2221603.0919558117,47427327679.87857,3194704792516.6206,0.0015295265447610505,0.9984704734552388,5.6854411412452075e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.78630092322638e-07,2089295.130854041,41948492016.262695,2825650422215.455,0.001626228701089715,0.9983737712989105,6.919326919149265e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,5.089400951518094e-07,1964866.789993466,37102688596.57739,2499237103865.453,0.0017290341274617807,0.9982709658725376,8.420956139776073e-18,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,5.411695265464637e-07,1847848.7974222908,32816769221.95598,2210537574790.9546,0.001838326645621015,0.998161673354379,1.0248414888705962e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,5.754399373371567e-07,1737799.8287493763,29026038524.57543,1955193955015.4011,0.001954514035034558,0.9980454859649653,1.2472387281768047e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,6.118805757518225e-07,1634304.842723136,25673277154.65345,1729351949137.4563,0.002078029504823514,0.9979219704951766,1.5178886749668813e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,6.506288748655573e-07,1536973.515935271,22707877849.833,1529602651964.751,0.002209333253054767,0.9977906667469449,1.84725791651068e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,6.918309709189363e-07,1445438.770745928,20085081341.962692,1352931079194.607,0.0023489141181736633,0.997651085881826,2.24808259687905e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,7.356422544596422e-07,1359355.390878524,17765300563.803185,1196670645977.7825,0.0024972913275637396,0.9975027086724358,2.735860317512458e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,7.82227956386003e-07,1278398.7194630231,15713522951.491852,1058462906012.4911,0.002655016348427547,0.9973449836515724,3.329448585262091e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,8.317637711026709e-07,1202263.4346174132,13898781817.82314,936221943248.5667,0.0028226748463898847,0.9971773251536103,4.0517928670205395e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,8.844365191386008e-07,1130662.3979496376,12293688814.352879,828102878534.8099,0.0030008887574299297,0.9969991112425701,4.9308122948376415e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,9.404448517263523e-07,1063325.5716371606,10874020422.75542,732474015676.8052,0.0031903184789499775,0.9968096815210499,6.000477126107477e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1e-06,999999.0,9618352231.687473,647892206326.4681,0.0033916651859833484,0.9966083348140168,7.302119431750599e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.0633265716371627e-06,940443.8517263504,8507735476.959099,573081061727.9648,0.0036056732787295145,0.9963943267212706,8.886027442807264e-17,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.13066339794964e-06,884435.5191385989,7525410960.97191,506911682331.0679,0.003833132967778083,0.9961668670322218,1.0813384874430967e-16,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.2022644346174132e-06,831762.7711026708,6656556031.798231,448385614301.92883,0.00407488300354084,0.995925116996459,1.315862978118352e-16,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.2783997194630257e-06,782226.9563860013,5888060801.463751,396619775586.59827,0.004331813556548323,0.9956681864434515,1.601232358303027e-16,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.3593563908785242e-06,735641.2544596421,5208330224.49534,350833123922.0061,0.004604869255380171,0.9953951307446194,1.948464044974391e-16,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,1.445439770745928e-06,691829.9709189363,4607109048.274889,310334865491.7965,0.004895052389080851,0.9951049476109189,2.370961098574702e-16,2.0,1.0,0.9316924531362331,1.0,1.0,0.0,0.0,0.8336483931947068
