xi_completion,a,z,root_k_over_H0,min_mu_zeta_relative_on_k_grid,min_Q_tensor_on_k_grid,min_constraint_determinant_on_k_grid
1.0,0.03162277660168379,30.622776601683796,,1.0000000000001492,1.9998337424008605,80137.40747601457
1.0,0.03480700588428406,27.729848333536687,,1.0000000000001357,1.9997905717646691,60048.06292364597
1.0,0.03831186849557285,25.101572156825384,,1.0000000000001235,1.9997362136748267,44999.07786536612
1.0,0.042169650342858224,22.71373705661655,,1.0000000000001124,1.9996677749226437,33724.70237720725
1.0,0.046415888336127725,20.544346900318867,,1.0000000000001021,1.9995816165305613,25277.395270258672
1.0,0.051089697745069246,18.573417814876613,,1.000000000000093,1.9994731628013542,18947.71622086307
1.0,0.05623413251903491,16.78279410038923,,1.0000000000000846,1.999336662204148,14204.41972711744
1.0,0.06189658188912597,15.155980984398763,,1.0000000000000773,1.9991648883736257,10649.645269464036
1.0,0.06812920690579609,13.677992676220704,,1.0000000000000704,1.9989487668957688,7985.391899501257
1.0,0.07498942093324558,12.335214321633241,,1.0000000000000642,1.9986769105244977,5988.430342637751
1.0,0.08254041852680173,11.115276586285901,,1.0000000000000586,1.9983350420484547,4491.525574575788
1.0,0.09085175756516861,10.006941712522103,,1.0000000000000537,1.9979052803204809,3369.380161092057
1.0,0.1,9.0,,1.0000000000000493,1.9973652612356343,2528.109887531907
1.0,0.11006941712522081,8.08517575651688,,1.0000000000000453,1.9966870622027693,1897.362929235725
1.0,0.12115276586285877,7.25404185268019,,1.0000000000000417,1.9958358967982561,1424.4177854003387
1.0,0.1333521432163324,6.498942093324558,,1.0000000000000386,1.9947685473288048,1069.7626150042008
1.0,0.14677992676220675,5.812920690579622,,1.000000000000036,1.9934315093983015,803.7837908338148
1.0,0.1615598098439873,5.18965818891261,,1.0000000000000335,1.9917588380519655,604.2851074384854
1.0,0.1778279410038923,4.62341325190349,,1.0000000000000315,1.9896697153116278,454.6291134290683
1.0,0.19573417814876576,4.108969774506935,,1.0000000000000298,1.9870658120000821,342.3444409960917
1.0,0.21544346900318823,3.641588833612782,,1.0000000000000284,1.9838286035823551,258.0822227243307
1.0,0.23713737056616552,3.2169650342858223,,1.0000000000000275,1.9798169338085718,194.83404061470827
1.0,0.2610157215682533,2.831186849557293,,1.000000000000027,1.974865315495226,147.34582847436366
1.0,0.2872984833353663,2.480700588428413,,1.0000000000000266,1.9687837249369984,111.67860360431472
1.0,0.31622776601683794,2.162277660168379,,1.000000000000027,1.9613599806152915,84.87922590896429
1.0,0.3480700588428406,1.8729848333536685,,1.0000000000000278,1.9523661597920583,64.73361118155785
1.0,0.3831186849557285,1.6101572156825386,,1.000000000000029,1.9415707972695357,49.58173783380089
1.0,0.4216965034285822,1.3713737056616555,,1.0000000000000313,1.928758630654192,38.17896461933101
1.0,0.46415888336127725,1.1544346900318865,,1.0000000000000344,1.9137590885776121,29.59205658551541
1.0,0.5108969774506924,0.9573417814876617,,1.0000000000000389,1.8964831625368463,23.12122381859146
1.0,0.5623413251903491,0.7782794100389228,,1.000000000000045,1.8769654423949107,18.241656889587837
1.0,0.6189658188912597,0.6155980984398763,,1.0000000000000542,1.85540405383319,14.559677250323976
1.0,0.6812920690579608,0.4677992676220706,,1.0000000000000675,1.8321870692984978,11.77984698926984
1.0,0.7498942093324559,0.33352143216332397,,1.0000000000000873,1.8078919423391333,9.680302272297677
1.0,0.8254041852680173,0.21152765862859013,,1.0000000000001195,1.7832475368046246,8.094264027522112
1.0,0.9085175756516861,0.10069417125221047,,1.000000000000175,1.7590579814367602,6.896193932920043
1.0,1.0,0.0,,1.0000000000002844,1.7361016544620238,5.99144556090716
2.0,1e-08,99999999.0,,1.0004813325930018,3.0,1.1064247832539232e+29
2.0,1.1006941712522103e-08,90851756.56516862,,1.0003312752754812,3.0,7.538010128926052e+28
2.0,1.2115276586285877e-08,82540417.5268019,,1.0002276278643363,3.0,5.135605887477371e+28
2.0,1.333521432163324e-08,74989419.93324558,,1.000156199873433,3.0,3.4988620865175467e+28
2.0,1.4677992676220705e-08,68129205.90579608,,1.0001070693961545,3.0,2.3837578829141957e+28
2.0,1.6155980984398728e-08,61896580.8891261,,1.0000733293048962,3.0,1.6240435085131797e+28
2.0,1.7782794100389228e-08,56234131.51903491,,1.0000501887358446,3.0,1.1064540875379545e+28
2.0,1.9573417814876615e-08,51089696.74506924,,1.000034334803854,3.0,7.538229880055085e+27
2.0,2.1544346900318822e-08,46415887.33612782,,1.0000234824556464,3.0,5.135770677576535e+27
2.0,2.371373705661655e-08,42169649.342858225,,1.0000160589051965,3.0,3.49898566165866e+27
2.0,2.6101572156825384e-08,38311867.49557285,,1.0000109835094506,3.0,2.3838505511969652e+27
2.0,2.8729848333536628e-08,34807004.88428413,,1.0000075148476135,3.0,1.6241129999218107e+27
2.0,3.162277660168379e-08,31622775.601683795,,1.000005144846416,3.0,1.106506198742885e+27
2.0,3.480700588428413e-08,28729847.333536625,,1.0000035256827717,3.0,7.53862065896331e+26
2.0,3.831186849557285e-08,26101571.156825386,,1.0000024194330681,3.0,5.13606372041685e+26
2.0,4.2169650342858225e-08,23713736.056616552,,1.0000016634569746,3.0,3.499205412787736e+26
2.0,4.641588833612782e-08,21544345.900318824,,1.0000011466362992,3.0,2.3840153412961388e+26
2.0,5.108969774506924e-08,19573416.814876616,,1.000000793086179,3.0,1.6242365750629406e+26
2.0,5.6234132519034905e-08,17782793.100389227,,1.0000005510007248,3.0,1.1065988670256376e+26
2.0,6.18965818891261e-08,16155979.98439873,,1.0000003850214438,3.0,7.539315573049529e+25
2.0,6.812920690579608e-08,14677991.676220706,,1.000000271019683,3.0,5.136584832466109e+25
2.0,7.498942093324559e-08,13335213.32163324,,1.0000001925316357,3.0,3.4995961916958677e+25
2.0,8.25404185268019e-08,12115275.586285876,,1.0000001383236927,3.0,2.3843083841364934e+25
2.0,9.085175756516862e-08,11006940.712522103,,1.0000001007304125,3.0,1.6244563261920032e+25
2.0,1e-07,9999999.0,,1.000000074520297,3.0,1.1067636571248165e+25
2.0,1.100694171252208e-07,9085174.75651688,,1.0000000561219649,3.0,7.540551324460885e+24
2.0,1.2115276586285877e-07,8254040.85268019,,1.0000000430963136,3.0,5.137511515293598e+24
2.0,1.333521432163324e-07,7498941.093324558,,1.000000033776535,3.0,3.500291105782113e+24
2.0,1.4677992676220674e-07,6812919.690579623,,1.0000000270226317,3.0,2.384829496185758e+24
2.0,1.615598098439873e-07,6189657.18891261,,1.0000000220540315,3.0,1.6248471051001428e+24
2.0,1.7782794100389227e-07,5623412.251903491,,1.0000000183354523,3.0,1.1070566999651654e+24
2.0,1.9573417814876575e-07,5108968.774506935,,1.00000001549908,3.0,7.54274883575151e+23
2.0,2.1544346900318822e-07,4641587.833612782,,1.0000000132915015,3.0,5.139159416285392e+23
2.0,2.3713737056616554e-07,4216964.034285822,,1.0000000115375138,3.0,3.501526857193396e+23
2.0,2.610157215682533e-07,3831185.849557293,,1.0000000101154376,3.0,2.385756179013252e+23
2.0,2.8729848333536627e-07,3480699.588428413,,1.000000008940275,3.0,1.6255420191863758e+23
2.0,3.162277660168379e-07,3162276.6601683795,,1.0000000079522127,3.0,1.1075778120144063e+23
2.0,3.480700588428406e-07,2872983.833353669,,1.0000000071087711,3.0,7.546656624832957e+22
2.0,3.831186849557285e-07,2610156.2156825387,,1.000000006379439,3.0,5.1420898446888734e+22
2.0,4.2169650342858225e-07,2371372.7056616554,,1.0000000057420029,3.0,3.503724368484012e+22
2.0,4.6415888336127725e-07,2154433.6900318866,,1.0000000051800337,3.0,2.3874040800050363e+22
2.0,5.108969774506925e-07,1957340.7814876614,,1.000000004681162,3.0,1.62677777059766e+22
2.0,5.62341325190349e-07,1778278.410038923,,1.0000000042358907,3.0,1.1085044948419098e+22
2.0,6.189658188912597e-07,1615597.0984398762,,1.0000000038367796,3.0,7.553605765695249e+21
2.0,6.812920690579608e-07,1467798.2676220704,,1.0000000034778767,3.0,5.147300965181349e+21
2.0,7.498942093324558e-07,1333520.432163324,,1.0000000031543257,3.0,3.507632157565456e+21
2.0,8.254041852680173e-07,1211526.6586285902,,1.0000000028620901,3.0,2.390334508408507e+21
2.0,9.085175756516862e-07,1100693.1712522104,,1.0000000025977585,3.0,1.628975281888293e+21
2.0,1e-06,999999.0,,1.0000000023584052,3.0,1.1101523958336886e+21
2.0,1.1006941712522081e-06,908516.575651688,,1.0000000021414914,3.0,7.565963279808164e+20
2.0,1.2115276586285875e-06,825403.1852680191,,1.0000000019447912,3.0,5.1565677934563525e+20
2.0,1.333521432163324e-06,749893.2093324558,,1.000000001766338,3.0,3.514581298427781e+20
2.0,1.4677992676220675e-06,681291.0690579623,,1.0000000016043815,3.0,2.3955456289009785e+20
2.0,1.6155980984398728e-06,618964.818891261,,1.0000000014573587,3.0,1.632883070969734e+20
2.0,1.778279410038923e-06,562340.325190349,,1.0000000013238652,3.0,1.1130828242371604e+20
2.0,1.9573417814876578e-06,510895.97745069343,,1.0000000012026384,3.0,7.58793839271438e+19
2.0,2.1544346900318822e-06,464157.8833612782,,1.000000001092539,2.9999999999999996,5.173046803374167e+19
2.0,2.3713737056616552e-06,421695.5034285823,,1.000000000992537,2.9999999999999996,3.5269388125406618e+19
2.0,2.610157215682533e-06,383117.6849557293,,1.0000000009017003,2.9999999999999996,2.404812457175993e+19
2.0,2.8729848333536627e-06,348069.0588428413,,1.0000000008191856,2.999999999999999,1.6398322118320437e+19
2.0,3.162277660168379e-06,316226.76601683797,,1.0000000007442273,2.999999999999999,1.1182939447296365e+19
2.0,3.480700588428406e-06,287297.4833353669,,1.000000000676132,2.9999999999999982,7.62701628352886e+18
2.0,3.831186849557285e-06,261014.72156825388,,1.0000000006142697,2.9999999999999982,5.202351087408853e+18
2.0,4.216965034285822e-06,237136.37056616554,,1.0000000005580696,2.9999999999999973,3.548913925446912e+18
2.0,4.641588833612773e-06,215442.46900318866,,1.0000000005070122,2.9999999999999964,2.4212914670938204e+18
2.0,5.108969774506924e-06,195733.17814876616,,1.000000000460627,2.9999999999999947,1.6521897259449446e+18
2.0,5.623413251903491e-06,177826.94100389228,,1.0000000004184861,2.999999999999993,1.1275607730046528e+18
2.0,6.189658188912597e-06,161558.8098439876,,1.0000000003802008,2.9999999999999907,7.696507692151953e+17
2.0,6.8129206905796085e-06,146778.92676220706,,1.0000000003454184,2.999999999999987,5.254462292333713e+17
2.0,7.498942093324558e-06,133351.14321633242,,1.000000000313818,2.9999999999999827,3.587991816261448e+17
2.0,8.254041852680173e-06,121151.765862859,,1.0000000002851088,2.9999999999999765,2.4505957511285814e+17
2.0,9.085175756516862e-06,110068.41712522102,,1.0000000002590261,2.999999999999968,1.6741648388512554e+17
2.0,1e-05,99998.99999999999,,1.0000000002353295,2.9999999999999565,1.144039782922543e+17
2.0,1.100694171252208e-05,90850.75756516881,,1.000000000213801,2.999999999999941,7.820082833281645e+16
2.0,1.2115276586285876e-05,82539.4185268019,,1.0000000001942417,2.99999999999992,5.347130575084437e+16
2.0,1.333521432163324e-05,74988.42093324558,,1.0000000001764722,2.9999999999998916,3.657483224885087e+16
2.0,1.4677992676220675e-05,68128.20690579622,,1.000000000160328,2.9999999999998535,2.5027069560539076e+16
2.0,1.6155980984398728e-05,61895.5818891261,,1.0000000001456606,2.9999999999998015,1.7132427296661966e+16
2.0,1.778279410038923e-05,56233.1325190349,,1.0000000001323353,2.9999999999997313,1.173344066957674e+16
2.0,1.9573417814876576e-05,51088.697745069345,,1.000000000120229,2.9999999999996363,8039833962348306.0
2.0,2.1544346900318823e-05,46414.88833612782,,1.0000000001092302,2.9999999999995084,5511920674266550.0
2.0,2.3713737056616554e-05,42168.65034285822,,1.0000000000992375,2.999999999999335,3781058366017783.0
