a,z,E,Omega_m,Omega_r,Omega_R,closure,dlnE_dln_a,q,w_R,Q_T,alpha_M,dL_GW_over_dL_EM,source,X,Q_X,Q_XX,V,V_X,V_XX,L_R3,L_KR3_trace,F_XX
3.0725573652674454e-06,325460.783498046,1010029210.9978633,0.010138025666125705,0.9898619743338714,2.742255422283143e-15,0.9999999999999999,-1.9949309871669325,0.9949309871669325,-0.7340092017110754,0.9999999999999989,-3.366529425624116e-15,0.8548706604825358,1.0201590070689633e+18,1010029210.9978633,1.6707851416107783e-24,-4.3009066674806895e-33,212576447668683.72,210465.64333421324,0.0,0.9999999999999989,5.569283805369261e-25,-6.0
3.7583740428844434e-06,266071.50597988087,675810223.0160594,0.012372906770806652,0.9876270932291883,5.215819902955967e-15,1.0,-1.993813546614589,0.993813546614589,-0.7341581937847212,0.999999999999998,-6.399613771824993e-15,0.8548706604825361,4.567194575330136e+17,675810223.0160594,4.7494625200715625e-24,-1.8272293221076175e-32,142234833348861.16,210465.6433323544,0.0,0.999999999999998,1.5831541733571875e-24,-6.000000000000001
4.597269885308718e-06,217519.40340195244,452296920.2335304,0.015092945143729292,0.9849070548562606,9.916636395803224e-15,0.9999999999999998,-1.9924535274281192,0.9924535274281192,-0.7343395296762505,0.9999999999999962,-1.2159038256640167e-14,0.8548706604825369,2.0457250405273453e+17,452296920.2335304,1.3492343638310804e-23,-7.755987694707758e-32,95192962285632.88,210465.64332999047,1.2869347171895528e-13,0.9999999999999962,4.497447879436935e-24,-5.999999999999873
5.623413251903491e-06,177826.94100389228,302798652.532624,0.01839981169004355,0.9816001883099376,1.884498939722131e-14,1.0,-1.9908000941549477,0.9908000941549477,-0.7345599874460067,0.9999999999999928,-2.308714256389997e-14,0.8548706604825385,9.168702397557102e+16,302798652.532624,3.829910224216312e-23,-3.288576915512191e-31,63728713197443.164,210465.64332698492,4.8058058075204725e-14,0.9999999999999928,1.2766367414054373e-23,-5.999999999999957
6.878599123088081e-06,145377.43856076608,202788782.9816242,0.02241472407246244,0.9775852759275016,3.5790841742140433e-14,0.9999999999999998,-1.988792637963711,0.9887926379637111,-0.734827648271505,0.9999999999999862,-4.3803423115873326e-14,0.8548706604825412,4.112329050316679e+16,202788782.9816242,1.08611201546461e-22,-1.392528323510055e-30,42680071663514.8,210465.64332316522,-7.175897509831045e-14,0.9999999999999862,3.620373384882033e-23,-6.000000000000083
8.413951416451948e-06,118849.22274370189,135871270.10578054,0.027281357985942722,0.9727186420139889,6.792630366960999e-14,0.9999999999999996,-1.986359321006919,0.986359321006919,-0.7351520905324105,0.9999999999999739,-8.303141319118755e-14,0.8548706604825465,1.846100204015671e+16,135871270.10578054,3.07650044234356e-22,-5.887117375868041e-30,28596234266659.246,210465.64331831288,2.1420150434303516e-13,0.9999999999999739,1.0255001474478533e-22,-5.9999999999998055
1.0292005271944266e-05,97161.79515771077,91084802.3757079,0.03316877359738251,0.9668312264024888,1.2880381485049109e-13,1.0,-1.983415613201102,0.983415613201102,-0.7355445849065194,0.9999999999999505,-1.5721322917805574e-13,0.8548706604825564,8296441223820695.0,91084802.3757079,8.702207612516064e-22,-2.484030179213852e-29,19170221524017.945,210465.643312152,6.390490992592517e-13,0.9999999999999505,2.900735870838688e-22,-5.999999999999397
1.2589254117941661e-05,79431.82347242822,61100905.92675841,0.04027411036077585,0.9597258896389802,2.4398659120452277e-13,1.0,-1.9798629448192206,0.9798629448192206,-0.7360182740241037,0.9999999999999062,-2.9726769905146773e-13,0.8548706604825754,3733320705069670.0,61100905.92675841,2.457338271995148e-21,-1.0456603563521435e-28,12859641468989.598,210465.64330433475,7.144860624269903e-13,0.9999999999999062,8.19112757331716e-22,-5.999999999999353
1.539926526059492e-05,64937.16315762114,41019557.019350395,0.0488246706848361,0.9511753293147026,4.615902778020845e-13,1.0000000000000002,-1.9755876646568418,0.9755876646568418,-0.7365883113790875,0.9999999999998225,-5.611766516624522e-13,0.8548706604826113,1682604058062962.0,41019557.019350395,6.924881110649594e-21,-4.389294324510529e-28,8633207452862.145,210465.6432944234,1.0642666292606912e-12,0.9999999999998225,2.3082937035498648e-21,-5.999999999999064
1.883649089489802e-05,53087.444423098794,27564152.09897352,0.05907884270715707,0.940921157291971,8.71948386286934e-13,1.0,-1.970460578645021,0.9704605786450211,-0.7372719228473303,0.9999999999996646,-1.0573168749489971e-12,0.8548706604826787,759782480934683.9,27564152.09897352,1.9466719687358094e-20,-1.83620635189353e-27,5801307000583.614,210465.64328186878,1.5837869972564848e-12,0.9999999999996646,6.488906562452698e-21,-5.999999999998658
2.3040929760558447e-05,43400.026364474405,18543401.56090822,0.0713251097240178,0.9286748902743377,1.6441413560209013e-12,0.9999999999999997,-1.964337445135348,0.9643374451353479,-0.7380883406486201,0.9999999999993676,-1.9874759573720033e-12,0.8548706604828057,343857741448528.0,18543401.56090822,5.456276685210861e-20,-7.650332830459533e-27,3902748935768.536,210465.64326598315,3.923744837204095e-12,0.9999999999993676,1.818758895070287e-20,-5.999999999996532
2.818382931264449e-05,35480.3389233576,12491633.003195092,0.08587817800647321,0.9141218219904333,3.0935094873314328e-12,1.0,-1.9570609109917874,0.9570609109917874,-0.7390585452010947,0.9999999999988102,-3.725653227966642e-12,0.8548706604830439,156040895086030.16,12491633.003195092,1.5239786067707775e-19,-3.171998709451419e-26,2629059573426.955,210465.64324590922,4.659731909894951e-12,0.9999999999988102,5.079928689235925e-20,-5.999999999996197
3.447466065731491e-05,29005.811986931563,8428343.716241702,0.10307106849100205,0.8969289315031926,5.805700357288863e-12,1.0000000000000004,-1.9484644657451506,0.9484644657451506,-0.7402047379006464,0.999999999997767,-6.961354366133248e-12,0.8548706604834898,71036977798698.6,8428343.716241702,4.238957026068765e-19,-1.3076458009095795e-25,1773876780000.1733,210465.64322058109,6.906180249388901e-12,0.999999999997767,1.412985675356255e-19,-5.999999999994701
4.216965034285822e-05,23712.737056616555,5697461.122145373,0.12324193656610288,0.8767580634230342,1.0863055690270829e-11,1.0000000000000002,-1.938379031699434,0.938379031699434,-0.7415494624400752,0.9999999999958219,-1.2957981150949027e-11,0.8548706604843211,32461063238005.395,5697461.122145373,1.1733221525418249e-18,-5.354380716287718e-25,1199119818312.824,210465.64318868075,2.0432841811455857e-11,0.9999999999958219,3.9110738418060827e-19,-5.999999999982576
5.158221650723061e-05,19385.526359522057,3859882.4367389986,0.14671452105463645,0.8532854789251092,2.0254600189740383e-11,1.0000000000000002,-1.9266427394399777,0.9266427394399777,-0.7431143014080027,0.9999999999922098,-2.4014386705308854e-11,0.8548706604858651,14898692425144.426,3859882.4367389986,3.2292095813319627e-18,-2.1751815116746934e-24,812372638411.9863,210465.6431485856,2.2620246290457675e-11,0.9999999999922098,1.076403193777321e-18,-5.99999999998299
6.309573444801929e-05,15847.931924611143,2621628.8090118235,0.17377162125455614,0.8262283787078315,3.7612160198800504e-11,0.9999999999999998,-1.9131141893118886,0.9131141893118886,-0.744918108091748,0.9999999999855338,-4.428083530340801e-11,0.8548706604887187,6872937611982.244,2621628.8090118235,8.82884131352212e-18,-8.756002122455355e-24,551762792299.2433,210465.64309830888,4.995643800382296e-11,0.9999999999855338,2.9429471045073734e-18,-5.999999999960459
7.717915155850112e-05,12955.866975170216,1785806.7780601545,0.2046219978867656,0.7953780020437151,6.951956586249874e-11,1.0000000000000002,-1.897689000943964,0.897689000943964,-0.7469747998741378,0.9999999999732617,-8.118554799457896e-11,0.8548706604939642,3189105848343.8853,1785806.7780601545,2.3956271095840887e-17,-3.487852416491807e-23,375850971062.8602,210465.64303543247,1.1408110647425273e-10,0.9999999999732617,7.98542369861363e-18,-5.99999999990517
9.440608762859227e-05,10591.537251772897,1220484.9605940483,0.2393626533103278,0.7606373465618543,1.278174965191413e-10,0.9999999999999997,-1.880318673137268,0.8803186731372681,-0.7492908435816974,0.9999999999508394,-1.4790007721256263e-10,0.8548706605035483,1489583538845.8604,1220484.9605940483,6.444726766364364e-17,-1.372920612127516e-22,256870151247.8153,210465.6429570299,2.2653813710657351e-10,0.9999999999508394,2.148242255454788e-17,-5.999999999808858
0.00011547819846894582,8658.643233600653,837210.6558733743,0.2779404523931939,0.7220595473731879,2.3361816203146293e-10,0.9999999999999999,-1.8610297734231207,0.8610297734231207,-0.751862696876917,0.9999999999101469,-2.675509878104644e-10,0.8548706605209417,700921682144.1775,837210.6558733743,1.7171905515060304e-16,-5.332822036879781e-22,176204078292.67313,210465.6428595811,3.4762852397128677e-10,0.9999999999101469,5.723968505020101e-17,-5.999999999717065
0.0001412537544622754,7078.45784384138,576640.0920392156,0.32011909921194487,0.679880900363832,4.2422324698558584e-10,1.0000000000000002,-1.8399404497016905,0.8399404497016905,-0.754674606706441,0.9999999998368372,-4.803356996676467e-10,0.8548706605522769,332513795605.935,576640.0920392156,4.527268625395603e-16,-2.0412903279816325e-21,121362927079.2003,210465.64273887494,6.813638464782604e-10,0.9999999998368372,1.5090895417985345e-16,-5.999999999436113
0.00017278259805078626,5786.619883491209,398925.1058625835,0.365458878205287,0.6345411210297933,7.649199856679106e-10,1.0000000000000002,-1.8172705596455305,0.8172705596455305,-0.757697258713929,0.9999999997058,-8.554255820601429e-10,0.8548706606082868,159141239965.7432,398925.1058625835,1.1799708372889422e-15,-7.690476564877056e-21,83960028301.14577,210465.64258989756,1.0943343761299591e-09,0.9999999997058,3.933236124296474e-16,-5.99999999911749
0.00021134890398366455,4730.512589614807,277280.47693088744,0.41331643042125493,0.5866835682098461,1.3688987621363827e-09,0.9999999999999998,-1.7933417825425555,0.7933417825425555,-0.760887762327659,0.9999999994735005,-1.5107097523092078e-09,0.8548706607075798,76884462781.77335,277280.47693088744,3.0380762741105023e-15,-2.848739442421175e-20,58358013315.49119,210465.64240670102,2.099234015936941e-09,0.9999999994735005,1.0126920913701675e-15,-5.999999998279847
0.0002585234839562189,3867.1205463305246,193678.47063822957,0.46286949565064084,0.5371305019187674,2.430591882932649e-09,1.0000000000000002,-1.7685652481732281,0.7685652481732281,-0.7641913002435694,0.999999999065157,-2.645329440409345e-09,0.8548706608821203,37511349897.588776,193678.47063822957,7.722845219226111e-15,-1.0367387508887397e-19,40762663363.10484,210465.64218224568,3.756719882089955e-09,0.999999999065157,2.574281739742037e-15,-5.999999996916367
0.00031622776601683794,3161.277660168379,135966.29383655544,0.5131670172979588,0.4868329784209727,4.2810685601139505e-09,1.0,-1.7434164842816207,0.7434164842816207,-0.7675444687624504,0.9999999983534351,-4.593037237127313e-09,0.8548706611863354,18486832980.505135,135966.29383655544,1.9376153125625522e-14,-3.7051828584948226e-19,28616233017.968662,210465.64190820637,6.100476409470247e-09,0.9999999983534351,6.458717708541841e-15,-5.999999995085049
0.0003868120546330521,2584.234839562191,95935.55305370988,0.5631992757415137,0.4368007167789465,7.479539583358946e-09,0.9999999999999998,-1.718400349740732,0.7184003497407321,-0.7708799533679022,0.999999997123254,-7.909442137180324e-09,0.8548706617121582,9203630270.882265,95935.55305370988,4.797797524742949e-14,-1.3002764005511008e-18,20191137469.101418,210465.64157473296,1.1224636671806061e-08,0.999999997123254,1.599265841580983e-14,-5.999999990846621
0.0004731512589614803,2112.4890398366474,68028.80840001066,0.611977601204678,0.388022385831483,1.2963838627976387e-08,0.9999999999999998,-1.694011177862161,0.6940111778621609,-0.7741318429517117,0.9999999950139082,-1.3514392402026e-08,0.8548706626137671,4627918712.329768,68028.80840001066,1.1727012475473869e-13,-4.481958915191177e-18,14317726556.427353,210465.64117015013,1.967954801150407e-08,0.9999999950139082,3.9090041584912896e-14,-5.999999983910437
0.0005787619883491203,1726.8259805078644,48472.59423557155,0.6586106171156758,0.3413893605872347,2.2297089482355958e-08,1.0,-1.6706946542983085,0.6706946542983085,-0.7772407127602253,0.9999999914241964,-2.292407909172048e-08,0.8548706641481368,2349592339.5372925,48472.59423557155,2.830730653410463e-13,-1.518363068587789e-17,10201815407.803188,210465.64068058837,3.3623422291157926e-08,0.9999999914241964,9.435768844701543e-14,-5.999999972551156
0.0007079457843841374,1411.5375446227554,34695.98505170176,0.7023649172404859,0.2976350446884123,3.807110158785958e-08,0.9999999999999998,-1.648817477792013,0.648817477792013,-0.7801576696277315,0.9999999853572686,-3.8629106840625244e-08,0.8548706667413561,1203811332.8774867,34695.98505170176,6.752472994498385e-13,-5.060075325454884e-17,7302312533.223093,210465.64008952852,5.7040042765352654e-08,0.9999999853572686,2.2508243314994617e-13,-5.999999953502724
0.0008659643233600645,1153.7819846894593,24940.391834978436,0.7427021994580209,0.257297735977008,6.456497137629098e-08,1.0000000000000002,-1.6286487921717794,0.6286487921717794,-0.7828468277104292,0.9999999751673188,-6.470994785221492e-08,0.8548706710969008,622023104.7213526,24940.391834978436,1.5930900500927063e-12,-1.6607734786630947e-16,5249095365.581468,210465.63937725042,9.568871705102598e-08,0.9999999751673188,5.310300166975687e-13,-5.999999922190813
0.0010592537251772876,943.0608762859246,17997.447565310555,0.7792905697368587,0.2207093214441409,1.0881900021227717e-07,0.9999999999999999,-1.6103545325410038,0.6103545325410038,-0.7852860623278659,0.9999999581465384,-1.0783826310935597e-07,0.8548706783721841,323908083.6187451,17997.447565310555,3.7208353211843365e-12,-5.375302137197394e-16,3787844163.422202,210465.63852016593,1.5928521473034727e-07,0.9999999581465384,1.2402784403947789e-12,-5.999999870849278
0.0012956866975170189,770.7915155850128,13032.702427680539,0.8119930204472461,0.18800679716862972,1.8238412408282725e-07,0.9999999999999999,-1.5940031831523038,0.5940031831523038,-0.7874662422463593,0.9999999298522599,-1.7890516599254473e-07,0.8548706904661594,169851301.5902837,13032.702427680539,8.611904144499492e-12,-1.7180589295722695e-15,2742935910.2785406,210465.63749002162,2.668600590721259e-07,0.9999999298522599,2.870634714833164e-12,-5.999999783646313
0.0015848931924611108,629.9573444801943,9466.818839362604,0.8408395323002412,0.15916016353023862,3.041695199557607e-07,0.9999999999999998,-1.57957972160284,0.57957972160284,-0.7893893704529544,0.999999883011723,-2.9566773037537517e-07,0.8548707104874625,89620631.6774379,9466.818839362604,1.9772348687122616e-11,-5.430346504093758e-15,1992439949.6659756,210465.63625294468,4.4884763496117084e-07,0.999999883011723,6.590782895707539e-12,-5.999999635383924
0.0019386526359522057,514.8221650723061,6895.314706642992,0.8659903844184941,0.1340091105067639,5.050747419792902e-07,1.0,-1.5670039559320925,0.5670039559320925,-0.7910661392090541,0.9999998057404839,-4.8704878305874e-07,0.8548707435159278,47545340.88968422,6895.314706642992,4.5076292969480835e-11,-1.699681112474974e-14,1451226697.9939063,210465.63476830503,7.47083811267748e-07,0.9999998057404839,1.5025430989826946e-11,-5.99999939278304
