a,z,k_over_H0,xi_completion,mu_zeta,mu_zeta_relative,constraint_determinant,Q_tensor,matter_kinetic_positive,matter_kinetic_negative,matter_kinetic_null,root_at_this_a,root_k_over_H0
1e-07,9999999.0,0.004216965034285823,1.0,3.3200085764820347e+25,1.5000638074277413,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.005623413251903491,1.0,3.320008576482037e+25,1.5000638074277421,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.007498942093324558,1.0,3.3200085764820416e+25,1.5000638074277437,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.01,1.0,3.3200085764820485e+25,1.500063807427747,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.01333521432163324,1.0,3.320008576482059e+25,1.5000638074277528,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.01778279410038923,1.0,3.320008576482083e+25,1.5000638074277628,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.023713737056616554,1.0,3.3200085764821198e+25,1.5000638074277808,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.03162277660168379,1.0,3.320008576482192e+25,1.500063807427812,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.042169650342858224,1.0,3.3200085764823148e+25,1.500063807427869,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.05623413251903491,1.0,3.320008576482537e+25,1.5000638074279686,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.07498942093324558,1.0,3.320008576482931e+25,1.5000638074281465,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.1,1.0,3.3200085764836303e+25,1.500063807428463,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.1333521432163324,1.0,3.3200085764848754e+25,1.5000638074290253,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.1778279410038923,1.0,3.3200085764870908e+25,1.5000638074300257,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.23713737056616552,1.0,3.320008576491028e+25,1.5000638074318051,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.31622776601683794,1.0,3.32000857649803e+25,1.5000638074349688,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.4216965034285822,1.0,3.3200085765104837e+25,1.5000638074405943,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.5623413251903491,1.0,3.320008576532627e+25,1.5000638074505985,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,0.7498942093324559,1.0,3.3200085765720044e+25,1.5000638074683892,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,1.0,1.0,3.3200085766420274e+25,1.5000638075000259,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,1.333521432163324,1.0,3.320008576766549e+25,1.5000638075562849,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,1.7782794100389228,1.0,3.320008576987985e+25,1.5000638076563282,-7.378424380832088e+24,2.0,3,0,1,0,
1e-07,9999999.0,2.371373705661655,1.0,3.3200085773817587e+25,1.5000638078342332,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,3.1622776601683795,1.0,3.3200085780819977e+25,1.5000638081505988,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,4.216965034285822,1.0,3.3200085793272178e+25,1.5000638087131852,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,5.623413251903491,1.0,3.3200085815415663e+25,1.5000638097136207,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,7.498942093324558,1.0,3.3200085854793006e+25,1.5000638114926748,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,10.0,1.0,3.320008592481691e+25,1.5000638146563292,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,13.33521432163324,1.0,3.3200086049338953e+25,1.5000638202821925,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,17.78279410038923,1.0,3.320008627077399e+25,1.5000638302865474,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,23.71373705661655,1.0,3.32000866645473e+25,1.5000638480770871,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,31.622776601683793,1.0,3.3200087364786306e+25,1.500063879713637,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,42.169650342858226,1.0,3.3200088610006907e+25,1.5000639359722627,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,56.23413251903491,1.0,3.320009082435713e+25,1.500064036015821,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,74.98942093324558,1.0,3.320009476209067e+25,1.5000642139212272,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,100.0,1.0,3.320010176448155e+25,1.5000645302867675,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,133.3521432163324,1.0,3.3200114216690454e+25,1.5000650928731551,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,177.82794100389228,1.0,3.3200136360201493e+25,1.5000660933091405,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,237.13737056616552,1.0,3.3200175737564945e+25,1.5000678723644716,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,316.22776601683796,1.0,3.320024576156282e+25,1.5000710360238905,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,421.6965034285823,1.0,3.320037028393329e+25,1.5000766619004746,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,562.341325190349,1.0,3.320059171993338e+25,1.5000866663005084,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,749.8942093324558,1.0,3.3200985496381045e+25,1.500104456980891,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,1000.0,1.0,3.3201685745256384e+25,1.5001360939769097,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,1333.521432163324,1.0,3.3202930997094085e+25,1.5001923540134499,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,1778.2794100389228,1.0,3.320514544605995e+25,1.5002924020320827,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,2371.373705661655,1.0,3.320908349186873e+25,1.5004703215428696,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,3162.2776601683795,1.0,3.3216086870271743e+25,1.500786731686008,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,4216.965034285822,1.0,3.322854220196844e+25,1.5013494591210397,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,5623.413251903491,1.0,3.325069558812466e+25,1.5023503411368122,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,7498.942093324558,1.0,3.329010417940789e+25,1.5041308069408226,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,10000.0,1.0,3.33602269284136e+25,1.5072989266655084,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,13335.21432163324,1.0,3.3485061577335193e+25,1.5129389079709576,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,17782.794100389227,1.0,3.3707485088653074e+25,1.5229879110263984,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,23713.737056616552,1.0,3.410438432103243e+25,1.5409196384191135,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,31622.776601683792,1.0,3.48145083086443e+25,1.573002663525939,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,42169.65034285822,1.0,3.6090987993331604e+25,1.6306731638240168,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,56234.13251903491,1.0,3.840418808205827e+25,1.735181437649033,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,74989.42093324558,1.0,4.26545123605648e+25,1.9272053853442206,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,100000.0,1.0,5.0645401992164055e+25,1.7762667604140157,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,133352.1432163324,1.0,6.622351838616725e+25,1.5020124649278093,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,177827.94100389228,1.0,9.82520168282386e+25,1.2907954814872746,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,237137.37056616554,1.0,1.6888845508460517e+26,1.15084120240292,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,316227.7660168379,1.0,3.377623269486441e+26,1.0701445964190957,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,421696.5034285823,1.0,7.748754456016895e+26,1.0294189446893791,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,562341.3251903491,1.0,1.9848101855028685e+27,1.0112877463004233,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,749894.2093324559,1.0,5.504494115196668e+27,1.0040440356515832,-7.378424380832088e+24,2.0,4,0,0,0,
1e-07,9999999.0,1000000.0,1.0,1.608973038864171e+28,1.001381699002418,-7.378424380832088e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,0.0001,1.0,8.666626756085514e+24,1.5000892682827944,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.0001333521432163324,1.0,8.666626756085514e+24,1.5000892682827944,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.00017782794100389227,1.0,8.666626756085518e+24,1.5000892682827942,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.00023713737056616554,1.0,8.666626756085517e+24,1.5000892682827942,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.00031622776601683794,1.0,8.666626756085514e+24,1.5000892682827944,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.00042169650342858224,1.0,8.666626756085517e+24,1.5000892682827942,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.0005623413251903491,1.0,8.666626756085515e+24,1.5000892682827944,-1.9261462198153952e+24,2.0,3,0,1,0,
1.399050314137293e-07,7147704.7679418605,0.0007498942093324559,1.0,8.666626756085515e+24,1.5000892682827944,-1.9261462198153952e+24,2.0,3,0,1,0,
