a,z,E,dE_dln_a,d2E_dln_a2,Hdot_over_H0_sq,Hddot_over_H0_cu,background_denominator,Q,Q_X,Q_XX,V,V_X,V_XX,Omega,c_hat,Lambda_hat,M2_4_hat,M1_3_hat,M2_bar_hat,M3_bar_hat,Mhat2_hat,m2_sq_hat,m5_bar_hat,deltaR_deltaK_coefficient_hat,F_hat,Fdot_hat
1.3724609610075625e-06,728617.1745132274,5047919373.144739,-10084344543.647564,20157168712.148342,-5.090495818734498e+19,1.0269778302631297e+30,10095838746.289478,0.9999999999999999,2.5473966201350412e-26,-1.312071513579858e-35,1062413598369795.8,210465.64333843478,3.08617265996715e-16,-1.1102230246251565e-16,-1317.3641598936838,7172.9060213295,658.6820799468419,1.296751184345582e-06,2.5718105499726174e-17,0.0,0.0,0.0,-8.491322067116804e-27,-4.245661033558402e-27,10095768591.07503,-1.0180991637468996e+20
1.678804018122559e-06,595661.1435290109,3375460468.934964,-6741528934.648643,13473639733.426746,-2.2755764419087737e+19,3.0692370300636243e+29,6750920937.869927,0.9999999999999999,7.253088308114065e-26,-5.586802089566971e-35,710418459138721.2,210465.64333772557,5.875803086816024e-16,-1.1102230246251565e-16,-1122.746196622648,6099.597588210931,561.373098311324,1.6504956885028332e-06,4.896502572346682e-17,0.0,0.0,0.0,-2.4176961027046884e-26,-1.2088480513523442e-26,6750850782.655482,-4.551152883817547e+19
2.053525026457146e-06,486966.5251658631,2257369129.3746862,-4507064843.912188,9006430188.95225,-1.0174109042737312e+19,9.174957407371538e+28,4514738258.749372,0.9999999999999997,2.0645343883650258e-25,-2.3778961712105974e-34,475098646048278.6,210465.64333682306,1.1184998867586401e-15,-3.3306690738754696e-16,-957.1558892337084,5185.8898589739865,478.5779446168542,2.1004797989706754e-06,9.320832389655302e-17,0.0,0.0,0.0,-6.881781294550086e-26,-3.440890647275043e-26,4514668103.534925,-2.034821808547462e+19
2.5118864315095823e-06,398106.1705534969,1509843206.6585665,-3013417974.233215,6020541484.608304,-4.5497886572188385e+18,2.7435000883624787e+28,3019686413.317132,0.9999999999999994,5.874433950475894e-25,-1.0115969793339775e-33,317770121813261.5,210465.6433356745,2.1286738063417156e-15,-5.551115123125783e-16,-816.2731839413975,4408.003928703607,408.13659197069876,2.6727432955456475e-06,1.773894838618094e-16,0.0,0.0,0.0,-1.9581446501586314e-25,-9.790723250793157e-26,3019616258.1026874,-9.099577314437674e+18
3.0725573652674454e-06,325460.783498046,1010029210.9978633,-2014938570.9634054,4024731338.303915,-2.0351468150393306e+18,8.206561740999548e+27,2020058421.9957254,0.9999999999999989,1.6707851416107783e-24,-4.300906667735189e-33,212576447668683.72,210465.64333421324,4.050100315987418e-15,-1.1102230246251565e-15,-696.4208333936567,3745.609376681816,348.21041669682836,3.4002930595642122e-06,3.375083596656173e-16,0.0,0.0,0.0,-5.569283805369261e-25,-2.7846419026846307e-25,2019988266.7812815,-4.0702936300786586e+18
3.7583740428844434e-06,266071.50597988087,675810223.0160594,-1347439577.5900457,2690672421.9903016,-9.106134414317937e+17,2.4558790398411307e+27,1351620446.0321174,0.999999999999998,4.7494625200715625e-24,-1.8272293214322415e-32,142234833348861.16,210465.6433323544,7.703364779750362e-15,-1.9984014443252818e-15,-594.4686142337714,3181.7357989258617,297.2343071168857,4.324924410353685e-06,6.419470649791943e-16,0.0,0.0,0.0,-1.5831541733571875e-24,-7.9157708667859375e-25,1351550290.8176742,-1.8212268828635855e+18
4.597269885308718e-06,217519.40340195244,452296920.2335304,-901180594.1641723,1798922184.0558672,-4.0760120731467814e+17,7.353323139782022e+26,904593840.467059,0.9999999999999962,1.3492343638310804e-23,-7.755987690894621e-32,95192962285632.88,210465.64332999047,1.4646109138417096e-14,-3.774758283725532e-15,-507.75178155175854,2701.482546056519,253.87589077587927,5.499495556480001e-06,1.2205090948680866e-15,0.0,0.0,0.0,-4.497447879436935e-24,-2.2487239397184675e-24,904523685.2526168,-8.152024146293548e+17
5.623413251903491e-06,177826.94100389228,302798652.532624,-602811585.9719392,1202811824.497221,-1.8253053596335722e+17,2.203137584631586e+26,605597305.0652457,0.9999999999999928,3.829910224216312e-23,-3.2885769139575493e-31,63728713197443.164,210465.64332698492,2.78325997251269e-14,-7.216449660063518e-15,-434.0016375284805,2292.5077771611127,217.00081876424025,6.99075565917745e-06,2.3193833104272364e-15,0.0,0.0,0.0,-1.2766367414054373e-23,-6.3831837070271865e-24,605527149.8508047,-3.650610719267131e+17
6.878599123088081e-06,145377.43856076608,202788782.9816242,-403304838.6554749,804311478.7254542,-8.178569740154406e+16,6.606050208951492e+25,405577565.96324545,0.9999999999999862,1.08611201546461e-22,-1.392528323651843e-30,42680071663514.8,210465.64332316522,5.286032011146907e-14,-1.3766765505351941e-14,-371.2864078756037,1944.213549382866,185.64320393780184,8.882842864096974e-06,4.4050266759557345e-15,0.0,0.0,0.0,-3.620373384882033e-23,-1.8101866924410166e-23,405507410.7488062,-1.6357139480308694e+17
8.413951416451948e-06,118849.22274370189,135871270.10578054,-269889163.83166593,537899669.971218,-3.667018347759554e+16,1.9827052061060987e+25,271742540.2115574,0.9999999999999739,3.07650044234356e-22,-5.8871173750461236e-30,28596234266659.246,210465.64331831288,1.0032192541973167e-13,-2.609024107869118e-14,-317.9608895046264,1647.5543219725453,158.9804447523132,1.1281583568964217e-05,8.360160451644301e-15,0.0,0.0,0.0,-1.0255001474478533e-22,-5.1275007372392666e-23,271672384.9971202,-7.334036695519008e+16
