a,z,k_over_H0,constraint_discriminant,constraint_block_determinant,constraint_relative_error,kinetic_positive,kinetic_negative,kinetic_null,normalized_null_residual,m5_bar_hat
2.8729848333536687e-06,348069.0588428406,0.05623413251903491,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,3.747495459447103e-17,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,0.1,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,1.8891463060082065e-17,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,0.1778279410038923,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,2.0243517598755453e-16,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,0.31622776601683794,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,5.1425742679199684e-17,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,0.5623413251903491,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,6.251913867554825e-18,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,1.0,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,3.3382054433965787e-16,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,1.7782794100389228,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,2.0632529745020205e-16,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,3.1622776601683795,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,1.3375097597102925e-16,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,5.623413251903491,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,2.881615812238215e-17,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,10.0,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,6.797530900070795e-17,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,17.78279410038923,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,1.0767160053126192e-16,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,31.622776601683793,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,1.9300645950299322e-17,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,56.23413251903491,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,9.158793816802646e-17,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,100.0,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,1.328715228850249e-17,-3.73363430451624e-25
5.623413251903491e-06,177826.94100389228,0.01,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,1.8632684420181057e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,0.01778279410038923,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,4.983729347227805e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,0.03162277660168379,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,3.609847345000187e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,0.05623413251903491,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,4.608239844005246e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,0.1,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,7.225497281592905e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,0.1778279410038923,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,1.1840830188077976e-16,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,0.31622776601683794,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,2.218005692535573e-16,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,0.5623413251903491,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,6.040594361660305e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,1.0,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,7.318009842372242e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,1.7782794100389228,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,9.223278418034057e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,3.1622776601683795,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,1.3953314384829004e-16,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,5.623413251903491,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,3.294290648590523e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,10.0,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,9.768855197302186e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,17.78279410038923,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,1.7203151593396786e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,31.622776601683793,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,4.3144674687271495e-17,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,56.23413251903491,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,1.2568689531647926e-16,-1.2122412806047843e-23
5.623413251903491e-06,177826.94100389228,100.0,3.758535910015501e+38,-3.758535910015492e+17,2.554186052717641e-15,4,0,1,1.5018598401785438e-16,-1.2122412806047843e-23
1.1006941712522103e-05,90850.75756516862,0.01,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,1.744278519559638e-17,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,0.01778279410038923,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,2.1941375895037534e-16,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,0.03162277660168379,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,1.1076943697795897e-16,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,0.05623413251903491,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,8.400050232942324e-18,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,0.1,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,3.0659522322150635e-16,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,0.1778279410038923,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,1.9232510174354706e-19,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,0.31622776601683794,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,2.079507525343163e-18,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,0.5623413251903491,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,2.0593749108785362e-17,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,1.0,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,2.0967257908995373e-16,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,1.7782794100389228,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,2.1467365981369165e-17,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,3.1622776601683795,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,3.2010299455897683e-16,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,5.623413251903491,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,1.214618746957315e-19,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,10.0,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,1.4795157281903927e-16,-3.8922099273446686e-22
1.1006941712522103e-05,90850.75756516862,17.78279410038923,1.7759201378969488e+36,-2.606694277760425e+16,3.2224722598527903e-15,4,0,1,2.2909842090465727e-17,-3.8922099273446686e-22
