a,z,E,Omega_m,Omega_r,Omega_R,closure,dlnE_dln_a,q,w_R,Q_T,alpha_M,dL_GW_over_dL_EM,source
1.0964781961431852e-07,9120107.393559096,789224585970.0212,0.00036535919591703384,0.9996346408040828,6.449428449667634e-20,0.9999999999999999,-1.9998173204020409,0.9998173204020409,-0.733357690613061,1.0,-7.937033058670162e-20,0.8548706604825353,6.228754470995513e+23
1.1659144011798311e-07,8576957.985908946,698027120601.458,0.0003884871528045677,0.9996115128471955,7.849581877425015e-20,1.0,-1.9998057564235978,0.9998057564235978,-0.7333592324768534,1.0,-9.660085553226397e-20,0.8548706604825353,4.872418610951624e+23
1.2397477630289454e-07,8066155.9217661265,617368270780.1013,0.0004130785499402337,0.9995869214500593,9.553693623886945e-20,0.9999999999999996,-1.9997934607250292,0.9997934607250292,-0.7333608719033293,1.0,-1.175717786758124e-19,0.8548706604825353,3.811435817660124e+23
1.3182567385564074e-07,7585774.7502918355,546030186055.683,0.0004392259086808467,0.999560774091319,1.1627746493572048e-19,0.9999999999999999,-1.9997803870456594,0.9997803870456594,-0.7333626150605785,1.0,-1.430950115900573e-19,0.8548706604825353,2.9814896408400373e+23
1.4017374183467694e-07,7134002.750712564,482935753309.1234,0.00046702758943308693,0.999532972410567,1.4152045768556264e-19,1.0000000000000002,-1.9997664862052837,0.9997664862052837,-0.7333644685059619,1.0,-1.7415868824124368e-19,0.8548706604825353,2.3322694182425054e+23
1.4905046433861975e-07,6709136.099554106,427132332758.2616,0.0004965881588098801,0.99950341184119,1.7224327815004246e-19,0.9999999999999999,-1.999751705920595,0.9997517059205949,-0.7333664392105871,1.0,-2.1196540880855565e-19,0.8548706604825353,1.824420296875143e+23
1.584893192461114e-07,6309572.44480193,377777373481.3208,0.0005280187796972266,0.9994719812203025,2.0963543310101934e-19,0.9999999999999997,-1.9997359906101508,0.9997359906101508,-0.7333685345853129,1.0,-2.5797878183338763e-19,0.8548706604825353,1.4271574391444531e+23
1.685259044750751e-07,5933804.86275328,334125691254.849,0.000561437625638027,0.9994385623743619,2.5514461468861766e-19,0.9999999999999999,-1.9997192811871807,0.9997192811871807,-0.7333707625083756,1.0,-3.1398006491317085e-19,0.8548706604825353,1.1163997755653068e+23
1.791980722375336e-07,5580416.174769958,295518216603.65454,0.0005969703210227442,0.9994030296789773,3.105327340452546e-19,1.0,-1.999701514839489,0.999701514839489,-0.7333731313547345,1.0,-3.821370945707961e-19,0.8548706604825353,8.73310163446045e+22
1.9054607179632483e-07,5248073.602497723,261372043160.22168,0.0006347504086646087,0.9993652495913351,3.779441139690586e-19,0.9999999999999997,-1.9996826247956672,0.9996826247956672,-0.7333756500272441,1.0,-4.650881709832121e-19,0.8548706604825353,6.8315344945748766e+22
2.0261270126211434e-07,4935523.741394807,231171626065.60962,0.000674919846429646,0.9993250801535706,4.599884786276417e-19,1.0000000000000002,-1.9996625400767858,0.9996625400767858,-0.7333783279897617,1.0,-5.660441412791422e-19,0.8548706604825353,5.344032069781805e+22
2.1544346900318867e-07,4641587.833612773,204460997509.34106,0.0007176295346892537,0.999282370465311,5.598419503739598e-19,1.0000000000000002,-1.999641185232656,0.9996411852326561,-0.7333811753023123,1.0,-6.8891262842384425e-19,0.8548706604825353,4.180429950251478e+22
2.2908676527677748e-07,4365157.322401657,180836881864.4087,0.0007630398764656691,0.9992369601235345,6.813699599663062e-19,1.0000000000000002,-1.9996184800617671,0.9996184800617671,-0.7333842026584307,1.0,-8.384492084354288e-19,0.8548706604825353,3.270197784244211e+22
2.435940447292027e-07,4105189.671273079,159942606457.30237,0.0008113213722485378,0.9991886786277512,8.292768236161817e-19,0.9999999999999997,-1.999594339313875,0.9995943393138751,-0.7333874214248164,1.0,-1.0204413798320662e-18,0.8548706604825353,2.5581637360355495e+22
2.5902002045313226e-07,3860704.432153815,141462716026.95343,0.0008626552515740848,0.9991373447484256,1.0092877710541455e-18,0.9999999999999998,-1.999568672374212,0.9995686723742121,-0.7333908436834382,1.0,-1.2419324359447782e-18,0.8548706604825353,2.001170002572246e+22
2.754228703338169e-07,3630779.54770101,125118209552.0632,0.0009172341435774154,0.9990827658564226,1.2283704629894388e-18,1.0,-1.9995413829282116,0.9995413829282116,-0.7333944822762382,1.0,-1.5114938918855815e-18,0.8548706604825353,1.5654566361514002e+22
2.928644564625237e-07,3414547.873833601,110662327523.97415,0.0009752627888531933,0.9990247372111467,1.4950045623406936e-18,0.9999999999999999,-1.9995123686055734,0.9995123686055734,-0.7333983508525901,1.0,-1.8395569929366015e-18,0.8548706604825353,1.2246150733023324e+22
3.1141055844467585e-07,3211193.9093648237,97876826053.867,0.0010369587950907085,0.9989630412049095,1.8195097803049654e-18,1.0000000000000002,-1.999481520602455,0.999481520602455,-0.7334024639196723,1.0,-2.23881611216936e-18,0.8548706604825353,9.57987307837894e+21
3.311311214825908e-07,3019950.720402019,86568681554.20923,0.0011025534390860386,0.9988974465609135,2.214445077321863e-18,0.9999999999999996,-1.999448723280456,0.9994487232804561,-0.733406836895939,1.0,-2.7247196200774695e-18,0.8548706604825353,7.494136626034082e+21
3.521005201684521e-07,2840097.0479142135,76567176235.95837,0.0011722925178770595,0.9988277074821227,2.6950944473851474e-18,0.9999999999999998,-1.999413853741061,0.9994138537410611,-0.7334114861678582,1.0,-3.3160671847645976e-18,0.8548706604825353,5.862532476748307e+21
3.743978389823811e-07,2670954.587558985,67721320413.29506,0.0012464372518961465,0.9987535627481037,3.280058057901437e-18,0.9999999999999998,-1.9993767813740517,0.9993767813740517,-0.7334164291501262,1.0,-4.035736567708922e-18,0.8548706604825353,4.586177238520173e+21
3.981071705534969e-07,2511885.4315095823,59897572693.38107,0.0013252652431909912,0.9986747347568091,3.991971585254242e-18,1.0000000000000002,-1.9993373673784047,0.9993373673784047,-0.7334216843495458,1.0,-4.911567975330221e-18,0.8548706604825353,3.5877192145588705e+21
4.233179328088211e-07,2362289.6626344607,52977823626.662384,0.0014090714919255973,0.9985909285080741,4.858381535116893e-18,0.9999999999999997,-1.9992954642540366,0.9992954642540366,-0.733427271432795,1.0,-5.977440102630625e-18,0.8548706604825353,2.806649796217746e+21
4.501252062061336e-07,2221603.0919558117,46857612371.430695,0.0014981694745415791,0.9985018305254583,5.912810356962396e-18,0.9999999999999999,-1.9992509152627291,0.9992509152627291,-0.7334332112983026,1.0,-7.274579395650468e-18,0.8548706604825353,2.1956358371512547e+21
4.78630092322638e-07,2089295.130854041,41444549444.830444,0.0015928922871339564,0.998407107712866,7.196052485913747e-18,1.0,-1.9992035538564332,0.9992035538564332,-0.7334395261524753,1.0,-8.853153048354573e-18,0.8548706604825353,1.7176506786849956e+21
5.089400951518094e-07,1964866.789993466,36656921744.3672,0.0016935938577756137,0.9983064061422238,8.757751353903157e-18,0.9999999999999993,-1.9991532030711112,0.9991532030711112,-0.7334462395905184,1.0,-1.0774207182065142e-17,0.8548706604825353,1.3437299117726604e+21
5.411695265464637e-07,1847848.7974222908,32422458776.21389,0.0018006502317103102,0.9981993497682895,1.0658318248765996e-17,0.9999999999999998,-1.9990996748841443,0.9990996748841443,-0.7334533766821139,1.0,-1.3112024951335286e-17,0.8548706604825353,1.0512158330952889e+21
5.754399373371567e-07,1737799.8287493763,28677241460.80075,0.001914460933525115,0.9980855390664751,1.2971267081063356e-17,1.0000000000000002,-1.999042769533238,0.999042769533238,-0.7334609640622347,1.0,-1.595699548928259e-17,0.8548706604825353,8.223841778010697e+20
6.118805757518225e-07,1634304.842723136,25364737039.063683,0.0020354504106088822,0.9979645495893908,1.578605515069973e-17,0.9999999999999998,-1.998982274794695,0.998982274794695,-0.7334690300273737,1.0,-1.9419104267803233e-17,0.8548706604825353,6.433698850608488e+20
6.506288748655573e-07,1536973.515935271,22434945506.811615,0.0021640695624034665,0.9978359304375966,1.9211539504655498e-17,1.0,-1.9989179652187985,0.9989179652187985,-0.7334776046374933,1.0,-2.3632179357148627e-17,0.8548706604825353,5.0332677989360665e+20
6.918309709189363e-07,1445438.770745928,19843644688.72265,0.0023007973601579007,0.9976992026398417,2.3380182192051134e-17,0.9999999999999996,-1.99884960131992,0.99884960131992,-0.7334867198240105,1.0,-2.8759057140534465e-17,0.8548706604825353,3.9377023453227044e+20
7.356422544596422e-07,1359355.390878524,17551722552.91416,0.0024461425621017593,0.9975538574378983,2.845316656331978e-17,1.0,-1.9987769287189494,0.9987769287189494,-0.7334964095041399,1.0,-3.4997866385083695e-17,0.8548706604825353,3.0806296457447565e+20
7.82227956386003e-07,1278398.7194630231,15524586684.339275,0.002600645529161476,0.9973993544708387,3.4626621832555326e-17,1.0000000000000002,-1.9986996772354197,0.9986996772354197,-0.7335067097019439,1.0,-4.258967254183462e-17,0.8548706604825353,2.4101279171956438e+20
8.317637711026709e-07,1202263.4346174132,13731642000.339527,0.0027648801465510946,0.9972351198534488,4.213919577033902e-17,0.9999999999999999,-1.9986175599267242,0.9986175599267242,-0.7335176586764365,1.0,-5.182777638633198e-17,0.8548706604825353,1.8855799202548852e+20
8.844365191386008e-07,1130662.3979496376,12145828822.122654,0.0029394558567749107,0.9970605441432253,5.128126725201645e-17,1.0000000000000002,-1.998530272071613,0.9985302720716129,-0.7335292970571181,1.0,-6.306902461129202e-17,0.8548706604825353,1.475211577763054e+20
9.404448517263523e-07,1063325.5716371606,10743214327.288506,0.0031250198097823333,0.996874980190218,6.240615343835191e-17,1.0000000000000004,-1.9984374900951096,0.9984374900951096,-0.7335416679873186,1.0,-7.674756716543399e-17,0.8548706604825353,1.1541665408205704e+20
1e-06,999999.0,9502631214.563683,0.003322259136212623,0.996677740863787,7.5943743023208e-17,0.9999999999999998,-1.998338870431893,0.998338870431893,-0.7335548172757473,1.0,-9.339158993807223e-17,0.8548706604825353,9.030000000000002e+19
1.0633265716371627e-06,940443.8517263504,8405358124.795792,0.0035319033498560225,0.9964680966501441,9.241708017589763e-17,1.0000000000000002,-1.998234048325072,0.998234048325072,-0.7335687935566568,1.0,-1.13643665387241e-16,0.8548706604825353,7.065004520607063e+19
1.13066339794964e-06,884435.5191385989,7434836992.76181,0.003754726885635846,0.996245273114364,1.1246253709258243e-16,0.9999999999999999,-1.9981226365571818,0.9981226365571818,-0.7335836484590421,1.0,-1.3828550223344035e-16,0.8548706604825353,5.527680110893947e+19
1.2022644346174132e-06,831762.7711026708,6576423061.987312,0.003991551779579634,0.99600844822042,1.3685435077332464e-16,0.9999999999999998,-1.9980042241102098,0.9980042241102098,-0.7335994367853051,1.0,-1.682680436510541e-16,0.8548706604825353,4.324934029023856e+19
1.2783997194630257e-06,782226.9563860013,5817163787.973558,0.004243250497391828,0.995756749502608,1.6653446700731017e-16,1.0,-1.9978783747513036,0.9978783747513036,-0.7336162166998259,0.9999999999999999,-2.0474806786747042e-16,0.8548706604825353,3.383939453611087e+19
1.3593563908785242e-06,735641.2544596421,5145603291.431753,0.0045107489183623325,0.9954892510816374,2.026488379507152e-16,1.0,-1.9977446255408184,0.9977446255408184,-0.7336340499278906,0.9999999999999999,-2.491326934696206e-16,0.8548706604825353,2.647723323279329e+19
1.445439770745928e-06,691829.9709189363,4551609408.918423,0.004795029481438524,0.9952049705185613,2.4659156685567216e-16,1.0,-1.9976024852592809,0.9976024852592809,-0.733653001965429,0.9999999999999999,-3.031334934122281e-16,0.8548706604825353,2.071714821135471e+19
1.5369745159352741e-06,650627.874865556,4026220729.4779606,0.005097134500346487,0.994902865499653,3.00058593844738e-16,0.9999999999999998,-1.9974514327498258,0.9974514327498258,-0.7336731423000229,0.9999999999999999,-3.6883228811327383e-16,0.8548706604825353,1.6210453362478033e+19
1.634305842723136e-06,611879.5757518226,3561511307.6760006,0.005418169654665502,0.9945818303453342,3.651129815192017e-16,1.0,-1.997290915172667,0.997290915172667,-0.7336945446436443,0.9999999999999999,-4.487611329230199e-16,0.8548706604825353,1.2684362794704013e+19
1.7378008287493763e-06,575438.9373371566,3150471010.3137836,0.0057593076637277515,0.9942406923362713,4.442643024686262e-16,0.9999999999999996,-1.9971203461681344,0.9971203461681344,-0.7337172871775819,0.9999999999999998,-5.459995554069461e-16,0.8548706604825353,9.925467586827545e+18
1.8478497974222906e-06,541168.5265464637,2786899690.173991,0.00612179215012606,0.9938782078498737,5.405651691881166e-16,1.0000000000000002,-1.9969391039249367,0.9969391039249367,-0.7337414528100081,0.9999999999999998,-6.642927535824917e-16,0.8548706604825353,7.766809883091886e+18
1.964867789993466e-06,508939.0951518094,2465313588.928479,0.006506941699456125,0.993493058300543,6.577286008553178e-16,0.9999999999999998,-1.9967465291502706,0.9967465291502706,-0.7337671294466304,0.9999999999999998,-8.081952620804426e-16,0.8548706604825353,6.077771091755414e+18
2.0892961308540407e-06,478629.0923226381,2180862555.992982,0.006916154122683752,0.9930838458773155,8.002707155431475e-16,1.0,-1.9965419229386572,0.9965419229386572,-0.7337944102748455,0.9999999999999997,-9.832455589427759e-16,0.8548706604825355,4.756161488132238e+18
2.2216040919558116e-06,450124.20620613365,1929256833.4274344,0.007350910927201123,0.9926490890727979,9.736842006595206e-16,1.0,-1.9963245445363982,0.9963245445363982,-0.7338233940618133,0.9999999999999997,-1.1961782574793259e-15,0.8548706604825355,3.722031929326448e+18
2.3622906626344603e-06,423316.93280882115,1706702301.4220219,0.007812782002204836,0.9921872179977943,1.1846491849671076e-15,1.0000000000000002,-1.9960936089988965,0.9960936089988965,-0.7338541854668135,0.9999999999999996,-1.4551819489345204e-15,0.8548706604825356,2.9128327456792233e+18
2.5118864315095823e-06,398106.1705534969,1509843206.6585665,0.008303430523475595,0.9916965694765232,1.4412895563772027e-15,1.0000000000000002,-1.9958482847382606,0.9958482847382606,-0.7338868953682317,0.9999999999999994,-1.77021248548099e-15,0.8548706604825356,2.27962650869302e+18
2.6709555875589853e-06,374396.8389823811,1335711508.8227758,0.00882461808194974,0.9911753819180483,1.7534844940538493e-15,0.9999999999999999,-1.9955876909590218,0.9955876909590218,-0.7339216412054635,0.9999999999999993,-2.153373583151613e-15,0.8548706604825356,1.7841252348016128e+18
2.8400980479142136e-06,352099.5201684521,1181682080.4721355,0.00937821003962579,0.9906217899603723,2.1332470756621188e-15,1.0000000000000002,-1.9953108949801839,0.9953108949801839,-0.7339585473359752,0.9999999999999992,-2.619379158001997e-15,0.8548706604825357,1.396372539308952e+18
3.0199517204020193e-06,331130.12148259074,1045433083.8455291,0.009966181115323177,0.9900338188846742,2.59518435888284e-15,1.0,-1.9950169094423345,0.9950169094423345,-0.7339977454076885,0.999999999999999,-3.186114879440944e-15,0.8548706604825358,1.0929303327987702e+18
3.2111949093648238e-06,311409.5584446758,924910926.3680067,0.010590621201584249,0.9894093787984126,3.1570564150426793e-15,1.0,-1.994704689399203,0.9947046893992031,-0.7340393747467726,0.9999999999999988,-3.875320145097523e-15,0.8548706604825359,8.554602217149216e+17
3.414548873833601e-06,292863.4564625237,818299265.7385252,0.011253741412556422,0.9887462585874394,3.8404555261421035e-15,0.9999999999999997,-1.9943731292937148,0.9943731292937148,-0.7340835827608378,0.9999999999999986,-4.713416188052538e-15,0.854870660482536,6.696136883082066e+17
3.6307805477010175e-06,275421.87033381633,723991596.6335545,0.011957880360982037,0.9880421196390134,4.671631282906323e-15,1.0000000000000002,-1.9940210598195018,0.9940210598195018,-0.7341305253573995,0.9999999999999982,-5.73251148420112e-15,0.8548706604825361,5.24163831996001e+17
3.860705432153815e-06,259019.02045313228,640567005.138237,0.012705510660429279,0.9872944893395648,5.6824928078199214e-15,0.9999999999999997,-1.993647244669776,0.9936472446697759,-0.734180367377363,0.9999999999999978,-6.971622233332941e-15,0.8548706604825363,4.1032608807176774e+17
4.105190671273079e-06,243593.0447292027,566768724.8462522,0.01349924564658489,0.9865007543534084,6.9118259753490994e-15,1.0000000000000002,-1.993250377176697,0.993250377176697,-0.7342332830431069,0.9999999999999973,-8.478153681442656e-15,0.8548706604825365,3.2122678746384454e+17
4.365158322401665e-06,229085.76527677703,501485170.8717698,0.01434184630876111,0.9856581536912303,8.406771555608622e-15,0.9999999999999999,-1.9928290768456058,0.9928290768456058,-0.7342894564205857,0.9999999999999968,-1.0309697722101831e-14,0.8548706604825367,2.5148737660428598e+17
4.641588833612782e-06,215442.46900318822,443733165.4303869,0.015236228419711421,0.9847637715802782,1.0224619962083949e-14,0.9999999999999998,-1.9923818857901274,0.9923818857901274,-0.7343490818946494,0.9999999999999961,-1.2536213908642629e-14,0.854870660482537,1.9689912210286906e+17
4.935524741394807e-06,202611.70126211434,392643101.73601353,0.016185469848356938,0.9838145301516307,1.2434990094058495e-14,1.0,-1.9919072650758018,0.9919072650758018,-0.7344123646565595,0.9999999999999952,-1.524267514430822e-14,0.8548706604825373,1.5416860534087555e+17
5.248074602497734e-06,190545.07179632442,347445822.22676754,0.017192818036057517,0.9828071819639271,1.5122474058784137e-14,0.9999999999999998,-1.9914035909819467,0.9914035909819467,-0.7344795212024069,0.9999999999999942,-1.853227639704261e-14,0.8548706604825378,1.207185993828327e+17
