#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.166346E-03   0.192345E+08   0.192343E+08   0.223002E+08   0.222299E+08   0.000000E+00   0.192344E+08   0.192344E+08   0.192411E+08  -0.476667E+00   0.102519E+08   0.102519E+08   0.820643E+02
   0.183670E-03   0.192393E+08   0.192391E+08   0.216281E+08   0.215444E+08   0.000000E+00   0.192393E+08   0.192393E+08   0.192457E+08  -0.476994E+00   0.102538E+08   0.102538E+08   0.898429E+02
   0.202798E-03   0.192451E+08   0.192449E+08   0.208338E+08   0.207347E+08   0.000000E+00   0.192450E+08   0.192450E+08   0.192513E+08  -0.477384E+00   0.102561E+08   0.102560E+08   0.981790E+02
   0.223918E-03   0.192520E+08   0.192518E+08   0.199016E+08   0.197848E+08   0.000000E+00   0.192520E+08   0.192520E+08   0.192579E+08  -0.477846E+00   0.102587E+08   0.102587E+08   0.107051E+03
   0.247237E-03   0.192602E+08   0.192600E+08   0.188169E+08   0.186804E+08   0.000000E+00   0.192602E+08   0.192602E+08   0.192658E+08  -0.478390E+00   0.102619E+08   0.102618E+08   0.116413E+03
   0.272985E-03   0.192700E+08   0.192697E+08   0.175681E+08   0.174101E+08   0.000000E+00   0.192700E+08   0.192700E+08   0.192752E+08  -0.479024E+00   0.102656E+08   0.102655E+08   0.126187E+03
   0.301414E-03   0.192816E+08   0.192812E+08   0.161490E+08   0.159683E+08   0.000000E+00   0.192815E+08   0.192815E+08   0.192863E+08  -0.479757E+00   0.102698E+08   0.102697E+08   0.136251E+03
   0.332804E-03   0.192951E+08   0.192946E+08   0.145626E+08   0.143589E+08   0.000000E+00   0.192950E+08   0.192950E+08   0.192993E+08  -0.480593E+00   0.102747E+08   0.102746E+08   0.146438E+03
   0.367463E-03   0.193107E+08   0.193101E+08   0.128250E+08   0.125995E+08   0.000000E+00   0.193106E+08   0.193106E+08   0.193144E+08  -0.481532E+00   0.102802E+08   0.102800E+08   0.156517E+03
   0.405732E-03   0.193285E+08   0.193279E+08   0.109699E+08   0.107259E+08   0.000000E+00   0.193284E+08   0.193284E+08   0.193317E+08  -0.482566E+00   0.102862E+08   0.102860E+08   0.166194E+03
   0.447986E-03   0.193487E+08   0.193479E+08   0.905281E+07   0.879611E+07   0.000000E+00   0.193486E+08   0.193486E+08   0.193512E+08  -0.483676E+00   0.102927E+08   0.102924E+08   0.175110E+03
   0.494640E-03   0.193710E+08   0.193701E+08   0.715231E+07   0.689185E+07   0.000000E+00   0.193708E+08   0.193708E+08   0.193730E+08  -0.484828E+00   0.102993E+08   0.102991E+08   0.182843E+03
   0.546154E-03   0.193951E+08   0.193941E+08   0.536741E+07   0.511512E+07   0.000000E+00   0.193949E+08   0.193949E+08   0.193965E+08  -0.485973E+00   0.103059E+08   0.103056E+08   0.188935E+03
   0.603031E-03   0.194204E+08   0.194192E+08   0.380686E+07   0.357684E+07   0.000000E+00   0.194202E+08   0.194202E+08   0.194213E+08  -0.487043E+00   0.103119E+08   0.103115E+08   0.192924E+03
   0.665833E-03   0.194458E+08   0.194445E+08   0.256878E+07   0.237547E+07   0.000000E+00   0.194456E+08   0.194456E+08   0.194464E+08  -0.487954E+00   0.103166E+08   0.103162E+08   0.194394E+03
   0.735174E-03   0.194701E+08   0.194686E+08   0.171167E+07   0.156677E+07   0.000000E+00   0.194699E+08   0.194699E+08   0.194704E+08  -0.488615E+00   0.103193E+08   0.103188E+08   0.193051E+03
   0.811737E-03   0.194915E+08   0.194898E+08   0.122412E+07   0.113293E+07   0.000000E+00   0.194912E+08   0.194912E+08   0.194916E+08  -0.488940E+00   0.103191E+08   0.103186E+08   0.188777E+03
   0.896274E-03   0.195079E+08   0.195060E+08   0.101004E+07   0.968433E+06   0.000000E+00   0.195076E+08   0.195076E+08   0.195079E+08  -0.488870E+00   0.103152E+08   0.103147E+08   0.181682E+03
   0.989614E-03   0.195171E+08   0.195152E+08   0.910962E+06   0.905111E+06   0.000000E+00   0.195168E+08   0.195168E+08   0.195171E+08  -0.488387E+00   0.103070E+08   0.103065E+08   0.172103E+03
   0.109267E-02   0.195174E+08   0.195153E+08   0.776293E+06   0.786797E+06   0.000000E+00   0.195170E+08   0.195170E+08   0.195173E+08  -0.487522E+00   0.102940E+08   0.102935E+08   0.160543E+03
   0.120647E-02   0.195071E+08   0.195049E+08   0.554313E+06   0.563892E+06   0.000000E+00   0.195068E+08   0.195068E+08   0.195069E+08  -0.486346E+00   0.102761E+08   0.102756E+08   0.147592E+03
