#    L    TT             EE             BB             TE             PP             TP             EP          
   183   0.540627E+04   0.773496E+00   0.000000E+00  -0.328357E+02   0.607657E-07   0.143356E-03  -0.614295E-06
   184   0.542774E+04   0.763614E+00   0.000000E+00  -0.319499E+02   0.604335E-07   0.142220E-03  -0.599602E-06
   185   0.544870E+04   0.754045E+00   0.000000E+00  -0.310370E+02   0.601040E-07   0.141095E-03  -0.584977E-06
   186   0.546915E+04   0.744812E+00   0.000000E+00  -0.300972E+02   0.597774E-07   0.139982E-03  -0.570412E-06
   187   0.548908E+04   0.735947E+00   0.000000E+00  -0.291307E+02   0.594534E-07   0.138879E-03  -0.555902E-06
   188   0.550849E+04   0.727492E+00   0.000000E+00  -0.281377E+02   0.591322E-07   0.137786E-03  -0.541442E-06
   189   0.552736E+04   0.719480E+00   0.000000E+00  -0.271185E+02   0.588137E-07   0.136704E-03  -0.527027E-06
   190   0.554569E+04   0.711945E+00   0.000000E+00  -0.260734E+02   0.584978E-07   0.135632E-03  -0.512651E-06
   191   0.556348E+04   0.704920E+00   0.000000E+00  -0.250026E+02   0.581845E-07   0.134569E-03  -0.498309E-06
   192   0.558071E+04   0.698443E+00   0.000000E+00  -0.239064E+02   0.578739E-07   0.133515E-03  -0.483994E-06
   193   0.559737E+04   0.692548E+00   0.000000E+00  -0.227849E+02   0.575658E-07   0.132471E-03  -0.469702E-06
   194   0.561348E+04   0.687271E+00   0.000000E+00  -0.216387E+02   0.572602E-07   0.131434E-03  -0.455427E-06
   195   0.562901E+04   0.682650E+00   0.000000E+00  -0.204680E+02   0.569572E-07   0.130406E-03  -0.441163E-06
   196   0.564397E+04   0.678722E+00   0.000000E+00  -0.192733E+02   0.566566E-07   0.129386E-03  -0.426906E-06
   197   0.565836E+04   0.675525E+00   0.000000E+00  -0.180549E+02   0.563585E-07   0.128374E-03  -0.412649E-06
   198   0.567217E+04   0.673096E+00   0.000000E+00  -0.168132E+02   0.560628E-07   0.127368E-03  -0.398387E-06
   199   0.568540E+04   0.671472E+00   0.000000E+00  -0.155485E+02   0.557695E-07   0.126370E-03  -0.384114E-06
   200   0.569804E+04   0.670689E+00   0.000000E+00  -0.142613E+02   0.554785E-07   0.125378E-03  -0.369826E-06
   201   0.571009E+04   0.670788E+00   0.000000E+00  -0.129519E+02   0.551899E-07   0.124392E-03  -0.355518E-06
   202   0.572154E+04   0.671804E+00   0.000000E+00  -0.116209E+02   0.549036E-07   0.123413E-03  -0.341190E-06
   203   0.573236E+04   0.673774E+00   0.000000E+00  -0.102686E+02   0.546196E-07   0.122440E-03  -0.326844E-06
   204   0.574257E+04   0.676735E+00   0.000000E+00  -0.889548E+01   0.543378E-07   0.121474E-03  -0.312481E-06
   205   0.575214E+04   0.680724E+00   0.000000E+00  -0.750201E+01   0.540583E-07   0.120513E-03  -0.298103E-06
   206   0.576107E+04   0.685777E+00   0.000000E+00  -0.608859E+01   0.537811E-07   0.119558E-03  -0.283712E-06
   207   0.576934E+04   0.691931E+00   0.000000E+00  -0.465562E+01   0.535061E-07   0.118610E-03  -0.269309E-06
   208   0.577696E+04   0.699225E+00   0.000000E+00  -0.320374E+01   0.532332E-07   0.117668E-03  -0.254896E-06
   209   0.578395E+04   0.707692E+00   0.000000E+00  -0.173349E+01   0.529625E-07   0.116732E-03  -0.240475E-06
   210   0.579029E+04   0.717372E+00   0.000000E+00  -0.245445E+00   0.526940E-07   0.115802E-03  -0.226046E-06
   211   0.579600E+04   0.728301E+00   0.000000E+00   0.125981E+01   0.524277E-07   0.114878E-03  -0.211613E-06
   212   0.580109E+04   0.740515E+00   0.000000E+00   0.278171E+01   0.521634E-07   0.113960E-03  -0.197175E-06
   213   0.580555E+04   0.754052E+00   0.000000E+00   0.431966E+01   0.519013E-07   0.113048E-03  -0.182736E-06
   214   0.580940E+04   0.768949E+00   0.000000E+00   0.587309E+01   0.516412E-07   0.112142E-03  -0.168296E-06
   215   0.581264E+04   0.785236E+00   0.000000E+00   0.744140E+01   0.513832E-07   0.111241E-03  -0.153857E-06
   216   0.581525E+04   0.802958E+00   0.000000E+00   0.902396E+01   0.511272E-07   0.110347E-03  -0.139421E-06
   217   0.581723E+04   0.822145E+00   0.000000E+00   0.106201E+02   0.508732E-07   0.109459E-03  -0.124989E-06
   218   0.581859E+04   0.842827E+00   0.000000E+00   0.122294E+02   0.506213E-07   0.108576E-03  -0.110564E-06
   219   0.581931E+04   0.865049E+00   0.000000E+00   0.138511E+02   0.503713E-07   0.107699E-03  -0.961454E-07
   220   0.581938E+04   0.888841E+00   0.000000E+00   0.154846E+02   0.501233E-07   0.106828E-03  -0.817362E-07
   221   0.581882E+04   0.914232E+00   0.000000E+00   0.171291E+02   0.498772E-07   0.105963E-03  -0.673379E-07
   222   0.581762E+04   0.941267E+00   0.000000E+00   0.187843E+02   0.496331E-07   0.105104E-03  -0.529519E-07
