a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
1.2774188878735636e-08,78282855.89940244,-18.175839195730667,1.2774188878735636e-08,58408911178427.41,-116816559552665.48,1.2454834156767247e-09,4.324012085864003e-05,0.9999567598791412,2.029572647906905e-28,-1.0000000123296677,6.765242159689682e-29,2.02955797136456e-28,2.02955797136456e-28,1.01477898568228e-28,2.02955797136456e-28,1.01477898568228e-28,1.0,-1.3530485070098074e-28,9.91492650966014e-56,1.9830110109528412e-56,1.6733234630940075,1.0,1.0
1.2882495516931303e-08,77624710.6628694,-18.167396383723023,1.2882495516931303e-08,57430931021398.22,-114860609855574.4,1.256043312900802e-09,4.360671853080441e-05,0.9999563932814688,2.099283580434442e-28,-1.000000012427136,6.997611934781473e-29,2.099268271113576e-28,2.099268271113576e-28,1.049634135556788e-28,2.099268271113576e-28,1.049634135556788e-28,1.0,-1.3995224652205403e-28,1.0607730238698702e-55,2.121573786381973e-56,1.6733234742794776,1.0,1.0
1.2991720438705616e-08,76972098.63206625,-18.158953571715376,1.2991720438705616e-08,56469325939578.53,-112937410219642.64,1.2666927427737975e-09,4.3976424148556366e-05,0.9999560235758517,2.1713889088620105e-28,-1.0000000125253705,7.237963029540035e-29,2.1713729394805015e-28,2.1713729394805015e-28,1.0856864697402508e-28,2.1713729394805015e-28,1.0856864697402508e-28,1.0,-1.4475926875003582e-28,1.1348943424168477e-55,2.2698186133273276e-56,1.6733234855594235,1.0,1.0
1.3101871429774522e-08,76324973.28783038,-18.150510759707732,1.3101871429774522e-08,55523821751731.69,-111046412283147.14,1.277432464403016e-09,4.4349264058141575e-05,0.9999556507359414,2.2459708743997536e-28,-1.0000000126243778,7.486569581332512e-29,2.2459542164992214e-28,2.2459542164992214e-28,1.1229771082496107e-28,2.2459542164992214e-28,1.1229771082496107e-28,1.0,-1.4973140013284562e-28,1.2141948656170602e-55,2.428422022458587e-56,1.6733234969346436,1.0,1.0
1.3212956341865723e-08,75683288.5020976,-18.142067947700088,1.3212956341865723e-08,54594148867465.91,-109187076866048.72,1.2882632433319081e-09,4.4725264829105554e-05,0.999955274735171,2.323114543014942e-28,-1.0000000127241633,7.74371514338314e-29,2.3230971669100374e-28,2.3230971669100374e-28,1.1615485834550187e-28,2.3230971669100374e-28,1.1615485834550187e-28,1.0,-1.548743117355694e-28,1.2990364881341207e-55,2.59810781675104e-56,1.6733235084059417,1.0,1.0
1.3324983093278156e-08,75046998.53461511,-18.133625135692444,1.3324983093278156e-08,53680042210367.78,-107358873816258.27,1.2991858515946202e-09,4.510445325618447e-05,0.9999548955467441,2.4029079024538425e-28,-1.0000000128247335,8.009693008179475e-29,2.4028897771793424e-28,2.4028897771793424e-28,1.2014448885896712e-28,2.4028897771793424e-28,1.2014448885896712e-28,1.0,-1.6019386940858547e-28,1.3898063918086509e-55,2.779650374611453e-56,1.67332351997413,1.0,1.0
1.343795966944653e-08,74416058.02968058,-18.125182323684797,1.343795966944653e-08,52781241142419.86,-105561281858472.52,1.3102010677710368e-09,4.5486856361213744e-05,0.9999545131436388,2.485441962596212e-28,-1.0000000129260942,8.284806541987373e-29,2.4854230558518405e-28,2.4854230558518405e-28,1.2427115279259202e-28,2.4854230558518405e-28,1.2427115279259202e-28,1.0,-1.656961404778645e-28,1.4869188125807235e-55,2.9738781838080033e-56,1.6733235316400266,1.0,1.0
1.355189412351034e-08,73790422.0129102,-18.116739511677153,1.355189412351034e-08,51897489389686.484,-103793788445545.75,1.3213096770422582e-09,4.5872501395051255e-05,0.9999541274986048,2.570810859256401e-28,-1.0000000130282518,8.56936953085467e-29,2.5707911373492703e-28,2.5707911373492703e-28,1.2853955686746352e-28,2.5707911373492703e-28,1.2853955686746352e-28,1.0,-1.7138740066504478e-28,1.5908169308740368e-55,3.181677622330406e-56,1.6733235434044564,1.0,1.0
1.366679457688819e-08,73170045.88803124,-18.10829669966951,1.366679457688819e-08,51028534969239.95,-102055889612341.9,1.3325124712465986e-09,4.626141583951885e-05,0.99995373858416,2.6591119615500664e-28,-1.0000000131312128,8.863706538500221e-29,2.6590913893346325e-28,2.6590913893346325e-28,1.3295456946673163e-28,2.6590913893346325e-28,1.3295456946673163e-28,1.0,-1.772741412452139e-28,1.70197489406931e-55,3.4039970034357254e-56,1.6733235552682526,1.0,1.0
1.3782669219856572e-08,72554885.4337039,-18.09985388766186,1.3782669219856572e-08,50174130117313.625,-100347089832041.23,1.3438102489360158e-09,4.665362740935858e-05,0.9999533463725907,2.7504459829482614e-28,-1.0000000132349829,9.168153276494204e-29,2.750424523763702e-28,2.750424523763702e-28,1.375212261881851e-28,2.750424523763702e-28,1.375212261881851e-28,1.0,-1.8336307645051579e-28,1.8208999802956595e-55,3.641850903337954e-56,1.6733235672322522,1.0,1.0
