alpha,Omega_m0,min_sound_numerator,a_at_min_sound_numerator,min_D,min_Qs_over_Mpl2,a_at_min_Qs,min_cs2
0.144,0.25,8.255092566063265e-29,9.999999999999982e-09,8.255092566063265e-29,4.1275462830316325e-29,9.999999999999982e-09,1.0
0.144,0.26,8.14500087179275e-29,9.999999999999982e-09,8.14500087179275e-29,4.072500435896375e-29,9.999999999999982e-09,1.0
0.144,0.27,8.034909460298683e-29,9.999999999999982e-09,8.034909460298683e-29,4.017454730149341e-29,9.999999999999982e-09,1.0
0.144,0.27999999999999997,7.924818331580018e-29,9.999999999999982e-09,7.924818331580018e-29,3.962409165790009e-29,9.999999999999982e-09,1.0
0.144,0.29,7.81472748563569e-29,9.999999999999982e-09,7.81472748563569e-29,3.907363742817845e-29,9.999999999999982e-09,1.0
0.144,0.3,7.704636922464617e-29,9.999999999999982e-09,7.704636922464617e-29,3.852318461232309e-29,9.999999999999982e-09,1.0
0.144,0.31,7.59454664206574e-29,9.999999999999982e-09,7.59454664206574e-29,3.79727332103287e-29,9.999999999999982e-09,1.0
0.144,0.32,7.484456644437989e-29,9.999999999999982e-09,7.484456644437989e-29,3.7422283222189944e-29,9.999999999999982e-09,1.0
0.144,0.32999999999999996,7.374366929580292e-29,9.999999999999982e-09,7.374366929580292e-29,3.687183464790146e-29,9.999999999999982e-09,1.0
0.144,0.33999999999999997,7.264277497491591e-29,9.999999999999982e-09,7.264277497491591e-29,3.6321387487457955e-29,9.999999999999982e-09,1.0
0.144,0.35,7.15418834817082e-29,9.999999999999982e-09,7.15418834817082e-29,3.57709417408541e-29,9.999999999999982e-09,1.0
0.144,0.36,7.044099481616896e-29,9.999999999999982e-09,7.044099481616896e-29,3.522049740808448e-29,9.999999999999982e-09,1.0
0.144,0.37,6.934010897828772e-29,9.999999999999982e-09,6.934010897828772e-29,3.467005448914386e-29,9.999999999999982e-09,1.0
0.144,0.38,6.823922596805362e-29,9.999999999999982e-09,6.823922596805362e-29,3.411961298402681e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.24,8.365184605673083e-29,9.999999999999982e-09,8.365184605673083e-29,4.182592302836542e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.25,8.25509262780165e-29,9.999999999999982e-09,8.25509262780165e-29,4.127546313900825e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.26,8.145000932707757e-29,9.999999999999982e-09,8.145000932707757e-29,4.0725004663538783e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.27,8.034909520390319e-29,9.999999999999982e-09,8.034909520390319e-29,4.0174547601951595e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.27999999999999997,7.924818390848283e-29,9.999999999999982e-09,7.924818390848283e-29,3.9624091954241415e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.29,7.814727544080585e-29,9.999999999999982e-09,7.814727544080585e-29,3.907363772040293e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.3,7.704636980086148e-29,9.999999999999982e-09,7.704636980086148e-29,3.852318490043074e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.31,7.594546698863907e-29,9.999999999999982e-09,7.594546698863907e-29,3.7972733494319536e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.32,7.484456700412798e-29,9.999999999999982e-09,7.484456700412798e-29,3.742228350206399e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.32999999999999996,7.374366984731742e-29,9.999999999999982e-09,7.374366984731742e-29,3.687183492365871e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.33999999999999997,7.264277551819687e-29,9.999999999999982e-09,7.264277551819687e-29,3.6321387759098435e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.35,7.154188401675564e-29,9.999999999999982e-09,7.154188401675564e-29,3.577094200837782e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.36,7.044099534298293e-29,9.999999999999982e-09,7.044099534298293e-29,3.5220497671491464e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.37,6.934010949686819e-29,9.999999999999982e-09,6.934010949686819e-29,3.4670054748434096e-29,9.999999999999982e-09,1.0
0.20599999999999996,0.38,6.823922647840066e-29,9.999999999999982e-09,6.823922647840066e-29,3.411961323920033e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.24,8.365184668234846e-29,9.999999999999982e-09,8.365184668234846e-29,4.182592334117423e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.25,8.255092689540036e-29,9.999999999999982e-09,8.255092689540036e-29,4.127546344770018e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.26,8.145000993622764e-29,9.999999999999982e-09,8.145000993622764e-29,4.072500496811382e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.27,8.034909580481954e-29,9.999999999999982e-09,8.034909580481954e-29,4.017454790240977e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.27999999999999997,7.924818450116549e-29,9.999999999999982e-09,7.924818450116549e-29,3.9624092250582745e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.29,7.814727602525481e-29,9.999999999999982e-09,7.814727602525481e-29,3.9073638012627405e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.3,7.704637037707678e-29,9.999999999999982e-09,7.704637037707678e-29,3.852318518853839e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.31,7.594546755662075e-29,9.999999999999982e-09,7.594546755662075e-29,3.7972733778310377e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.32,7.484456756387604e-29,9.999999999999982e-09,7.484456756387604e-29,3.742228378193802e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.32999999999999996,7.374367039883193e-29,9.999999999999982e-09,7.374367039883193e-29,3.6871835199415965e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.33999999999999997,7.264277606147783e-29,9.999999999999982e-09,7.264277606147783e-29,3.6321388030738915e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.35,7.154188455180305e-29,9.999999999999982e-09,7.154188455180305e-29,3.5770942275901524e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.36,7.044099586979685e-29,9.999999999999982e-09,7.044099586979685e-29,3.5220497934898424e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.37,6.934011001544865e-29,9.999999999999982e-09,6.934011001544865e-29,3.4670055007724327e-29,9.999999999999982e-09,1.0
0.26799999999999996,0.38,6.823922698874767e-29,9.999999999999982e-09,6.823922698874767e-29,3.4119613494373837e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.24,8.365184730796608e-29,9.999999999999982e-09,8.365184730796608e-29,4.182592365398304e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.25,8.255092751278419e-29,9.999999999999982e-09,8.255092751278419e-29,4.1275463756392094e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.26,8.145001054537771e-29,9.999999999999982e-09,8.145001054537771e-29,4.0725005272688853e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.27,8.034909640573585e-29,9.999999999999982e-09,8.034909640573585e-29,4.0174548202867927e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.27999999999999997,7.924818509384812e-29,9.999999999999982e-09,7.924818509384812e-29,3.962409254692406e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.29,7.814727660970377e-29,9.999999999999982e-09,7.814727660970377e-29,3.9073638304851883e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.3,7.704637095329207e-29,9.999999999999982e-09,7.704637095329207e-29,3.852318547664604e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.31,7.594546812460242e-29,9.999999999999982e-09,7.594546812460242e-29,3.797273406230121e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.32,7.484456812362411e-29,9.999999999999982e-09,7.484456812362411e-29,3.7422284061812055e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.32999999999999996,7.37436709503464e-29,9.999999999999982e-09,7.37436709503464e-29,3.68718354751732e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.33999999999999997,7.264277660475879e-29,9.999999999999982e-09,7.264277660475879e-29,3.6321388302379395e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.35,7.154188508685049e-29,9.999999999999982e-09,7.154188508685049e-29,3.5770942543425247e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.36,7.044099639661079e-29,9.999999999999982e-09,7.044099639661079e-29,3.5220498198305395e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.37,6.934011053402912e-29,9.999999999999982e-09,6.934011053402912e-29,3.467005526701456e-29,9.999999999999982e-09,1.0
0.32999999999999996,0.38,6.82392274990947e-29,9.999999999999982e-09,6.82392274990947e-29,3.411961374954735e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.24,8.36518479335837e-29,9.999999999999982e-09,8.36518479335837e-29,4.182592396679185e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.25,8.255092813016802e-29,9.999999999999982e-09,8.255092813016802e-29,4.127546406508401e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.26,8.145001115452779e-29,9.999999999999982e-09,8.145001115452779e-29,4.0725005577263894e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.27,8.034909700665221e-29,9.999999999999982e-09,8.034909700665221e-29,4.0174548503326104e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.27999999999999997,7.924818568653076e-29,9.999999999999982e-09,7.924818568653076e-29,3.962409284326538e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.29,7.81472771941527e-29,9.999999999999982e-09,7.81472771941527e-29,3.907363859707635e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.3,7.704637152950737e-29,9.999999999999982e-09,7.704637152950737e-29,3.8523185764753685e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.31,7.594546869258407e-29,9.999999999999982e-09,7.594546869258407e-29,3.7972734346292036e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.32,7.48445686833722e-29,9.999999999999982e-09,7.48445686833722e-29,3.74222843416861e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.32999999999999996,7.37436715018609e-29,9.999999999999982e-09,7.37436715018609e-29,3.687183575093045e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.33999999999999997,7.264277714803972e-29,9.999999999999982e-09,7.264277714803972e-29,3.632138857401986e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.35,7.154188562189792e-29,9.999999999999982e-09,7.154188562189792e-29,3.577094281094896e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.36,7.044099692342471e-29,9.999999999999982e-09,7.044099692342471e-29,3.5220498461712355e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.37,6.934011105260957e-29,9.999999999999982e-09,6.934011105260957e-29,3.4670055526304784e-29,9.999999999999982e-09,1.0
0.39199999999999996,0.38,6.823922800944169e-29,9.999999999999982e-09,6.823922800944169e-29,3.4119614004720847e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.24,8.365184855920129e-29,9.999999999999982e-09,8.365184855920129e-29,4.1825924279600645e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.25,8.25509287475518e-29,9.999999999999982e-09,8.25509287475518e-29,4.12754643737759e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.26,8.145001176367785e-29,9.999999999999982e-09,8.145001176367785e-29,4.0725005881838923e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.27,8.034909760756852e-29,9.999999999999982e-09,8.034909760756852e-29,4.017454880378426e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.27999999999999997,7.924818627921336e-29,9.999999999999982e-09,7.924818627921336e-29,3.962409313960668e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.29,7.814727777860162e-29,9.999999999999982e-09,7.814727777860162e-29,3.907363888930081e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.3,7.704637210572266e-29,9.999999999999982e-09,7.704637210572266e-29,3.852318605286133e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.31,7.594546926056576e-29,9.999999999999982e-09,7.594546926056576e-29,3.797273463028288e-29,9.999999999999982e-09,1.0
0.45399999999999996,0.32,7.484456924312024e-29,9.999999999999982e-09,7.484456924312024e-29,3.742228462156012e-29,9.999999999999982e-09,1.0
