a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
1.2774188878735636e-08,78282855.89940244,-18.175839195730667,1.2774188878735636e-08,58408889714602.25,-116816538088380.27,6.354160983664828e-09,4.250520187288761e-05,0.9999574947981271,2.0448944529865114e-28,-1.0000000629030388,-4.518535047109375e-05,4.518030673352087e-05,4.518336930736666e-05,2.259066387508783e-05,4.518336930736666e-05,2.259066387508783e-05,1.0,9.037274265786311e-05,-1.3244944630971038e-32,-1.3244627650679758e-32,1.1561826237304413e+23,1.0,1.0
1.2882495516931303e-08,77624710.6628694,-18.167396383723023,1.2882495516931303e-08,57430909738029.14,-114860588571745.22,6.4080350747110635e-09,4.286556903425015e-05,0.9999571344309657,2.1151316685177595e-28,-1.0000000634002986,-4.518535047109375e-05,4.518029859025703e-05,4.518336116410282e-05,2.259065980363988e-05,4.518336116410282e-05,2.259065980363988e-05,1.0,9.03727426586659e-05,-1.3699874193417232e-32,-1.369954879380477e-32,1.1177893153839143e+23,1.0,1.0
1.2991720438705616e-08,76972098.63206625,-18.158953571715376,1.2991720438705616e-08,56469304835148.39,-112937389114752.38,6.46236594009677e-09,4.322899132465866e-05,0.9999567710086755,2.1877813571357524e-28,-1.0000000639014683,-4.518535047109375e-05,4.518029037993572e-05,4.518335295378151e-05,2.2590655698664712e-05,4.518335295378151e-05,2.2590655698664712e-05,1.0,9.037274265848565e-05,-1.4170429343460445e-32,-1.4170095342074775e-32,1.0806709358766664e+23,1.0,1.0
1.3101871429774522e-08,76324973.28783038,-18.150510759707732,1.3101871429774522e-08,55523800824736.08,-111046391355691.45,6.517157452607374e-09,4.3595494642707265e-05,0.9999564045053574,2.262926380983938e-28,-1.000000064406579,-4.518535047109375e-05,4.518028210033649e-05,4.518334467418228e-05,2.259065155905215e-05,4.518334467418228e-05,2.259065155905215e-05,1.0,9.037274265814006e-05,-1.4657146774799431e-32,-1.465680398726639e-32,1.0447851484822986e+23,1.0,1.0
1.3212956341865723e-08,75683288.5020976,-18.142067947700088,1.3212956341865723e-08,54594128116413.125,-109187056114535.8,6.572413517863989e-09,4.396510510649696e-05,0.999956034894893,2.340652448291484e-28,-1.0000000649156613,-4.518535047109375e-05,4.5180273751015255e-05,4.5183336324861045e-05,2.2590647384580157e-05,4.5183336324861045e-05,2.259064738458016e-05,1.0,9.037274265755604e-05,-1.51605816146068e-32,-1.516022985503446e-32,1.0100910223508437e+23,1.0,1.0
1.3324983093278156e-08,75046998.53461511,-18.133625135692444,1.3324983093278156e-08,53680021633778.59,-107358853239208.95,6.6281380746017204e-09,4.433784905549476e-05,0.9999556621509447,2.421048211127791e-28,-1.0000000654287462,-4.518535047109375e-05,4.518026532886339e-05,4.518332790270918e-05,2.2590643173694502e-05,4.518332790270918e-05,2.2590643173694502e-05,1.0,9.037274265799053e-05,-1.5681308057386301e-32,-1.5680947138060458e-32,9.765489858404835e+22,1.0,1.0
1.343795966944653e-08,74416058.02968058,-18.125182323684797,1.343795966944653e-08,52781220738827.516,-105561261454420.03,6.684335094950473e-09,4.471375305240941e-05,0.9999552862469473,2.5042053665147616e-28,-1.0000000659458652,-4.518535047109375e-05,4.518025683521316e-05,4.518331940905895e-05,2.2590638927061275e-05,4.518331940905895e-05,2.2590638927061275e-05,1.0,9.037274265847716e-05,-1.6219920018658503e-32,-1.6219549750948763e-32,9.441207813559599e+22,1.0,1.0
1.355189412351034e-08,73790422.0129102,-18.116739511677153,1.355189412351034e-08,51897469157636.55,-103793768213035.69,6.7410085847179946e-09,4.5092843885082345e-05,0.9999549071561147,2.5902187610117445e-28,-1.0000000664670494,-4.518535047109375e-05,4.518024827139684e-05,4.518331084524263e-05,2.2590634645346586e-05,4.518331084524263e-05,2.2590634645346586e-05,1.0,9.037274265804726e-05,-1.6777031813027083e-32,-1.677665200761524e-32,9.127694217298427e+22,1.0,1.0
1.366679457688819e-08,73170045.88803124,-18.10829669966951,1.366679457688819e-08,51028514907290.22,-102055869549932.08,6.7981625836755555e-09,4.5475148568396024e-05,0.9999545248514311,2.6791864988929856e-28,-1.000000066992331,-4.518535047109375e-05,4.51802396343058e-05,4.518330220815159e-05,2.2590630326996194e-05,4.518330220815159e-05,2.2590630326996194e-05,1.0,9.037274265795001e-05,-1.7353278855668137e-32,-1.735288932194417e-32,8.824591480494771e+22,1.0,1.0
1.3782669219856572e-08,72554885.4337039,-18.09985388766186,1.3782669219856572e-08,50174110224034.03,-100347069938301.5,6.855801165845844e-09,4.5860694346197026e-05,0.9999541393056535,2.771210054040323e-28,-1.0000000675217418,-4.518535047109375e-05,4.5180230923940036e-05,4.5183293497785826e-05,2.2590625972010092e-05,4.5183293497785826e-05,2.2590625972010096e-05,1.0,9.037274265787763e-05,-1.7949318385676308e-32,-1.794891893250853e-32,8.531553888443607e+22,1.0,1.0
1.3899526312133519e-08,71944896.80037002,-18.091411075654218,1.3899526312133519e-08,49334011492630.61,-98666882148364.5,6.9139284397932905e-09,4.6249508693235407e-05,0.9999537504913065,2.8663943856789926e-28,-1.000000068055314,-4.518535047109375e-05,4.5180222139411376e-05,4.5183284713257166e-05,2.2590621579944226e-05,4.5183284713257166e-05,2.2590621579944226e-05,1.0,9.037274265796381e-05,-1.8565830216379033e-32,-1.8565420652181805e-32,8.24824720668039e+22,1.0,1.0
1.4017374183467671e-08,71340036.50712577,-18.082968263646574,1.4017374183467671e-08,48507979176895.3,-97014827108441.3,6.972548548917083e-09,4.6641619317122064e-05,0.999953358380683,2.964848058088977e-28,-1.0000000685930803,-4.518535047109375e-05,4.518021328027573e-05,4.518327585412152e-05,2.2590617150576546e-05,4.518327585412152e-05,2.2590617150576546e-05,1.0,9.037274265811764e-05,-1.9203517510425226e-32,-1.9203097643499058e-32,7.974348299710425e+22,1.0,1.0
1.4136221234231837e-08,70740261.43862334,-18.07452545163893,1.4136221234231837e-08,47695777751398.67,-95390433768356.67,7.031665671746414e-09,4.7037054160300794e-05,0.9999529629458396,3.0666833644276162e-28,-1.0000000691350732,-4.518535047109375e-05,4.5180204346533094e-05,4.5183266920378884e-05,2.2590612683907056e-05,4.5183266920378884e-05,2.259061268390706e-05,1.0,9.03727426580235e-05,-1.9863107581738847e-32,-1.9862677220646344e-32,7.709544762445201e+22,1.0,1.0
1.4256075936021876e-08,70145528.84199715,-18.066082639631283,1.4256075936021876e-08,46897175634310.25,-93793238965127.7,7.091284022238382e-09,4.7435841402038364e-05,0.999952564158598,3.1720164548054007e-28,-1.000000069681326,-4.518535047109375e-05,4.5180195336851204e-05,4.5183257910696994e-05,2.259060817926966e-05,4.5183257910696994e-05,2.259060817926966e-05,1.0,9.03727426580291e-05,-2.0545352725420983e-32,-2.0544911678997664e-32,7.453534563925616e+22,1.0,1.0
1.4376946832260378e-08,69555796.3238173,-18.05763982762364,1.4376946832260378e-08,46111945121368.89,-92222787290904.28,7.151407850078268e-09,4.78380094604301e-05,0.9999521619905394,3.280967468760459e-28,-1.0000000702318717,-4.518535047109375e-05,4.518018625078597e-05,4.518324882463176e-05,2.2590603636442313e-05,4.518324882463176e-05,2.2590603636442317e-05,1.0,9.037274265803555e-05,-2.1251031075282196e-32,-2.1250579153141849e-32,7.206025702762396e+22,1.0,1.0
1.4498842538805943e-08,68971021.8470662,-18.049197015615995,1.4498842538805943e-08,45339862320955.3,-90678630963114.5,7.2120414409826125e-09,4.824358699442431e-05,0.9999517564130055,3.393660672283576e-28,-1.000000070786744,-4.518535047109375e-05,4.5180177087893304e-05,4.5183239661739094e-05,2.2590599055202984e-05,4.5183239661739094e-05,2.2590599055202988e-05,1.0,9.037274265794112e-05,-2.198094749150079e-32,-2.1980484504382957e-32,6.966735874107395e+22,1.0,1.0
1.4621771744567133e-08,68391163.72814316,-18.04075420360835,1.4621771744567133e-08,44580707090255.125,-89160329696790.56,7.273189117004605e-09,4.865260290586218e-05,0.9999513473970938,3.5102245995491017e-28,-1.000000071345977,-4.518535047109375e-05,4.5180167847285026e-05,4.5183230421130816e-05,2.2590594435107612e-05,4.5183230421130816e-05,2.2590594435107612e-05,1.0,9.037274265786342e-05,-2.2735934478688533e-32,-2.2735460238720303e-32,6.735392147669872e+22,1.0,1.0
1.4745743212121939e-08,67816180.63389258,-18.032311391600704,1.4745743212121939e-08,43834262972488.8,-87667450579028.88,7.334855236842218e-09,4.906508634153593e-05,0.9999509349136587,3.6307921995141603e-28,-1.000000071909604,-4.518535047109375e-05,4.518015852718478e-05,4.518322110103057e-05,2.2590589775268047e-05,4.518322110103057e-05,2.2590589775268047e-05,1.0,9.037274265836145e-05,-2.3516853135509582e-32,-2.3516367456360073e-32,6.511730656422432e+22,1.0,1.0
1.4870765778342174e-08,67246031.57865866,-18.02386857959306,1.4870765778342174e-08,43100317135194.516,-86199567945555.62,7.397044196148799e-09,4.948106669526309e-05,0.9999505189333044,3.7555009875526983e-28,-1.0000000724776599,-4.518535047109375e-05,4.518014912936892e-05,4.518321170321471e-05,2.2590585076572435e-05,4.518321170321471e-05,2.2590585076572435e-05,1.0,9.037274265821483e-05,-2.4324594135618732e-32,-2.432409683383723e-32,6.295496295529799e+22,1.0,1.0
