#    L    TT             EE             TE             PP             TP          
  1419   0.847629E+03   0.129920E+02  -0.485171E+02   0.127992E+06   0.344419E+02
  1420   0.847813E+03   0.128467E+02  -0.478283E+02   0.127813E+06   0.343624E+02
  1421   0.847943E+03   0.127044E+02  -0.471324E+02   0.127633E+06   0.342817E+02
  1422   0.848019E+03   0.125653E+02  -0.464294E+02   0.127455E+06   0.341998E+02
  1423   0.848048E+03   0.124292E+02  -0.457199E+02   0.127276E+06   0.341170E+02
  1424   0.848016E+03   0.122963E+02  -0.450039E+02   0.127098E+06   0.340331E+02
  1425   0.847930E+03   0.121666E+02  -0.442819E+02   0.126920E+06   0.339484E+02
  1426   0.847791E+03   0.120401E+02  -0.435541E+02   0.126743E+06   0.338629E+02
  1427   0.847590E+03   0.119168E+02  -0.428206E+02   0.126566E+06   0.337767E+02
  1428   0.847336E+03   0.117969E+02  -0.420819E+02   0.126389E+06   0.336899E+02
  1429   0.847028E+03   0.116802E+02  -0.413384E+02   0.126213E+06   0.336025E+02
  1430   0.846668E+03   0.115669E+02  -0.405901E+02   0.126036E+06   0.335147E+02
  1431   0.846246E+03   0.114571E+02  -0.398375E+02   0.125861E+06   0.334265E+02
  1432   0.845771E+03   0.113506E+02  -0.390808E+02   0.125685E+06   0.333380E+02
  1433   0.845236E+03   0.112476E+02  -0.383203E+02   0.125510E+06   0.332493E+02
  1434   0.844648E+03   0.111480E+02  -0.375564E+02   0.125335E+06   0.331605E+02
  1435   0.844000E+03   0.110519E+02  -0.367892E+02   0.125161E+06   0.330717E+02
  1436   0.843299E+03   0.109593E+02  -0.360192E+02   0.124987E+06   0.329829E+02
  1437   0.842538E+03   0.108702E+02  -0.352467E+02   0.124813E+06   0.328942E+02
  1438   0.841717E+03   0.107847E+02  -0.344718E+02   0.124640E+06   0.328057E+02
  1439   0.840843E+03   0.107028E+02  -0.336950E+02   0.124467E+06   0.327176E+02
  1440   0.839917E+03   0.106244E+02  -0.329164E+02   0.124294E+06   0.326298E+02
  1441   0.838932E+03   0.105496E+02  -0.321365E+02   0.124121E+06   0.325424E+02
  1442   0.837887E+03   0.104784E+02  -0.313555E+02   0.123949E+06   0.324557E+02
  1443   0.836782E+03   0.104108E+02  -0.305736E+02   0.123777E+06   0.323695E+02
  1444   0.835626E+03   0.103468E+02  -0.297913E+02   0.123606E+06   0.322841E+02
  1445   0.834410E+03   0.102865E+02  -0.290088E+02   0.123435E+06   0.321994E+02
  1446   0.833135E+03   0.102298E+02  -0.282262E+02   0.123264E+06   0.321156E+02
  1447   0.831808E+03   0.101768E+02  -0.274442E+02   0.123093E+06   0.320328E+02
  1448   0.830423E+03   0.101274E+02  -0.266627E+02   0.122923E+06   0.319511E+02
  1449   0.828978E+03   0.100817E+02  -0.258823E+02   0.122753E+06   0.318704E+02
  1450   0.827483E+03   0.100395E+02  -0.251032E+02   0.122584E+06   0.317910E+02
  1451   0.825935E+03   0.100011E+02  -0.243258E+02   0.122414E+06   0.317129E+02
  1452   0.824330E+03   0.996630E+01  -0.235502E+02   0.122245E+06   0.316359E+02
  1453   0.822665E+03   0.993515E+01  -0.227769E+02   0.122077E+06   0.315600E+02
  1454   0.820950E+03   0.990767E+01  -0.220060E+02   0.121909E+06   0.314852E+02
  1455   0.819184E+03   0.988377E+01  -0.212379E+02   0.121741E+06   0.314113E+02
  1456   0.817367E+03   0.986353E+01  -0.204727E+02   0.121573E+06   0.313382E+02
  1457   0.815499E+03   0.984693E+01  -0.197108E+02   0.121405E+06   0.312658E+02
  1458   0.813572E+03   0.983383E+01  -0.189523E+02   0.121238E+06   0.311940E+02
  1459   0.811596E+03   0.982436E+01  -0.181975E+02   0.121072E+06   0.311228E+02
  1460   0.809568E+03   0.981853E+01  -0.174468E+02   0.120905E+06   0.310520E+02
  1461   0.807490E+03   0.981616E+01  -0.167002E+02   0.120739E+06   0.309816E+02
  1462   0.805362E+03   0.981734E+01  -0.159582E+02   0.120573E+06   0.309114E+02
  1463   0.803183E+03   0.982206E+01  -0.152209E+02   0.120408E+06   0.308414E+02
  1464   0.800954E+03   0.983023E+01  -0.144885E+02   0.120243E+06   0.307714E+02
  1465   0.798675E+03   0.984193E+01  -0.137614E+02   0.120078E+06   0.307014E+02
  1466   0.796353E+03   0.985707E+01  -0.130398E+02   0.119913E+06   0.306312E+02
  1467   0.793980E+03   0.987557E+01  -0.123239E+02   0.119749E+06   0.305609E+02
  1468   0.791566E+03   0.989758E+01  -0.116139E+02   0.119585E+06   0.304902E+02
  1469   0.789101E+03   0.992287E+01  -0.109102E+02   0.119421E+06   0.304191E+02
  1470   0.786587E+03   0.995158E+01  -0.102129E+02   0.119258E+06   0.303474E+02
  1471   0.784037E+03   0.998355E+01  -0.952226E+01   0.119095E+06   0.302752E+02
  1472   0.781438E+03   0.100189E+02  -0.883847E+01   0.118932E+06   0.302023E+02
  1473   0.778789E+03   0.100573E+02  -0.816180E+01   0.118769E+06   0.301286E+02
  1474   0.776106E+03   0.100991E+02  -0.749247E+01   0.118607E+06   0.300540E+02
  1475   0.773373E+03   0.101440E+02  -0.683076E+01   0.118445E+06   0.299784E+02
  1476   0.770605E+03   0.101922E+02  -0.617673E+01   0.118284E+06   0.299017E+02
  1477   0.767796E+03   0.102434E+02  -0.553073E+01   0.118122E+06   0.298238E+02
  1478   0.764945E+03   0.102976E+02  -0.489291E+01   0.117961E+06   0.297447E+02
  1479   0.762059E+03   0.103549E+02  -0.426345E+01   0.117801E+06   0.296642E+02
  1480   0.759132E+03   0.104152E+02  -0.364260E+01   0.117640E+06   0.295822E+02
  1481   0.756170E+03   0.104785E+02  -0.303054E+01   0.117480E+06   0.294987E+02
  1482   0.753167E+03   0.105447E+02  -0.242748E+01   0.117320E+06   0.294135E+02
  1483   0.750130E+03   0.106137E+02  -0.183357E+01   0.117161E+06   0.293266E+02
  1484   0.747067E+03   0.106855E+02  -0.124900E+01   0.117002E+06   0.292378E+02
  1485   0.743962E+03   0.107602E+02  -0.673966E+00   0.116843E+06   0.291471E+02
  1486   0.740831E+03   0.108375E+02  -0.108621E+00   0.116684E+06   0.290544E+02
  1487   0.737658E+03   0.109176E+02   0.446832E+00   0.116526E+06   0.289595E+02
  1488   0.734459E+03   0.110002E+02   0.992236E+00   0.116368E+06   0.288624E+02
  1489   0.731235E+03   0.110855E+02   0.152742E+01   0.116210E+06   0.287630E+02
  1490   0.727973E+03   0.111733E+02   0.205223E+01   0.116053E+06   0.286612E+02
  1491   0.724684E+03   0.112634E+02   0.256652E+01   0.115895E+06   0.285569E+02
  1492   0.721369E+03   0.113561E+02   0.307013E+01   0.115738E+06   0.284500E+02
  1493   0.718027E+03   0.114511E+02   0.356290E+01   0.115582E+06   0.283403E+02
  1494   0.714658E+03   0.115484E+02   0.404467E+01   0.115426E+06   0.282279E+02
  1495   0.711264E+03   0.116480E+02   0.451531E+01   0.115270E+06   0.281126E+02
  1496   0.707847E+03   0.117498E+02   0.497468E+01   0.115114E+06   0.279943E+02
  1497   0.704406E+03   0.118537E+02   0.542268E+01   0.114958E+06   0.278729E+02
  1498   0.700943E+03   0.119597E+02   0.585918E+01   0.114803E+06   0.277484E+02
  1499   0.697459E+03   0.120676E+02   0.628407E+01   0.114648E+06   0.276206E+02
  1500   0.693955E+03   0.121776E+02   0.669724E+01   0.114494E+06   0.274894E+02
  1501   0.690432E+03   0.122894E+02   0.709856E+01   0.114339E+06   0.273548E+02
  1502   0.686891E+03   0.124031E+02   0.748795E+01   0.114185E+06   0.272168E+02
  1503   0.683333E+03   0.125186E+02   0.786529E+01   0.114031E+06   0.270755E+02
  1504   0.679758E+03   0.126357E+02   0.823055E+01   0.113878E+06   0.269310E+02
  1505   0.676169E+03   0.127546E+02   0.858362E+01   0.113725E+06   0.267833E+02
  1506   0.672564E+03   0.128750E+02   0.892442E+01   0.113572E+06   0.266325E+02
  1507   0.668945E+03   0.129970E+02   0.925289E+01   0.113419E+06   0.264788E+02
  1508   0.665314E+03   0.131205E+02   0.956891E+01   0.113267E+06   0.263221E+02
  1509   0.661670E+03   0.132454E+02   0.987253E+01   0.113114E+06   0.261626E+02
  1510   0.658015E+03   0.133716E+02   0.101635E+02   0.112963E+06   0.260003E+02
  1511   0.654350E+03   0.134991E+02   0.104420E+02   0.112811E+06   0.258353E+02
  1512   0.650677E+03   0.136280E+02   0.107080E+02   0.112660E+06   0.256676E+02
  1513   0.646996E+03   0.137579E+02   0.109614E+02   0.112509E+06   0.254975E+02
  1514   0.643308E+03   0.138889E+02   0.112022E+02   0.112358E+06   0.253249E+02
  1515   0.639616E+03   0.140211E+02   0.114304E+02   0.112207E+06   0.251499E+02
  1516   0.635919E+03   0.141543E+02   0.116459E+02   0.112057E+06   0.249725E+02
  1517   0.632220E+03   0.142883E+02   0.118487E+02   0.111907E+06   0.247930E+02
  1518   0.628518E+03   0.144232E+02   0.120389E+02   0.111758E+06   0.246113E+02
  1519   0.624815E+03   0.145590E+02   0.122165E+02   0.111608E+06   0.244275E+02
  1520   0.621111E+03   0.146954E+02   0.123814E+02   0.111459E+06   0.242417E+02
  1521   0.617408E+03   0.148325E+02   0.125336E+02   0.111310E+06   0.240539E+02
  1522   0.613706E+03   0.149703E+02   0.126732E+02   0.111162E+06   0.238643E+02
  1523   0.610006E+03   0.151086E+02   0.128000E+02   0.111013E+06   0.236730E+02
  1524   0.606310E+03   0.152473E+02   0.129142E+02   0.110865E+06   0.234799E+02
  1525   0.602618E+03   0.153864E+02   0.130158E+02   0.110717E+06   0.232852E+02
  1526   0.598931E+03   0.155259E+02   0.131048E+02   0.110570E+06   0.230890E+02
  1527   0.595250E+03   0.156658E+02   0.131813E+02   0.110423E+06   0.228913E+02
  1528   0.591576E+03   0.158057E+02   0.132453E+02   0.110276E+06   0.226922E+02
  1529   0.587911E+03   0.159459E+02   0.132968E+02   0.110129E+06   0.224917E+02
  1530   0.584254E+03   0.160861E+02   0.133359E+02   0.109983E+06   0.222901E+02
  1531   0.580607E+03   0.162263E+02   0.133626E+02   0.109836E+06   0.220873E+02
  1532   0.576970E+03   0.163666E+02   0.133769E+02   0.109690E+06   0.218833E+02
  1533   0.573345E+03   0.165066E+02   0.133790E+02   0.109545E+06   0.216784E+02
  1534   0.569733E+03   0.166465E+02   0.133689E+02   0.109399E+06   0.214725E+02
  1535   0.566134E+03   0.167862E+02   0.133467E+02   0.109254E+06   0.212658E+02
  1536   0.562549E+03   0.169255E+02   0.133123E+02   0.109109E+06   0.210583E+02
  1537   0.558977E+03   0.170644E+02   0.132658E+02   0.108965E+06   0.208501E+02
  1538   0.555423E+03   0.172029E+02   0.132075E+02   0.108820E+06   0.206412E+02
  1539   0.551885E+03   0.173408E+02   0.131373E+02   0.108676E+06   0.204319E+02
  1540   0.548364E+03   0.174782E+02   0.130554E+02   0.108532E+06   0.202220E+02
  1541   0.544861E+03   0.176149E+02   0.129618E+02   0.108389E+06   0.200117E+02
  1542   0.541379E+03   0.177510E+02   0.128567E+02   0.108245E+06   0.198011E+02
  1543   0.537916E+03   0.178862E+02   0.127402E+02   0.108102E+06   0.195903E+02
  1544   0.534475E+03   0.180207E+02   0.126124E+02   0.107959E+06   0.193792E+02
  1545   0.531055E+03   0.181543E+02   0.124735E+02   0.107817E+06   0.191681E+02
  1546   0.527658E+03   0.182868E+02   0.123234E+02   0.107674E+06   0.189570E+02
  1547   0.524286E+03   0.184185E+02   0.121624E+02   0.107532E+06   0.187459E+02
  1548   0.520936E+03   0.185490E+02   0.119906E+02   0.107390E+06   0.185350E+02
  1549   0.517612E+03   0.186784E+02   0.118080E+02   0.107249E+06   0.183242E+02
  1550   0.514313E+03   0.188066E+02   0.116149E+02   0.107108E+06   0.181138E+02
  1551   0.511040E+03   0.189335E+02   0.114113E+02   0.106966E+06   0.179037E+02
  1552   0.507794E+03   0.190590E+02   0.111973E+02   0.106826E+06   0.176940E+02
  1553   0.504576E+03   0.191833E+02   0.109732E+02   0.106685E+06   0.174848E+02
  1554   0.501386E+03   0.193061E+02   0.107390E+02   0.106545E+06   0.172760E+02
  1555   0.498225E+03   0.194274E+02   0.104950E+02   0.106405E+06   0.170678E+02
  1556   0.495093E+03   0.195472E+02   0.102411E+02   0.106265E+06   0.168600E+02
  1557   0.491991E+03   0.196655E+02   0.997773E+01   0.106125E+06   0.166529E+02
  1558   0.488920E+03   0.197821E+02   0.970485E+01   0.105986E+06   0.164464E+02
  1559   0.485880E+03   0.198971E+02   0.942274E+01   0.105847E+06   0.162405E+02
  1560   0.482872E+03   0.200103E+02   0.913140E+01   0.105708E+06   0.160353E+02
  1561   0.479896E+03   0.201219E+02   0.883121E+01   0.105569E+06   0.158309E+02
  1562   0.476953E+03   0.202316E+02   0.852219E+01   0.105431E+06   0.156272E+02
  1563   0.474043E+03   0.203394E+02   0.820458E+01   0.105293E+06   0.154243E+02
  1564   0.471168E+03   0.204455E+02   0.787852E+01   0.105155E+06   0.152222E+02
  1565   0.468326E+03   0.205495E+02   0.754426E+01   0.105017E+06   0.150211E+02
  1566   0.465521E+03   0.206516E+02   0.720188E+01   0.104880E+06   0.148208E+02
  1567   0.462749E+03   0.207517E+02   0.685162E+01   0.104743E+06   0.146214E+02
  1568   0.460014E+03   0.208498E+02   0.649355E+01   0.104606E+06   0.144231E+02
  1569   0.457315E+03   0.209456E+02   0.612799E+01   0.104469E+06   0.142258E+02
  1570   0.454653E+03   0.210395E+02   0.575510E+01   0.104333E+06   0.140295E+02
  1571   0.452028E+03   0.211310E+02   0.537500E+01   0.104197E+06   0.138343E+02
  1572   0.449440E+03   0.212204E+02   0.498788E+01   0.104061E+06   0.136402E+02
  1573   0.446889E+03   0.213075E+02   0.459397E+01   0.103925E+06   0.134473E+02
  1574   0.444377E+03   0.213923E+02   0.419350E+01   0.103790E+06   0.132556E+02
  1575   0.441904E+03   0.214748E+02   0.378666E+01   0.103655E+06   0.130651E+02
  1576   0.439469E+03   0.215549E+02   0.337369E+01   0.103520E+06   0.128759E+02
  1577   0.437073E+03   0.216327E+02   0.295479E+01   0.103385E+06   0.126880E+02
  1578   0.434717E+03   0.217081E+02   0.253019E+01   0.103250E+06   0.125014E+02
  1579   0.432402E+03   0.217811E+02   0.210011E+01   0.103116E+06   0.123163E+02
  1580   0.430126E+03   0.218515E+02   0.166474E+01   0.102982E+06   0.121325E+02
  1581   0.427892E+03   0.219195E+02   0.122429E+01   0.102848E+06   0.119502E+02
  1582   0.425698E+03   0.219851E+02   0.778962E+00   0.102715E+06   0.117693E+02
  1583   0.423544E+03   0.220480E+02   0.328960E+00   0.102581E+06   0.115900E+02
  1584   0.421432E+03   0.221085E+02  -0.125508E+00   0.102448E+06   0.114123E+02
  1585   0.419360E+03   0.221662E+02  -0.584239E+00   0.102315E+06   0.112361E+02
  1586   0.417331E+03   0.222214E+02  -0.104704E+01   0.102183E+06   0.110616E+02
  1587   0.415342E+03   0.222739E+02  -0.151368E+01   0.102051E+06   0.108888E+02
  1588   0.413395E+03   0.223237E+02  -0.198395E+01   0.101918E+06   0.107176E+02
  1589   0.411490E+03   0.223708E+02  -0.245762E+01   0.101786E+06   0.105482E+02
  1590   0.409626E+03   0.224152E+02  -0.293449E+01   0.101655E+06   0.103806E+02
  1591   0.407804E+03   0.224569E+02  -0.341432E+01   0.101523E+06   0.102148E+02
  1592   0.406024E+03   0.224958E+02  -0.389690E+01   0.101392E+06   0.100508E+02
  1593   0.404286E+03   0.225320E+02  -0.438202E+01   0.101261E+06   0.988872E+01
  1594   0.402590E+03   0.225653E+02  -0.486944E+01   0.101130E+06   0.972856E+01
  1595   0.400937E+03   0.225958E+02  -0.535895E+01   0.101000E+06   0.957036E+01
  1596   0.399324E+03   0.226236E+02  -0.585032E+01   0.100870E+06   0.941415E+01
  1597   0.397755E+03   0.226485E+02  -0.634333E+01   0.100739E+06   0.925998E+01
  1598   0.396227E+03   0.226706E+02  -0.683775E+01   0.100610E+06   0.910787E+01
  1599   0.394740E+03   0.226898E+02  -0.733336E+01   0.100480E+06   0.895786E+01
  1600   0.393297E+03   0.227062E+02  -0.782994E+01   0.100351E+06   0.881000E+01
  1601   0.391894E+03   0.227198E+02  -0.832728E+01   0.100221E+06   0.866430E+01
  1602   0.390533E+03   0.227304E+02  -0.882518E+01   0.100092E+06   0.852079E+01
  1603   0.389214E+03   0.227381E+02  -0.932346E+01   0.999638E+05   0.837948E+01
  1604   0.387936E+03   0.227430E+02  -0.982191E+01   0.998353E+05   0.824036E+01
  1605   0.386699E+03   0.227450E+02  -0.103204E+02   0.997070E+05   0.810347E+01
  1606   0.385504E+03   0.227441E+02  -0.108186E+02   0.995790E+05   0.796879E+01
  1607   0.384349E+03   0.227403E+02  -0.113164E+02   0.994511E+05   0.783635E+01
  1608   0.383235E+03   0.227335E+02  -0.118137E+02   0.993235E+05   0.770615E+01
  1609   0.382161E+03   0.227238E+02  -0.123101E+02   0.991962E+05   0.757821E+01
  1610   0.381128E+03   0.227113E+02  -0.128055E+02   0.990690E+05   0.745252E+01
  1611   0.380135E+03   0.226960E+02  -0.132996E+02   0.989421E+05   0.732911E+01
  1612   0.379183E+03   0.226778E+02  -0.137924E+02   0.988154E+05   0.720798E+01
  1613   0.378269E+03   0.226568E+02  -0.142835E+02   0.986889E+05   0.708914E+01
  1614   0.377395E+03   0.226331E+02  -0.147727E+02   0.985626E+05   0.697260E+01
  1615   0.376561E+03   0.226066E+02  -0.152599E+02   0.984366E+05   0.685837E+01
  1616   0.375765E+03   0.225772E+02  -0.157450E+02   0.983107E+05   0.674646E+01
  1617   0.375008E+03   0.225451E+02  -0.162276E+02   0.981851E+05   0.663688E+01
  1618   0.374290E+03   0.225103E+02  -0.167076E+02   0.980597E+05   0.652964E+01
  1619   0.373609E+03   0.224727E+02  -0.171850E+02   0.979346E+05   0.642474E+01
  1620   0.372965E+03   0.224324E+02  -0.176593E+02   0.978096E+05   0.632221E+01
  1621   0.372359E+03   0.223892E+02  -0.181306E+02   0.976849E+05   0.622204E+01
  1622   0.371790E+03   0.223435E+02  -0.185986E+02   0.975604E+05   0.612425E+01
  1623   0.371257E+03   0.222950E+02  -0.190631E+02   0.974361E+05   0.602884E+01
  1624   0.370760E+03   0.222439E+02  -0.195239E+02   0.973120E+05   0.593583E+01
  1625   0.370298E+03   0.221901E+02  -0.199810E+02   0.971881E+05   0.584523E+01
  1626   0.369873E+03   0.221338E+02  -0.204341E+02   0.970645E+05   0.575704E+01
  1627   0.369481E+03   0.220748E+02  -0.208829E+02   0.969410E+05   0.567128E+01
  1628   0.369124E+03   0.220133E+02  -0.213274E+02   0.968178E+05   0.558795E+01
  1629   0.368801E+03   0.219493E+02  -0.217674E+02   0.966948E+05   0.550707E+01
  1630   0.368511E+03   0.218827E+02  -0.222027E+02   0.965720E+05   0.542864E+01
  1631   0.368254E+03   0.218136E+02  -0.226333E+02   0.964494E+05   0.535268E+01
  1632   0.368030E+03   0.217421E+02  -0.230588E+02   0.963270E+05   0.527919E+01
  1633   0.367837E+03   0.216681E+02  -0.234791E+02   0.962048E+05   0.520818E+01
  1634   0.367676E+03   0.215917E+02  -0.238942E+02   0.960829E+05   0.513966E+01
  1635   0.367546E+03   0.215129E+02  -0.243039E+02   0.959612E+05   0.507365E+01
  1636   0.367445E+03   0.214317E+02  -0.247079E+02   0.958396E+05   0.501015E+01
  1637   0.367375E+03   0.213482E+02  -0.251062E+02   0.957183E+05   0.494916E+01
  1638   0.367334E+03   0.212624E+02  -0.254986E+02   0.955972E+05   0.489071E+01
  1639   0.367322E+03   0.211743E+02  -0.258849E+02   0.954763E+05   0.483480E+01
  1640   0.367338E+03   0.210840E+02  -0.262652E+02   0.953556E+05   0.478144E+01
  1641   0.367381E+03   0.209916E+02  -0.266391E+02   0.952351E+05   0.473064E+01
  1642   0.367451E+03   0.208971E+02  -0.270066E+02   0.951149E+05   0.468241E+01
  1643   0.367548E+03   0.208005E+02  -0.273676E+02   0.949948E+05   0.463676E+01
  1644   0.367671E+03   0.207018E+02  -0.277219E+02   0.948749E+05   0.459370E+01
  1645   0.367819E+03   0.206012E+02  -0.280693E+02   0.947553E+05   0.455323E+01
  1646   0.367992E+03   0.204984E+02  -0.284099E+02   0.946358E+05   0.451537E+01
  1647   0.368188E+03   0.203939E+02  -0.287434E+02   0.945166E+05   0.448013E+01
  1648   0.368407E+03   0.202873E+02  -0.290697E+02   0.943976E+05   0.444752E+01
  1649   0.368650E+03   0.201789E+02  -0.293888E+02   0.942787E+05   0.441754E+01
  1650   0.368914E+03   0.200686E+02  -0.297005E+02   0.941601E+05   0.439021E+01
  1651   0.369199E+03   0.199565E+02  -0.300047E+02   0.940417E+05   0.436552E+01
  1652   0.369506E+03   0.198428E+02  -0.303014E+02   0.939235E+05   0.434343E+01
  1653   0.369832E+03   0.197273E+02  -0.305905E+02   0.938055E+05   0.432388E+01
  1654   0.370179E+03   0.196100E+02  -0.308718E+02   0.936876E+05   0.430681E+01
  1655   0.370544E+03   0.194912E+02  -0.311453E+02   0.935700E+05   0.429217E+01
  1656   0.370927E+03   0.193708E+02  -0.314110E+02   0.934526E+05   0.427989E+01
  1657   0.371328E+03   0.192490E+02  -0.316687E+02   0.933354E+05   0.426991E+01
  1658   0.371747E+03   0.191255E+02  -0.319184E+02   0.932184E+05   0.426219E+01
  1659   0.372182E+03   0.190006E+02  -0.321600E+02   0.931016E+05   0.425665E+01
  1660   0.372633E+03   0.188744E+02  -0.323936E+02   0.929850E+05   0.425325E+01
  1661   0.373099E+03   0.187467E+02  -0.326190E+02   0.928686E+05   0.425192E+01
  1662   0.373579E+03   0.186178E+02  -0.328360E+02   0.927524E+05   0.425261E+01
  1663   0.374074E+03   0.184876E+02  -0.330449E+02   0.926364E+05   0.425526E+01
  1664   0.374582E+03   0.183562E+02  -0.332455E+02   0.925206E+05   0.425980E+01
  1665   0.375103E+03   0.182236E+02  -0.334376E+02   0.924050E+05   0.426619E+01
  1666   0.375635E+03   0.180899E+02  -0.336213E+02   0.922896E+05   0.427436E+01
  1667   0.376180E+03   0.179551E+02  -0.337966E+02   0.921744E+05   0.428426E+01
  1668   0.376735E+03   0.178193E+02  -0.339634E+02   0.920594E+05   0.429582E+01
  1669   0.377300E+03   0.176824E+02  -0.341216E+02   0.919446E+05   0.430899E+01
  1670   0.377874E+03   0.175446E+02  -0.342712E+02   0.918299E+05   0.432372E+01
  1671   0.378457E+03   0.174058E+02  -0.344123E+02   0.917155E+05   0.433993E+01
  1672   0.379049E+03   0.172663E+02  -0.345447E+02   0.916013E+05   0.435758E+01
  1673   0.379647E+03   0.171259E+02  -0.346686E+02   0.914873E+05   0.437661E+01
  1674   0.380253E+03   0.169848E+02  -0.347839E+02   0.913734E+05   0.439696E+01
  1675   0.380865E+03   0.168430E+02  -0.348906E+02   0.912598E+05   0.441857E+01
  1676   0.381482E+03   0.167006E+02  -0.349887E+02   0.911463E+05   0.444137E+01
  1677   0.382105E+03   0.165578E+02  -0.350782E+02   0.910331E+05   0.446533E+01
  1678   0.382733E+03   0.164143E+02  -0.351592E+02   0.909200E+05   0.449037E+01
  1679   0.383363E+03   0.162704E+02  -0.352316E+02   0.908072E+05   0.451643E+01
  1680   0.383997E+03   0.161262E+02  -0.352953E+02   0.906945E+05   0.454347E+01
  1681   0.384634E+03   0.159815E+02  -0.353506E+02   0.905820E+05   0.457141E+01
  1682   0.385272E+03   0.158365E+02  -0.353973E+02   0.904697E+05   0.460022E+01
  1683   0.385911E+03   0.156913E+02  -0.354354E+02   0.903576E+05   0.462981E+01
  1684   0.386550E+03   0.155458E+02  -0.354650E+02   0.902457E+05   0.466014E+01
  1685   0.387190E+03   0.154002E+02  -0.354861E+02   0.901340E+05   0.469115E+01
  1686   0.387829E+03   0.152544E+02  -0.354986E+02   0.900225E+05   0.472279E+01
  1687   0.388466E+03   0.151085E+02  -0.355029E+02   0.899111E+05   0.475498E+01
  1688   0.389102E+03   0.149626E+02  -0.354987E+02   0.898000E+05   0.478768E+01
  1689   0.389735E+03   0.148167E+02  -0.354862E+02   0.896890E+05   0.482083E+01
  1690   0.390364E+03   0.146710E+02  -0.354654E+02   0.895782E+05   0.485436E+01
  1691   0.390990E+03   0.145254E+02  -0.354363E+02   0.894677E+05   0.488822E+01
  1692   0.391612E+03   0.143799E+02  -0.353989E+02   0.893573E+05   0.492236E+01
  1693   0.392228E+03   0.142346E+02  -0.353535E+02   0.892471E+05   0.495671E+01
  1694   0.392839E+03   0.140897E+02  -0.352999E+02   0.891370E+05   0.499121E+01
  1695   0.393443E+03   0.139451E+02  -0.352383E+02   0.890272E+05   0.502581E+01
  1696   0.394041E+03   0.138007E+02  -0.351686E+02   0.889175E+05   0.506045E+01
  1697   0.394631E+03   0.136568E+02  -0.350910E+02   0.888081E+05   0.509508E+01
  1698   0.395212E+03   0.135133E+02  -0.350054E+02   0.886988E+05   0.512962E+01
  1699   0.395785E+03   0.133704E+02  -0.349120E+02   0.885897E+05   0.516403E+01
  1700   0.396349E+03   0.132280E+02  -0.348109E+02   0.884808E+05   0.519825E+01
  1701   0.396903E+03   0.130861E+02  -0.347021E+02   0.883721E+05   0.523223E+01
  1702   0.397447E+03   0.129450E+02  -0.345858E+02   0.882635E+05   0.526597E+01
  1703   0.397980E+03   0.128046E+02  -0.344620E+02   0.881552E+05   0.529949E+01
  1704   0.398502E+03   0.126648E+02  -0.343308E+02   0.880470E+05   0.533280E+01
  1705   0.399013E+03   0.125260E+02  -0.341924E+02   0.879390E+05   0.536592E+01
  1706   0.399512E+03   0.123879E+02  -0.340468E+02   0.878312E+05   0.539886E+01
  1707   0.399999E+03   0.122507E+02  -0.338941E+02   0.877236E+05   0.543165E+01
  1708   0.400472E+03   0.121144E+02  -0.337343E+02   0.876161E+05   0.546428E+01
  1709   0.400933E+03   0.119791E+02  -0.335676E+02   0.875089E+05   0.549678E+01
  1710   0.401379E+03   0.118448E+02  -0.333941E+02   0.874018E+05   0.552917E+01
  1711   0.401812E+03   0.117115E+02  -0.332138E+02   0.872949E+05   0.556145E+01
  1712   0.402230E+03   0.115792E+02  -0.330269E+02   0.871881E+05   0.559364E+01
  1713   0.402633E+03   0.114480E+02  -0.328335E+02   0.870816E+05   0.562577E+01
  1714   0.403020E+03   0.113180E+02  -0.326335E+02   0.869752E+05   0.565783E+01
  1715   0.403392E+03   0.111891E+02  -0.324273E+02   0.868690E+05   0.568985E+01
  1716   0.403749E+03   0.110614E+02  -0.322149E+02   0.867630E+05   0.572184E+01
  1717   0.404088E+03   0.109351E+02  -0.319964E+02   0.866572E+05   0.575382E+01
  1718   0.404410E+03   0.108099E+02  -0.317720E+02   0.865515E+05   0.578581E+01
  1719   0.404716E+03   0.106861E+02  -0.315416E+02   0.864461E+05   0.581780E+01
  1720   0.405004E+03   0.105636E+02  -0.313055E+02   0.863408E+05   0.584983E+01
  1721   0.405274E+03   0.104426E+02  -0.310639E+02   0.862357E+05   0.588191E+01
  1722   0.405527E+03   0.103229E+02  -0.308167E+02   0.861307E+05   0.591405E+01
  1723   0.405760E+03   0.102047E+02  -0.305643E+02   0.860259E+05   0.594626E+01
  1724   0.405976E+03   0.100880E+02  -0.303065E+02   0.859213E+05   0.597856E+01
  1725   0.406172E+03   0.997285E+01  -0.300438E+02   0.858169E+05   0.601098E+01
  1726   0.406349E+03   0.985918E+01  -0.297761E+02   0.857127E+05   0.604351E+01
  1727   0.406507E+03   0.974717E+01  -0.295035E+02   0.856086E+05   0.607617E+01
  1728   0.406645E+03   0.963666E+01  -0.292262E+02   0.855047E+05   0.610899E+01
  1729   0.406762E+03   0.952788E+01  -0.289444E+02   0.854010E+05   0.614198E+01
  1730   0.406860E+03   0.942075E+01  -0.286582E+02   0.852975E+05   0.617514E+01
