#    L    TT             EE             TE             PP             TP          
   119   0.338711E+04   0.101898E+01  -0.359260E+02   0.409043E+07   0.426225E+04
   120   0.342205E+04   0.102823E+01  -0.365026E+02   0.406491E+07   0.421850E+04
   121   0.345707E+04   0.103707E+01  -0.370686E+02   0.403958E+07   0.417540E+04
   122   0.349216E+04   0.104550E+01  -0.376234E+02   0.401444E+07   0.413295E+04
   123   0.352731E+04   0.105350E+01  -0.381665E+02   0.398948E+07   0.409116E+04
   124   0.356252E+04   0.106106E+01  -0.386972E+02   0.396471E+07   0.405003E+04
   125   0.359778E+04   0.106818E+01  -0.392152E+02   0.394012E+07   0.400957E+04
   126   0.363307E+04   0.107484E+01  -0.397197E+02   0.391572E+07   0.396980E+04
   127   0.366839E+04   0.108104E+01  -0.402103E+02   0.389151E+07   0.393072E+04
   128   0.370373E+04   0.108678E+01  -0.406865E+02   0.386748E+07   0.389233E+04
   129   0.373909E+04   0.109205E+01  -0.411477E+02   0.384364E+07   0.385464E+04
   130   0.377444E+04   0.109683E+01  -0.415934E+02   0.381999E+07   0.381766E+04
   131   0.380979E+04   0.110112E+01  -0.420229E+02   0.379652E+07   0.378140E+04
   132   0.384512E+04   0.110493E+01  -0.424359E+02   0.377324E+07   0.374582E+04
   133   0.388043E+04   0.110824E+01  -0.428320E+02   0.375014E+07   0.371092E+04
   134   0.391571E+04   0.111107E+01  -0.432104E+02   0.372723E+07   0.367666E+04
   135   0.395094E+04   0.111339E+01  -0.435709E+02   0.370450E+07   0.364303E+04
   136   0.398613E+04   0.111521E+01  -0.439129E+02   0.368195E+07   0.360999E+04
   137   0.402127E+04   0.111654E+01  -0.442359E+02   0.365958E+07   0.357753E+04
   138   0.405634E+04   0.111736E+01  -0.445396E+02   0.363739E+07   0.354562E+04
   139   0.409133E+04   0.111769E+01  -0.448235E+02   0.361537E+07   0.351423E+04
   140   0.412626E+04   0.111751E+01  -0.450872E+02   0.359353E+07   0.348335E+04
   141   0.416109E+04   0.111685E+01  -0.453303E+02   0.357187E+07   0.345294E+04
   142   0.419582E+04   0.111568E+01  -0.455523E+02   0.355038E+07   0.342299E+04
   143   0.423045E+04   0.111403E+01  -0.457529E+02   0.352907E+07   0.339348E+04
   144   0.426496E+04   0.111189E+01  -0.459316E+02   0.350792E+07   0.336437E+04
   145   0.429935E+04   0.110926E+01  -0.460881E+02   0.348695E+07   0.333564E+04
   146   0.433359E+04   0.110616E+01  -0.462220E+02   0.346614E+07   0.330727E+04
   147   0.436768E+04   0.110259E+01  -0.463327E+02   0.344551E+07   0.327924E+04
   148   0.440159E+04   0.109856E+01  -0.464200E+02   0.342504E+07   0.325152E+04
   149   0.443532E+04   0.109407E+01  -0.464835E+02   0.340473E+07   0.322409E+04
   150   0.446885E+04   0.108912E+01  -0.465226E+02   0.338459E+07   0.319692E+04
   151   0.450216E+04   0.108374E+01  -0.465372E+02   0.336462E+07   0.317000E+04
   152   0.453525E+04   0.107793E+01  -0.465268E+02   0.334480E+07   0.314332E+04
   153   0.456812E+04   0.107169E+01  -0.464913E+02   0.332515E+07   0.311688E+04
   154   0.460075E+04   0.106506E+01  -0.464304E+02   0.330566E+07   0.309068E+04
   155   0.463314E+04   0.105803E+01  -0.463439E+02   0.328632E+07   0.306472E+04
