a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
1.1839499222293018e-08,84463030.85839686,-18.25182450379947,1.1839499222293018e-08,67995230718357.58,-135989094505311.73,4.735799688917208e-10,4.020668476251681e-05,0.9999597933152375,1.4954718156894464e-28,-1.0000000047121962,4.9849060522981545e-29,1.4954617802682222e-28,1.4954617802682222e-28,7.477308901341111e-29,1.4954617802682222e-28,7.477308901341111e-29,1.0,-9.969812316005018e-29,5.390944259559108e-56,1.0782018541400202e-56,1.670906659778181,1.0,1.0
1.1939881044642719e-08,83752927.21268834,-18.243381691791825,1.1939881044642719e-08,66856739428406.375,-133712123417803.86,4.775952417857088e-10,4.0547565450164925e-05,0.9999594524345498,1.5468377104175489e-28,-1.0000000047494608,5.156125701391829e-29,1.5468272423070415e-28,1.5468272423070415e-28,7.734136211535207e-29,1.5468272423070415e-28,7.734136211535207e-29,1.0,-1.0312251623183015e-28,5.7676358721512305e-56,1.153541203129257e-56,1.670906669830936,1.0,1.0
1.2041113959599386e-08,83048793.60116583,-18.23493887978418,1.2041113959599386e-08,65737310782450.69,-131473277521667.38,4.816445583839754e-10,4.089133607743748e-05,0.9999591086639226,1.5999678966558407e-28,-1.0000000047870183,5.333226322186136e-29,1.5999569772001937e-28,1.5999569772001937e-28,7.999784886000969e-29,1.5999569772001937e-28,7.999784886000969e-29,1.0,-1.0666452874144548e-28,6.17064872701085e-56,1.2341448816073816e-56,1.6709066799687835,1.0,1.0
1.214320518319684e-08,82350579.8321307,-18.226496067776537,1.214320518319684e-08,64636625599036.45,-129271918454806.4,4.857282073278736e-10,4.123802114283298e-05,0.9999587619788574,1.654922973257146e-28,-1.0000000048248716,5.516409910857153e-29,1.6549115829961381e-28,1.6549115829961381e-28,8.274557914980691e-29,1.6549115829961381e-28,8.274557914980691e-29,1.0,-1.1032820061258035e-28,6.601822011822891e-56,1.3203807335087587e-56,1.6709066901924436,1.0,1.0
1.2246161992650482e-08,81658236.13585928,-18.21805325576889,1.2246161992650482e-08,63554370041032.22,-127107418543763.45,4.898464797060192e-10,4.158764535249365e-05,0.9999584123546472,1.7117656204796723e-28,-1.0000000048630224,5.705885401598908e-29,1.7117537391140374e-28,1.7117537391140374e-28,8.558768695570187e-29,1.7117537391140374e-28,8.558768695570187e-29,1.0,-1.1411771052928455e-28,7.063123426619226e-56,1.4126423057421858e-56,1.6709067005026421,1.0,1.0
1.234999172687583e-08,80971713.16105632,-18.209610443761246,1.234999172687583e-08,62490235526146.41,-124979160624754.27,4.939996690750332e-10,4.1940233621964305e-05,0.9999580597663779,1.7705606714771435e-28,-1.0000000049014734,5.901868904923811e-29,1.7705482778323974e-28,1.7705482778323974e-28,8.852741389161987e-29,1.7705482778323974e-28,8.852741389161987e-29,1.0,-1.1803738070198286e-28,7.55665816349559e-56,1.5113506441741418e-56,1.670906710900112,1.0,1.0
1.2454701787011923e-08,80290961.97133547,-18.201167631753602,1.2454701787011923e-08,61443918638938.45,-122886537867689.55,4.981880714804769e-10,4.229581107796726e-05,0.9999577041889217,1.8313751862446303e-28,-1.0000000049402267,6.104583954148768e-29,1.831362258233331e-28,1.831362258233331e-28,9.156811291166655e-29,1.831362258233331e-28,9.156811291166655e-29,1.0,-1.2209168179719778e-28,8.0846785137807165e-56,1.6169562151056448e-56,1.6709067213855908,1.0,1.0
1.2560299636948706e-08,79615934.04173215,-18.19272481974596,1.2560299636948706e-08,60415121044307.53,-120828953603153.08,5.024119854779482e-10,4.265440306019122e-05,0.9999573455969396,1.8942785281039595e-28,-1.000000004979285,6.314261760346531e-29,1.894265042686347e-28,1.894265042686347e-28,9.471325213431735e-29,1.894265042686347e-28,9.471325213431735e-29,1.0,-1.262852380365765e-28,8.649594146496643e-56,1.7299409610107132e-56,1.6709067319598248,1.0,1.0
1.2666792803859152e-08,78946581.25524406,-18.18428200773831,1.2666792803859152e-08,59403549402427.34,-118805821152270.89,5.066717121543661e-10,4.3016035123095875e-05,0.9999569839648766,1.9593424428162888e-28,-1.0000000050186504,6.531141476054296e-29,1.959328375959223e-28,1.959328375959223e-28,9.796641879796116e-29,1.959328375959223e-28,9.796641879796115e-29,1.0,-1.3062283247106205e-28,9.253983105018733e-56,1.8508204999184647e-56,1.6709067426235644,1.0,1.0
1.2774188878735636e-08,78282855.89940244,-18.175839195730667,1.2774188878735636e-08,58408915285107.55,-116816563659434.58,5.109675551494254e-10,4.3380733037731096e-05,0.9999566192669622,2.026641140411805e-28,-1.0000000050583253,6.755470468039351e-29,2.0266264670459393e-28,2.0266264670459393e-28,1.0133132335229696e-28,2.0266264670459393e-28,1.0133132335229696e-28,1.0,-1.3510941243620996e-28,9.900603572116672e-56,1.9801464784753274e-56,1.6709067533775672,1.0,1.0
1.2882495516931303e-08,77624710.6628694,-18.167396383723023,1.2882495516931303e-08,57430935093551.64,-114860613927816.75,5.152998206772522e-10,4.3748522793572825e-05,0.9999562514772061,2.096251379830273e-28,-1.0000000050983122,6.987504599434242e-29,2.0962360738053722e-28,2.0962360738053722e-28,1.0481180369026861e-28,2.0962360738053722e-28,1.0481180369026861e-28,1.0,-1.3975009519488797e-28,1.0592406457069714e-55,2.118509089426407e-56,1.6709067642225979,1.0,1.0
