a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
5.338501395979378811e-02,-1.020340317753592574e+00,3.062989297297762808e-04,1.287020282715778299e-04,-6.435101413578891494e-05
5.445851429951780592e-02,-1.020480120107804867e+00,3.254458067841227431e-04,1.368016942334730160e-04,-6.840084711673650802e-05
5.554631012307302551e-02,-1.020616453091988340e+00,3.456547672693254208e-04,1.453532625252554973e-04,-7.267663126262774865e-05
5.664849598660668534e-02,-1.020749225819757022e+00,3.669774014860151625e-04,1.543787344547302876e-04,-7.718936722736514380e-05
5.776516644626604469e-02,-1.020878347137007980e+00,3.894674549061758828e-04,1.639010237822937494e-04,-8.195051189114687469e-05
5.889641605819836978e-02,-1.021003725635659221e+00,4.131809032915602820e-04,1.739439875395573697e-04,-8.697199376977868485e-05
6.004233937855085051e-02,-1.021125269667848556e+00,4.381760298345142813e-04,1.845324575999876071e-04,-9.226622879999380356e-05
6.120303096347076005e-02,-1.021242887360611418e+00,4.645135043489497591e-04,1.956922730075624079e-04,-9.784613650378120393e-05
6.237858536910535073e-02,-1.021356486631059823e+00,4.922564645378375023e-04,2.074503130687835176e-04,-1.037251565343917588e-04
6.356909715160188878e-02,-1.021465975202079823e+00,5.214705993621262343e-04,2.198345312127007224e-04,-1.099172656063503612e-04
6.477466086710756410e-02,-1.021571260618570731e+00,5.522242345342839517e-04,2.328739896228399246e-04,-1.164369948114199623e-04
6.599537107176964290e-02,-1.021672250264245463e+00,5.845884201578255583e-04,2.465988946441267926e-04,-1.232994473220633963e-04
6.723132232173539835e-02,-1.021768851379014187e+00,6.186370205321077044e-04,2.610406329670298992e-04,-1.305203164835149496e-04
6.848260917315204810e-02,-1.021860971076973712e+00,6.544468061394178486e-04,2.762318085902213554e-04,-1.381159042951106777e-04
6.974932618216686531e-02,-1.021948516365021931e+00,6.920975478289138763e-04,2.922062805620713921e-04,-1.461031402810356961e-04
7.103156790492706762e-02,-1.022031394162125295e+00,7.316721132092096364e-04,3.089992015002322040e-04,-1.544996007501161020e-04
7.232942889757990046e-02,-1.022109511319256869e+00,7.732565652584785310e-04,3.266470568874524361e-04,-1.633235284437262180e-04
7.364300371627262309e-02,-1.022182774640031599e+00,8.169402631576820010e-04,3.451877051405670307e-04,-1.725938525702835154e-04
7.497238691715248093e-02,-1.022251090902060566e+00,8.628159653490390536e-04,3.646604184483437871e-04,-1.823302092241718935e-04
7.631767305636673326e-02,-1.022314366879050640e+00,9.109799348180425485e-04,3.851059243725263922e-04,-1.925529621862631961e-04
7.767895669006258386e-02,-1.022372509363671078e+00,9.615320465932257737e-04,4.065664482049889347e-04,-2.032832241024944673e-04
7.905633237438731975e-02,-1.022425425191212822e+00,1.014575897453460921e-03,4.290857560724206025e-04,-2.145428780362103013e-04
8.044989466548815860e-02,-1.022473021264065363e+00,1.070218917827757323e-03,4.527091987783565460e-04,-2.263545993891782730e-04
8.185973811951234580e-02,-1.022515204577036707e+00,1.128572485867450001e-03,4.774837563707114607e-04,-2.387418781853557304e-04
8.328595729260718228e-02,-1.022551882243539545e+00,1.189752043665136044e-03,5.034580834211875230e-04,-2.517290417105937615e-04
8.472864674091984405e-02,-1.022582961522670919e+00,1.253877215588786219e-03,5.306825550010705857e-04,-2.653412775005352929e-04
8.618790102059759040e-02,-1.022608349847210940e+00,1.321071928693235645e-03,5.592093133359800653e-04,-2.796046566679900327e-04
8.766381468778769448e-02,-1.022627954852562748e+00,1.391464535164416714e-03,5.890923151200556365e-04,-2.945461575600278182e-04
8.915648229863741558e-02,-1.022641684406664586e+00,1.465187936744574444e-03,6.203873794679146863e-04,-3.101936897339573431e-04
9.066599840929392973e-02,-1.022649446640894411e+00,1.542379711079035686e-03,6.531522364804443273e-04,-3.265761182402221637e-04
9.219245757590452395e-02,-1.022651149981994800e+00,1.623182239916969678e-03,6.874465763981128102e-04,-3.437232881990564051e-04
9.373595435461645753e-02,-1.022646703185043915e+00,1.707742839089900367e-03,7.233320993129845186e-04,-3.616660496564922593e-04
9.529658330157694812e-02,-1.022636015367495599e+00,1.796213890182616702e-03,7.608725654080322450e-04,-3.804362827040161225e-04
9.687443897293329664e-02,-1.022618996044315942e+00,1.888752973801375527e-03,8.001338456896132456e-04,-4.000669228448066228e-04
9.846961592483266523e-02,-1.022595555164237613e+00,1.985523004334042562e-03,8.411839731761275871e-04,-4.205919865880637936e-04
1.000822087134223548e-01,-1.022565603147160163e+00,2.086692366085963861e-03,8.840931945029323899e-04,-4.420465972514661950e-04
1.017123118948495830e-01,-1.022529050922716065e+00,2.192435050663935677e-03,9.289340219004769495e-04,-4.644670109502384747e-04
1.033600200252616230e-01,-1.022485809970027137e+00,2.302930795468537302e-03,9.757812854994282444e-04,-4.878906427497141222e-04
1.050254276608057341e-01,-1.022435792358676210e+00,2.418365223142471959e-03,1.024712185913210930e-03,-5.123560929566054649e-04
1.067086293576291062e-01,-1.022378910790911366e+00,2.538929981809180062e-03,1.075806347044913321e-03,-5.379031735224566605e-04
1.084097196718790124e-01,-1.022315078645107400e+00,2.664822885922014419e-03,1.129145869061924006e-03,-5.645729345309620029e-04
1.101287931597026981e-01,-1.022244210020502697e+00,2.796248057529675344e-03,1.184815381477919002e-03,-5.924076907389595010e-04
1.118659443772474227e-01,-1.022166219783233299e+00,2.933416067748103890e-03,1.242902096277968176e-03,-6.214510481389840879e-04
1.136212678806604454e-01,-1.022081023613677253e+00,3.076544078213214618e-03,1.303495861018536634e-03,-6.517479305092683172e-04
1.153948582260889560e-01,-1.021988538055133455e+00,3.225855982271914543e-03,1.366689211830022198e-03,-6.833446059150110989e-04
1.171868099696802279e-01,-1.021888680563841856e+00,3.381582545651587012e-03,1.432577426245241125e-03,-7.162887131226205626e-04
1.189972176675815063e-01,-1.021781369560368358e+00,3.543961546329932669e-03,1.501258575772847258e-03,-7.506292878864236290e-04
1.208261758759400922e-01,-1.021666524482359506e+00,3.713237913308321207e-03,1.572833578130201741e-03,-7.864167890651008706e-04
1.226737791509031339e-01,-1.021544065838681847e+00,3.889663863972149267e-03,1.647406249045537579e-03,-8.237031245227687893e-04
1.245401220486179183e-01,-1.021413915264954841e+00,4.073499039701534118e-03,1.725083353534534632e-03,-8.625416767672673159e-04
1.264252991252317049e-01,-1.021275995580483098e+00,4.265010639374653550e-03,1.805974656551511195e-03,-9.029873282757555977e-04
1.283294049368917666e-01,-1.021130230846594156e+00,4.464473550384405638e-03,1.890192972910458317e-03,-9.450964864552291586e-04
1.302525340397452103e-01,-1.020976546426384468e+00,4.672170476766795977e-03,1.977854216366034274e-03,-9.889271081830171371e-04
1.321947809899395032e-01,-1.020814869045874040e+00,4.888392064016653174e-03,2.069077447739468226e-03,-1.034538723869734113e-03
1.341562403436217521e-01,-1.020645126856567275e+00,5.113437020142339376e-03,2.163984921968905607e-03,-1.081992460984452804e-03
1.361370066569391191e-01,-1.020467249499416695e+00,5.347612232487541223e-03,2.262702133958482010e-03,-1.131351066979241005e-03
1.381371744860390716e-01,-1.020281168170179109e+00,5.591232879823215818e-03,2.365357863094862730e-03,-1.182678931547431365e-03
1.401568383870686330e-01,-1.020086815686157333e+00,5.844622539187500042e-03,2.472084216294339037e-03,-1.236042108147169518e-03
1.421960929161752429e-01,-1.019884126554309711e+00,6.108113286926316124e-03,2.583016669438235793e-03,-1.291508334719117896e-03
1.442550326295060359e-01,-1.019673037040714325e+00,6.382045793360748877e-03,2.698294107048390070e-03,-1.349147053524195035e-03
1.463337520832082295e-01,-1.019453485241362811e+00,6.666769410481493754e-03,2.818058860049066708e-03,-1.409029430024533354e-03
1.484323458334291801e-01,-1.019225411154262684e+00,6.962642252043801418e-03,2.942456741455776095e-03,-1.471228370727888047e-03
1.505509084363159666e-01,-1.018988756752818858e+00,7.270031265409739041e-03,3.071637079825797340e-03,-1.535818539912898670e-03
1.526895344480160566e-01,-1.018743466060459513e+00,7.589312294457850432e-03,3.205752750299595971e-03,-1.602876375149797986e-03
1.548483184246765842e-01,-1.018489485226474756e+00,7.920870132853207596e-03,3.344960203056419890e-03,-1.672480101528209945e-03
1.570273549224446841e-01,-1.018226762603020807e+00,8.265098566944560979e-03,3.489419489001998730e-03,-1.744709744500999365e-03
1.592267384974677957e-01,-1.017955248823248837e+00,8.622400407528811594e-03,3.639294282500583205e-03,-1.819647141250291603e-03
1.614465637058929981e-01,-1.017674896880504720e+00,8.993187509696666526e-03,3.794751900957998598e-03,-1.897375950478999299e-03
1.636869251038677031e-01,-1.017385662208545982e+00,9.377880779948236101e-03,3.955963321057288234e-03,-1.977981660528644117e-03
1.659479172475390452e-01,-1.017087502762713536e+00,9.776910169742240864e-03,4.123103191443066619e-03,-2.061551595721533309e-03
1.682296346930542141e-01,-1.016780379101994702e+00,1.019071465461857118e-02,4.296349841645876778e-03,-2.148174920822938389e-03
1.705321719965606497e-01,-1.016464254471902029e+00,1.061974219801083835e-02,4.475885287032897210e-03,-2.237942643516448605e-03
