#    L    TT             EE             BB             TE          
   142   0.419722E+04   0.112048E+01   0.613793E-02  -0.454397E+02
   143   0.423178E+04   0.111894E+01   0.623122E-02  -0.456372E+02
   144   0.426622E+04   0.111691E+01   0.632543E-02  -0.458128E+02
   145   0.430054E+04   0.111441E+01   0.642056E-02  -0.459662E+02
   146   0.433471E+04   0.111143E+01   0.651661E-02  -0.460969E+02
   147   0.436872E+04   0.110799E+01   0.661361E-02  -0.462045E+02
   148   0.440255E+04   0.110408E+01   0.671155E-02  -0.462887E+02
   149   0.443620E+04   0.109973E+01   0.681043E-02  -0.463491E+02
   150   0.446965E+04   0.109493E+01   0.691027E-02  -0.463851E+02
   151   0.450287E+04   0.108969E+01   0.701107E-02  -0.463966E+02
   152   0.453587E+04   0.108403E+01   0.711283E-02  -0.463831E+02
   153   0.456864E+04   0.107796E+01   0.721555E-02  -0.463445E+02
   154   0.460118E+04   0.107148E+01   0.731926E-02  -0.462806E+02
   155   0.463347E+04   0.106462E+01   0.742393E-02  -0.461911E+02
   156   0.466554E+04   0.105738E+01   0.752959E-02  -0.460757E+02
   157   0.469734E+04   0.104977E+01   0.763623E-02  -0.459342E+02
   158   0.472890E+04   0.104182E+01   0.774386E-02  -0.457664E+02
   159   0.476018E+04   0.103353E+01   0.785248E-02  -0.455720E+02
   160   0.479120E+04   0.102492E+01   0.796209E-02  -0.453510E+02
   161   0.482192E+04   0.101602E+01   0.807269E-02  -0.451030E+02
   162   0.485233E+04   0.100683E+01   0.818428E-02  -0.448280E+02
   163   0.488243E+04   0.997384E+00   0.829687E-02  -0.445256E+02
   164   0.491219E+04   0.987688E+00   0.841046E-02  -0.441958E+02
   165   0.494162E+04   0.977761E+00   0.852504E-02  -0.438383E+02
   166   0.497070E+04   0.967629E+00   0.864062E-02  -0.434530E+02
   167   0.499941E+04   0.957313E+00   0.875719E-02  -0.430399E+02
   168   0.502776E+04   0.946837E+00   0.887475E-02  -0.425989E+02
   169   0.505574E+04   0.936225E+00   0.899330E-02  -0.421300E+02
   170   0.508333E+04   0.925492E+00   0.911285E-02  -0.416331E+02
   171   0.511052E+04   0.914668E+00   0.923337E-02  -0.411081E+02
   172   0.513732E+04   0.903777E+00   0.935488E-02  -0.405550E+02
   173   0.516370E+04   0.892843E+00   0.947737E-02  -0.399738E+02
   174   0.518967E+04   0.881888E+00   0.960084E-02  -0.393644E+02
   175   0.521520E+04   0.870950E+00   0.972527E-02  -0.387271E+02
   176   0.524030E+04   0.860045E+00   0.985067E-02  -0.380617E+02
   177   0.526496E+04   0.849212E+00   0.997703E-02  -0.373683E+02
   178   0.528915E+04   0.838474E+00   0.101043E-01  -0.366470E+02
   179   0.531289E+04   0.827854E+00   0.102326E-01  -0.358977E+02
   180   0.533615E+04   0.817392E+00   0.103618E-01  -0.351208E+02
   181   0.535894E+04   0.807118E+00   0.104920E-01  -0.343163E+02
   182   0.538124E+04   0.797063E+00   0.106230E-01  -0.334843E+02
   183   0.540306E+04   0.787250E+00   0.107550E-01  -0.326251E+02
   184   0.542437E+04   0.777719E+00   0.108879E-01  -0.317388E+02
   185   0.544518E+04   0.768507E+00   0.110217E-01  -0.308255E+02
   186   0.546548E+04   0.759638E+00   0.111565E-01  -0.298854E+02
   187   0.548525E+04   0.751143E+00   0.112921E-01  -0.289188E+02
   188   0.550451E+04   0.743065E+00   0.114285E-01  -0.279259E+02
   189   0.552323E+04   0.735435E+00   0.115659E-01  -0.269070E+02
   190   0.554140E+04   0.728289E+00   0.117041E-01  -0.258623E+02
